"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"WINAQ"	"PC"	"FCN_NACION"	"UCN"	"VIVA"	"TODOS"	"CREO"	"VALOR"	"SEMILLA"	"UNIONISTA"	"VICTORIA"	"PODEMOS"	"BIEN"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17431"	"4"	"16"	"16"	"2"	"394"	"6"	"61"	"2"	"28"	"8"	"22"	"7"	"1"	"2"	"67"	"6"	"48"	"12"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"0"	"2"	"5"	"285"	"280"	"0"	"0"
"17432"	"4"	"16"	"16"	"2"	"345"	"6"	"53"	"0"	"24"	"11"	"16"	"7"	"0"	"3"	"50"	"2"	"41"	"6"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"6"	"0"	"0"	"232"	"232"	"1"	"0"
"17433"	"4"	"16"	"16"	"2"	"341"	"6"	"61"	"4"	"19"	"15"	"14"	"4"	"1"	"2"	"43"	"4"	"33"	"9"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"220"	"220"	"6"	"3"	"229"	"229"	"229"	"1"	"0"
"17434"	"4"	"16"	"16"	"2"	"407"	"3"	"63"	"0"	"17"	"15"	"38"	"5"	"0"	"4"	"45"	"2"	"51"	"39"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"18"	"5"	"0"	"310"	"310"	"1"	"0"
"17435"	"4"	"16"	"16"	"2"	"400"	"1"	"61"	"1"	"27"	"11"	"32"	"13"	"3"	"0"	"36"	"3"	"56"	"32"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"15"	"3"	"0"	"302"	"302"	"1"	"0"
"17436"	"4"	"16"	"16"	"2"	"400"	"3"	"74"	"4"	"13"	"19"	"31"	"6"	"1"	"4"	"57"	"1"	"37"	"27"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"280"	"280"	"13"	"3"	"0"	"296"	"296"	"1"	"0"
"17437"	"4"	"16"	"16"	"2"	"400"	"1"	"64"	"1"	"15"	"26"	"31"	"10"	"0"	"0"	"60"	"2"	"36"	"33"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"20"	"1"	"0"	"303"	"303"	"1"	"0"
"17438"	"4"	"16"	"16"	"2"	"396"	"4"	"59"	"2"	"18"	"27"	"32"	"3"	"1"	"3"	"30"	"5"	"65"	"41"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"19"	"1"	"0"	"316"	"316"	"1"	"0"
"17439"	"4"	"16"	"16"	"2"	"400"	"8"	"94"	"1"	"15"	"19"	"30"	"9"	"2"	"4"	"40"	"1"	"50"	"39"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"315"	"315"	"29"	"3"	"0"	"347"	"347"	"1"	"0"
"17440"	"4"	"16"	"16"	"2"	"396"	"3"	"78"	"0"	"18"	"18"	"9"	"5"	"1"	"1"	"31"	"1"	"53"	"50"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"18"	"3"	"0"	"294"	"294"	"1"	"0"
