"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"VAMOS"	"TODOS"	"CCM"	"VICTORIA"	"PHG"	"UNIONISTA"	"SEMILLA"	"CREO"	"PC"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7365"	"4"	"6"	"2"	"2"	"223"	"21"	"10"	"1"	"5"	"8"	"27"	"1"	"22"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"10"	"0"	"0"	"113"	"113"	"1"	"0"
"7366"	"4"	"6"	"2"	"2"	"267"	"21"	"25"	"1"	"0"	"25"	"34"	"1"	"23"	"0"	"4"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"21"	"3"	"1"	"177"	"177"	"1"	"0"
"7367"	"4"	"6"	"2"	"2"	"376"	"8"	"42"	"2"	"4"	"95"	"12"	"4"	"59"	"3"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"27"	"1"	"0"	"266"	"266"	"1"	"0"
"7368"	"4"	"6"	"2"	"2"	"380"	"17"	"47"	"0"	"11"	"78"	"15"	"0"	"55"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"32"	"4"	"0"	"262"	"262"	"1"	"0"
"7369"	"4"	"6"	"2"	"2"	"376"	"11"	"48"	"2"	"5"	"94"	"12"	"0"	"48"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"19"	"5"	"0"	"254"	"254"	"1"	"0"
"7370"	"4"	"6"	"2"	"2"	"380"	"11"	"33"	"3"	"6"	"87"	"17"	"1"	"59"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"20"	"3"	"0"	"249"	"249"	"1"	"0"
"7371"	"4"	"6"	"2"	"2"	"380"	"17"	"32"	"1"	"10"	"88"	"20"	"4"	"55"	"4"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"20"	"0"	"0"	"259"	"259"	"1"	"0"
"7372"	"4"	"6"	"2"	"2"	"276"	"24"	"42"	"4"	"6"	"89"	"10"	"1"	"60"	"5"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"28"	"0"	"2"	"274"	"274"	"1"	"0"
"7373"	"4"	"6"	"2"	"2"	"377"	"20"	"27"	"2"	"10"	"86"	"15"	"1"	"48"	"6"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"31"	"3"	"0"	"255"	"255"	"1"	"0"
"7374"	"4"	"6"	"2"	"2"	"380"	"19"	"36"	"3"	"5"	"71"	"20"	"1"	"45"	"7"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"27"	"1"	"0"	"243"	"243"	"1"	"0"
