"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"LIBRE"	"FCN_NACION"	"URNG_MAIZ"	"VIVA"	"BIEN"	"UNIONISTA"	"MLP"	"CREO"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12037"	"4"	"12"	"9"	"1"	"380"	"22"	"96"	"0"	"1"	"5"	"3"	"12"	"6"	"2"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"19"	"5"	"0"	"187"	"187"	"1"	"0"
"12038"	"4"	"12"	"9"	"1"	"390"	"24"	"122"	"1"	"0"	"7"	"4"	"4"	"19"	"6"	"1"	"26"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"214"	"11"	"9"	"0"	"228"	"234"	"0"	"0"
"12039"	"4"	"12"	"9"	"1"	"380"	"17"	"64"	"1"	"0"	"3"	"4"	"9"	"11"	"2"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"7"	"5"	"0"	"144"	"144"	"1"	"0"
"12040"	"4"	"12"	"9"	"1"	"297"	"19"	"53"	"0"	"1"	"0"	"0"	"4"	"8"	"1"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"3"	"7"	"2"	"108"	"108"	"1"	"0"
"12041"	"4"	"12"	"9"	"1"	"297"	"16"	"56"	"0"	"1"	"3"	"0"	"6"	"10"	"0"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"9"	"3"	"2"	"127"	"127"	"1"	"0"
"12042"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12043"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12044"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12045"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12046"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12047"	"4"	"12"	"9"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"12048"	"4"	"12"	"9"	"1"	"600"	"40"	"65"	"3"	"3"	"2"	"2"	"25"	"9"	"0"	"2"	"43"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"10"	"6"	"0"	"210"	"210"	"1"	"0"
"12049"	"4"	"12"	"9"	"1"	"507"	"14"	"25"	"2"	"2"	"0"	"0"	"10"	"2"	"1"	"1"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"79"	"7"	"4"	"0"	"90"	"90"	"1"	"0"
"12050"	"4"	"12"	"9"	"1"	"497"	"13"	"14"	"1"	"1"	"0"	"1"	"8"	"7"	"2"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"61"	"3"	"3"	"0"	"67"	"67"	"1"	"0"
