"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"PPT"	"VALOR"	"UCN"	"TODOS"	"PC"	"VAMOS"	"SEMILLA"	"CONVERGENCIA"	"FCN_NACION"	"LIBRE"	"FUERZA"	"PODEMOS"	"VICTORIA"	"VIVA"	"PHG"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6544"	"4"	"5"	"2"	"2"	"400"	"76"	"14"	"78"	"10"	"14"	"0"	"10"	"5"	"48"	"1"	"8"	"2"	"0"	"2"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"9"	"2"	"0"	"285"	"285"	"1"	"0"
"6545"	"4"	"5"	"2"	"2"	"396"	"56"	"18"	"96"	"9"	"20"	"1"	"4"	"5"	"58"	"2"	"13"	"1"	"1"	"1"	"2"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"2"	"1"	"0"	"295"	"295"	"1"	"0"
"6546"	"4"	"5"	"2"	"2"	"250"	"53"	"20"	"74"	"10"	"6"	"1"	"9"	"8"	"50"	"2"	"6"	"3"	"0"	"1"	"0"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"1"	"1"	"0"	"250"	"250"	"1"	"0"
"6547"	"4"	"5"	"2"	"2"	"328"	"45"	"12"	"40"	"10"	"12"	"0"	"3"	"5"	"15"	"1"	"9"	"3"	"1"	"0"	"1"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"8"	"2"	"0"	"173"	"173"	"1"	"0"
"6548"	"4"	"5"	"2"	"2"	"0"	"74"	"9"	"146"	"1"	"5"	"3"	"4"	"2"	"2"	"1"	"1"	"1"	"2"	"5"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"20"	"5"	"0"	"286"	"286"	"1"	"0"
"6549"	"4"	"5"	"2"	"2"	"409"	"92"	"12"	"154"	"3"	"6"	"2"	"1"	"0"	"7"	"0"	"2"	"0"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"25"	"1"	"0"	"309"	"309"	"1"	"0"
"6550"	"4"	"5"	"2"	"2"	"0"	"80"	"14"	"158"	"5"	"4"	"0"	"0"	"3"	"7"	"2"	"0"	"0"	"0"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"21"	"4"	"0"	"304"	"304"	"1"	"0"
"6551"	"4"	"5"	"2"	"2"	"380"	"71"	"6"	"152"	"2"	"3"	"1"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"21"	"7"	"0"	"276"	"276"	"1"	"0"
"6552"	"4"	"5"	"2"	"2"	"396"	"89"	"5"	"141"	"1"	"6"	"2"	"0"	"2"	"6"	"1"	"2"	"1"	"1"	"3"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"28"	"6"	"0"	"298"	"298"	"1"	"0"
"6553"	"4"	"5"	"2"	"2"	"0"	"90"	"12"	"134"	"1"	"5"	"3"	"1"	"3"	"4"	"0"	"2"	"2"	"1"	"3"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"25"	"4"	"0"	"296"	"296"	"1"	"0"
"6554"	"4"	"5"	"2"	"2"	"376"	"89"	"6"	"131"	"3"	"4"	"2"	"0"	"4"	"2"	"1"	"1"	"1"	"1"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"40"	"5"	"0"	"296"	"296"	"1"	"0"
