"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FUERZA"	"URNG_MAIZ"	"PC"	"TODOS"	"VAMOS"	"PODEMOS"	"CONVERGENCIA"	"VIVA"	"SEMILLA"	"UNIONISTA"	"VALOR"	"PHG"	"PAN"	"EG"	"FCN_NACION"	"UCN"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13117"	"4"	"13"	"2"	"2"	"195"	"59"	"5"	"0"	"3"	"4"	"2"	"0"	"0"	"2"	"2"	"0"	"1"	"1"	"3"	"0"	"15"	"1"	"0"	"0"	"0"	"0"	"1"	"1"	"3"	"0"	"15"	"1"	"0"	"0"	"0"	"98"	"98"	"4"	"2"	"0"	"104"	"104"	"1"	"0"
"13118"	"4"	"13"	"2"	"2"	"194"	"43"	"5"	"0"	"3"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"0"	"1"	"1"	"1"	"14"	"0"	"0"	"0"	"0"	"1"	"0"	"1"	"1"	"1"	"14"	"0"	"0"	"0"	"0"	"72"	"72"	"5"	"3"	"0"	"80"	"80"	"1"	"0"
"13119"	"4"	"13"	"2"	"2"	"380"	"81"	"20"	"2"	"8"	"5"	"6"	"1"	"0"	"2"	"0"	"4"	"0"	"3"	"11"	"3"	"20"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"24"	"8"	"0"	"206"	"206"	"1"	"0"
"13120"	"4"	"13"	"2"	"2"	"247"	"46"	"11"	"0"	"4"	"1"	"4"	"0"	"0"	"1"	"2"	"2"	"0"	"3"	"6"	"2"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"98"	"98"	"7"	"3"	"0"	"108"	"108"	"1"	"0"
"13121"	"4"	"13"	"2"	"2"	"246"	"55"	"17"	"1"	"2"	"2"	"1"	"0"	"0"	"4"	"2"	"1"	"0"	"0"	"2"	"0"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"97"	"97"	"5"	"3"	"0"	"105"	"105"	"1"	"0"
"13122"	"4"	"13"	"2"	"2"	"380"	"76"	"13"	"3"	"9"	"6"	"4"	"1"	"0"	"10"	"11"	"1"	"5"	"8"	"4"	"0"	"27"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"18"	"16"	"0"	"217"	"217"	"1"	"0"
"13123"	"4"	"13"	"2"	"2"	"400"	"91"	"3"	"3"	"14"	"3"	"4"	"2"	"0"	"7"	"14"	"2"	"5"	"7"	"8"	"1"	"36"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"13"	"7"	"0"	"225"	"225"	"1"	"0"
"13124"	"4"	"13"	"2"	"2"	"400"	"94"	"6"	"2"	"11"	"8"	"9"	"1"	"1"	"3"	"14"	"5"	"7"	"1"	"1"	"2"	"31"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"19"	"2"	"0"	"225"	"225"	"1"	"0"
"13125"	"4"	"13"	"2"	"2"	"400"	"101"	"11"	"5"	"7"	"10"	"5"	"1"	"1"	"6"	"7"	"3"	"4"	"6"	"6"	"0"	"36"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"14"	"5"	"0"	"234"	"234"	"1"	"0"
"13126"	"4"	"13"	"2"	"2"	"205"	"27"	"4"	"3"	"5"	"2"	"4"	"0"	"3"	"4"	"0"	"0"	"1"	"5"	"3"	"0"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"78"	"78"	"3"	"4"	"0"	"85"	"85"	"1"	"0"
