"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"VICTORIA"	"CREO"	"VAMOS"	"VIVA"	"UNE"	"PHG"	"UNIDOS"	"PODEMOS"	"FCN_NACION"	"LIBRE"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5300"	"4"	"3"	"2"	"2"	"380"	"14"	"22"	"4"	"107"	"25"	"29"	"67"	"1"	"3"	"1"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"17"	"7"	"0"	"318"	"318"	"1"	"0"
"5301"	"4"	"3"	"2"	"2"	"380"	"21"	"35"	"8"	"107"	"14"	"38"	"59"	"0"	"1"	"2"	"31"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"10"	"4"	"0"	"330"	"330"	"1"	"0"
"5302"	"4"	"3"	"2"	"2"	"380"	"12"	"19"	"6"	"101"	"12"	"51"	"75"	"0"	"7"	"5"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"7"	"9"	"0"	"323"	"323"	"1"	"0"
"5303"	"4"	"3"	"2"	"2"	"380"	"11"	"43"	"8"	"103"	"27"	"38"	"58"	"1"	"4"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"18"	"8"	"0"	"335"	"335"	"1"	"0"
"5304"	"4"	"3"	"2"	"2"	"380"	"14"	"16"	"4"	"109"	"12"	"31"	"69"	"0"	"3"	"11"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"9"	"4"	"0"	"300"	"300"	"1"	"0"
"5305"	"4"	"3"	"2"	"2"	"380"	"13"	"27"	"5"	"95"	"9"	"45"	"46"	"0"	"2"	"3"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"8"	"5"	"0"	"279"	"279"	"1"	"0"
"5306"	"4"	"3"	"2"	"2"	"366"	"9"	"25"	"3"	"92"	"8"	"33"	"48"	"0"	"2"	"5"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"5"	"4"	"0"	"268"	"268"	"1"	"0"
"5307"	"4"	"3"	"2"	"2"	"366"	"22"	"39"	"8"	"95"	"12"	"44"	"56"	"0"	"3"	"2"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"1"	"2"	"0"	"304"	"304"	"1"	"0"
"5308"	"4"	"3"	"2"	"2"	"462"	"8"	"17"	"1"	"67"	"24"	"55"	"56"	"0"	"4"	"8"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"7"	"9"	"0"	"286"	"286"	"1"	"0"
"5309"	"4"	"3"	"2"	"2"	"461"	"5"	"23"	"2"	"54"	"12"	"31"	"45"	"0"	"3"	"2"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"12"	"9"	"0"	"223"	"223"	"1"	"0"
