"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"CREO"	"WINAQ"	"UCN"	"VIVA"	"FUERZA"	"FCN_NACION"	"UNIONISTA"	"URNG_MAIZ"	"MLP"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17959"	"4"	"17"	"9"	"2"	"380"	"22"	"31"	"3"	"52"	"6"	"1"	"4"	"3"	"12"	"57"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"18"	"6"	"0"	"215"	"215"	"1"	"0"
"17960"	"4"	"17"	"9"	"2"	"376"	"23"	"34"	"5"	"49"	"3"	"6"	"1"	"12"	"9"	"53"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"27"	"3"	"0"	"227"	"227"	"1"	"0"
"17961"	"4"	"17"	"9"	"2"	"380"	"21"	"36"	"3"	"40"	"6"	"3"	"5"	"7"	"5"	"48"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"17"	"3"	"1"	"195"	"195"	"1"	"0"
"17962"	"4"	"17"	"9"	"2"	"380"	"18"	"30"	"2"	"44"	"3"	"7"	"2"	"14"	"11"	"67"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"5"	"11"	"0"	"215"	"215"	"1"	"0"
"17963"	"4"	"17"	"9"	"2"	"374"	"19"	"21"	"1"	"45"	"3"	"7"	"2"	"12"	"8"	"41"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"28"	"5"	"0"	"193"	"193"	"1"	"0"
"17964"	"4"	"17"	"9"	"2"	"376"	"28"	"32"	"2"	"36"	"3"	"2"	"6"	"4"	"14"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"19"	"10"	"0"	"205"	"205"	"1"	"0"
"17965"	"4"	"17"	"9"	"2"	"376"	"32"	"27"	"3"	"34"	"2"	"6"	"2"	"6"	"7"	"53"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"13"	"13"	"0"	"199"	"199"	"1"	"0"
"17966"	"4"	"17"	"9"	"2"	"376"	"34"	"28"	"1"	"31"	"4"	"3"	"3"	"8"	"3"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"23"	"6"	"0"	"193"	"193"	"1"	"0"
"17967"	"4"	"17"	"9"	"2"	"196"	"31"	"21"	"2"	"40"	"0"	"6"	"1"	"5"	"1"	"46"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"6"	"1"	"0"	"162"	"162"	"1"	"2"
"17968"	"4"	"17"	"9"	"2"	"294"	"20"	"21"	"1"	"32"	"3"	"3"	"2"	"6"	"9"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"10"	"4"	"0"	"146"	"146"	"1"	"0"
