"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"MLP"	"UCN"	"UNIONISTA"	"CNC"	"URNG_MAIZ"	"SEMILLA"	"TODOS"	"FCN_NACION"	"BIEN"	"PODEMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10456"	"4"	"10"	"6"	"2"	"380"	"61"	"45"	"47"	"1"	"9"	"9"	"0"	"14"	"3"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"14"	"4"	"0"	"223"	"223"	"1"	"0"
"10457"	"4"	"10"	"6"	"2"	"235"	"31"	"23"	"24"	"2"	"7"	"5"	"3"	"16"	"5"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"7"	"4"	"0"	"139"	"139"	"1"	"0"
"10458"	"4"	"10"	"6"	"2"	"234"	"36"	"53"	"17"	"0"	"3"	"3"	"0"	"17"	"4"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"3"	"3"	"0"	"154"	"154"	"1"	"0"
"10459"	"4"	"10"	"6"	"2"	"379"	"28"	"22"	"81"	"0"	"0"	"8"	"0"	"11"	"8"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"168"	"20"	"9"	"0"	"198"	"197"	"0"	"0"
"10460"	"4"	"10"	"6"	"2"	"379"	"21"	"7"	"85"	"0"	"0"	"7"	"0"	"20"	"2"	"4"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"18"	"5"	"0"	"194"	"194"	"1"	"0"
"10461"	"4"	"10"	"6"	"2"	"385"	"16"	"17"	"61"	"0"	"0"	"6"	"0"	"10"	"4"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"14"	"12"	"0"	"153"	"153"	"1"	"0"
"10462"	"4"	"10"	"6"	"2"	"275"	"17"	"5"	"69"	"0"	"1"	"1"	"1"	"6"	"8"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"14"	"3"	"0"	"140"	"140"	"1"	"0"
"10463"	"4"	"10"	"6"	"2"	"273"	"13"	"4"	"42"	"0"	"1"	"3"	"1"	"8"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"79"	"17"	"5"	"0"	"101"	"101"	"1"	"0"
"10464"	"4"	"10"	"6"	"2"	"364"	"26"	"32"	"57"	"4"	"1"	"3"	"9"	"17"	"6"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"27"	"5"	"0"	"194"	"194"	"1"	"0"
"10465"	"4"	"10"	"6"	"2"	"363"	"32"	"32"	"40"	"6"	"0"	"5"	"8"	"20"	"4"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"17"	"4"	"0"	"179"	"179"	"1"	"0"
