"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"CREO"	"UNIONISTA"	"EG"	"WINAQ"	"UNE"	"VALOR"	"UCN"	"URNG_MAIZ"	"PHG"	"PODEMOS"	"MLP"	"VIVA"	"PC"	"BIEN"	"UNIDOS"	"PAN"	"FCN_NACION"	"FUERZA"	"PPT"	"SEMILLA"	"VICTORIA"	"LIBRE"	"AVANZA"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"10875"	"3"	"10"	"19"	"2"	"400"	"1"	"2"	"1"	"9"	"1"	"3"	"63"	"0"	"6"	"2"	"80"	"4"	"2"	"0"	"25"	"2"	"0"	"1"	"4"	"6"	"1"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"18"	"66"	"0"	"302"	"302"	"1"	"0"
"10876"	"3"	"10"	"19"	"2"	"400"	"4"	"3"	"3"	"5"	"4"	"4"	"65"	"1"	"2"	"5"	"84"	"0"	"8"	"6"	"25"	"5"	"2"	"5"	"1"	"12"	"0"	"5"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"17"	"56"	"0"	"328"	"328"	"1"	"2"
"10877"	"3"	"10"	"19"	"2"	"400"	"7"	"0"	"1"	"4"	"1"	"2"	"64"	"0"	"3"	"4"	"100"	"1"	"7"	"5"	"29"	"2"	"0"	"6"	"3"	"11"	"0"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"17"	"66"	"0"	"341"	"341"	"1"	"0"
"10878"	"3"	"10"	"19"	"2"	"400"	"10"	"2"	"2"	"9"	"1"	"6"	"65"	"1"	"2"	"3"	"102"	"5"	"7"	"4"	"31"	"2"	"1"	"3"	"1"	"9"	"1"	"5"	"2"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"10"	"45"	"1"	"331"	"331"	"1"	"0"
"10879"	"3"	"10"	"19"	"2"	"400"	"5"	"4"	"2"	"6"	"0"	"4"	"47"	"1"	"5"	"2"	"100"	"2"	"3"	"6"	"35"	"1"	"0"	"5"	"1"	"6"	"0"	"1"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"16"	"95"	"0"	"350"	"350"	"1"	"0"
"10880"	"3"	"10"	"19"	"2"	"400"	"8"	"1"	"2"	"4"	"0"	"3"	"60"	"2"	"2"	"0"	"107"	"1"	"3"	"4"	"25"	"4"	"1"	"1"	"8"	"4"	"1"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"17"	"84"	"0"	"348"	"348"	"1"	"0"
"10881"	"3"	"10"	"19"	"2"	"400"	"9"	"3"	"1"	"4"	"0"	"1"	"77"	"1"	"0"	"3"	"100"	"2"	"3"	"5"	"30"	"4"	"2"	"10"	"0"	"4"	"1"	"2"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"8"	"62"	"0"	"336"	"336"	"1"	"0"
"10882"	"3"	"10"	"19"	"2"	"400"	"5"	"3"	"1"	"3"	"0"	"2"	"74"	"1"	"1"	"0"	"96"	"2"	"5"	"3"	"9"	"1"	"0"	"7"	"6"	"1"	"1"	"0"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"19"	"98"	"0"	"342"	"342"	"1"	"0"
"10883"	"3"	"10"	"19"	"2"	"400"	"6"	"1"	"0"	"4"	"2"	"0"	"83"	"1"	"1"	"3"	"88"	"4"	"8"	"2"	"33"	"0"	"0"	"8"	"6"	"6"	"0"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"5"	"47"	"0"	"316"	"316"	"1"	"0"
"10884"	"3"	"10"	"19"	"2"	"400"	"7"	"1"	"2"	"2"	"0"	"2"	"70"	"0"	"1"	"5"	"99"	"2"	"7"	"0"	"33"	"1"	"0"	"2"	"1"	"5"	"0"	"6"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"41"	"0"	"309"	"309"	"1"	"0"
