"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"FUERZA"	"TODOS"	"VIVA"	"CREO"	"PHG"	"BIEN"	"VICTORIA"	"VALOR"	"PC"	"FCN_NACION"	"UNE"	"SEMILLA"	"PPT"	"PAN"	"AVANZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3564"	"4"	"1"	"13"	"2"	"246"	"8"	"9"	"0"	"7"	"25"	"47"	"10"	"1"	"14"	"2"	"5"	"20"	"11"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"6"	"2"	"0"	"175"	"175"	"1"	"0"
"3565"	"4"	"1"	"13"	"2"	"244"	"7"	"6"	"1"	"8"	"23"	"48"	"13"	"2"	"13"	"6"	"3"	"30"	"7"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"7"	"1"	"0"	"181"	"181"	"1"	"0"
"3566"	"4"	"1"	"13"	"2"	"377"	"19"	"7"	"10"	"45"	"35"	"35"	"8"	"3"	"55"	"1"	"20"	"13"	"35"	"0"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"13"	"0"	"0"	"307"	"307"	"1"	"0"
"3567"	"4"	"1"	"13"	"1"	"380"	"20"	"14"	"7"	"53"	"38"	"30"	"9"	"4"	"34"	"5"	"12"	"12"	"19"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"12"	"12"	"19"	"1"	"2"	"8"	"0"	"0"	"0"	"0"	"268"	"268"	"14"	"4"	"0"	"286"	"286"	"1"	"0"
"3568"	"4"	"1"	"13"	"2"	"380"	"35"	"12"	"6"	"42"	"25"	"30"	"9"	"5"	"31"	"12"	"15"	"26"	"22"	"0"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"14"	"4"	"0"	"305"	"305"	"1"	"0"
"3569"	"4"	"1"	"13"	"2"	"380"	"17"	"10"	"11"	"34"	"34"	"34"	"10"	"4"	"41"	"8"	"7"	"16"	"29"	"0"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"26"	"3"	"0"	"299"	"299"	"1"	"0"
"3570"	"4"	"1"	"13"	"2"	"380"	"10"	"10"	"10"	"34"	"32"	"30"	"9"	"8"	"37"	"0"	"20"	"14"	"29"	"1"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"259"	"15"	"1"	"0"	"277"	"275"	"0"	"0"
"3571"	"4"	"1"	"13"	"1"	"380"	"24"	"14"	"6"	"28"	"33"	"36"	"9"	"1"	"38"	"6"	"15"	"12"	"35"	"0"	"5"	"13"	"0"	"0"	"0"	"0"	"15"	"12"	"35"	"0"	"5"	"13"	"0"	"0"	"0"	"0"	"275"	"275"	"19"	"1"	"0"	"295"	"295"	"1"	"0"
"3572"	"4"	"1"	"13"	"1"	"381"	"19"	"12"	"13"	"41"	"44"	"40"	"7"	"3"	"41"	"5"	"15"	"12"	"34"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"14"	"0"	"0"	"310"	"310"	"1"	"0"
"3573"	"4"	"1"	"13"	"1"	"380"	"20"	"12"	"7"	"40"	"49"	"27"	"11"	"5"	"45"	"6"	"23"	"13"	"25"	"1"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"17"	"3"	"0"	"315"	"315"	"1"	"0"
