"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"WINAQ"	"MLT"	"UNIONISTA"	"FCN_NACION"	"PHG"	"VAMOS"	"MLP"	"SEMILLA"	"PODEMOS"	"CREO"	"BIEN"	"FUERZA"	"VALOR"	"LIBRE"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17713"	"4"	"17"	"5"	"2"	"400"	"24"	"7"	"18"	"14"	"77"	"15"	"4"	"2"	"0"	"0"	"3"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"10"	"4"	"0"	"188"	"188"	"1"	"0"
"17714"	"4"	"17"	"5"	"2"	"399"	"27"	"5"	"12"	"8"	"75"	"18"	"0"	"4"	"0"	"0"	"2"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"18"	"3"	"0"	"186"	"186"	"1"	"0"
"17715"	"4"	"17"	"5"	"2"	"399"	"37"	"6"	"13"	"11"	"76"	"25"	"4"	"5"	"6"	"0"	"0"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"3"	"3"	"0"	"206"	"206"	"1"	"0"
"17716"	"4"	"17"	"5"	"2"	"399"	"35"	"3"	"16"	"8"	"110"	"46"	"2"	"8"	"5"	"0"	"0"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"5"	"2"	"0"	"251"	"251"	"1"	"0"
"17717"	"4"	"17"	"5"	"2"	"341"	"39"	"5"	"9"	"12"	"108"	"26"	"0"	"2"	"2"	"0"	"0"	"2"	"9"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"3"	"2"	"0"	"220"	"220"	"1"	"0"
"17718"	"4"	"17"	"5"	"2"	"342"	"22"	"5"	"5"	"6"	"51"	"23"	"2"	"5"	"3"	"0"	"3"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"7"	"3"	"0"	"142"	"142"	"1"	"0"
"17719"	"4"	"17"	"5"	"2"	"380"	"72"	"2"	"36"	"2"	"21"	"4"	"11"	"0"	"2"	"1"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"12"	"9"	"21"	"177"	"177"	"1"	"0"
"17720"	"4"	"17"	"5"	"2"	"380"	"75"	"1"	"34"	"1"	"23"	"4"	"10"	"8"	"2"	"1"	"8"	"5"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"15"	"10"	"1"	"203"	"203"	"1"	"0"
"17721"	"4"	"17"	"5"	"2"	"380"	"88"	"2"	"60"	"2"	"32"	"2"	"11"	"5"	"2"	"0"	"4"	"3"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"11"	"9"	"0"	"237"	"237"	"1"	"0"
"17722"	"4"	"17"	"5"	"2"	"380"	"81"	"3"	"41"	"3"	"26"	"4"	"4"	"3"	"2"	"0"	"1"	"0"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"10"	"6"	"0"	"186"	"186"	"1"	"0"
"17723"	"4"	"17"	"5"	"2"	"183"	"76"	"1"	"47"	"1"	"28"	"5"	"10"	"2"	"1"	"0"	"3"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"3"	"3"	"0"	"183"	"183"	"1"	"0"
"17724"	"4"	"17"	"5"	"2"	"373"	"66"	"1"	"49"	"2"	"21"	"4"	"4"	"3"	"2"	"0"	"3"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"6"	"6"	"0"	"175"	"175"	"1"	"0"
"17725"	"4"	"17"	"5"	"2"	"376"	"75"	"2"	"41"	"2"	"22"	"4"	"10"	"2"	"0"	"0"	"3"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"13"	"5"	"0"	"184"	"184"	"1"	"0"
"17726"	"4"	"17"	"5"	"2"	"375"	"71"	"4"	"47"	"2"	"12"	"1"	"11"	"0"	"1"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"14"	"6"	"0"	"176"	"176"	"1"	"0"
