"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"FCN_NACION"	"UCN"	"LIBRE"	"VAMOS"	"FUERZA"	"PHG"	"PC"	"VICTORIA"	"VALOR"	"CREO"	"AVANZA"	"URNG_MAIZ"	"PAN"	"VIVA"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12633"	"4"	"12"	"21"	"2"	"400"	"24"	"23"	"79"	"0"	"11"	"11"	"1"	"25"	"11"	"0"	"14"	"5"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"34"	"7"	"0"	"253"	"253"	"1"	"0"
"12634"	"4"	"12"	"21"	"2"	"400"	"32"	"27"	"67"	"1"	"17"	"8"	"0"	"31"	"6"	"0"	"14"	"3"	"14"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"37"	"11"	"0"	"272"	"272"	"1"	"0"
"12635"	"4"	"12"	"21"	"2"	"400"	"23"	"28"	"56"	"2"	"13"	"11"	"0"	"35"	"5"	"1"	"8"	"3"	"12"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"21"	"6"	"0"	"225"	"225"	"1"	"0"
"12636"	"4"	"12"	"21"	"2"	"376"	"28"	"12"	"55"	"1"	"10"	"8"	"0"	"28"	"8"	"0"	"20"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"29"	"10"	"0"	"220"	"220"	"1"	"0"
"12637"	"4"	"12"	"21"	"2"	"365"	"18"	"24"	"51"	"1"	"8"	"9"	"0"	"17"	"10"	"0"	"11"	"3"	"9"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"21"	"6"	"0"	"190"	"190"	"1"	"0"
"12638"	"4"	"12"	"21"	"2"	"400"	"28"	"21"	"52"	"1"	"12"	"8"	"0"	"25"	"8"	"1"	"14"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"5"	"2"	"0"	"188"	"188"	"1"	"0"
"12639"	"4"	"12"	"21"	"2"	"400"	"28"	"15"	"98"	"3"	"4"	"2"	"5"	"42"	"7"	"3"	"3"	"28"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"17"	"9"	"0"	"272"	"272"	"1"	"0"
"12640"	"4"	"12"	"21"	"2"	"400"	"20"	"9"	"32"	"1"	"8"	"3"	"3"	"15"	"7"	"2"	"0"	"13"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"11"	"1"	"0"	"127"	"127"	"1"	"0"
"12641"	"4"	"12"	"21"	"2"	"400"	"14"	"14"	"41"	"2"	"6"	"4"	"4"	"17"	"4"	"1"	"2"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"5"	"1"	"0"	"130"	"130"	"1"	"0"
"12642"	"4"	"12"	"21"	"2"	"380"	"6"	"70"	"18"	"3"	"5"	"8"	"0"	"128"	"2"	"3"	"2"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"17"	"6"	"2"	"273"	"273"	"1"	"0"
"12643"	"4"	"12"	"21"	"2"	"199"	"1"	"36"	"3"	"2"	"3"	"3"	"2"	"72"	"2"	"3"	"0"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"6"	"1"	"0"	"138"	"138"	"1"	"0"
"12644"	"4"	"12"	"21"	"2"	"198"	"4"	"16"	"12"	"1"	"4"	"7"	"1"	"84"	"4"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"138"	"138"	"0"	"1"	"0"	"139"	"139"	"1"	"0"
"12645"	"4"	"12"	"21"	"2"	"400"	"16"	"5"	"26"	"3"	"6"	"1"	"1"	"6"	"2"	"2"	"4"	"2"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"79"	"79"	"8"	"2"	"0"	"89"	"89"	"1"	"0"
"12646"	"4"	"12"	"21"	"2"	"400"	"12"	"3"	"20"	"2"	"6"	"0"	"1"	"7"	"2"	"1"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"62"	"62"	"7"	"4"	"0"	"73"	"73"	"1"	"0"
