"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"URNG_MAIZ"	"TODOS"	"PODEMOS"	"FUERZA"	"PHG"	"FCN_NACION"	"UNE"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8461"	"4"	"7"	"19"	"2"	"400"	"144"	"3"	"78"	"71"	"4"	"25"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"333"	"333"	"5"	"5"	"0"	"343"	"343"	"1"	"0"
"8462"	"4"	"7"	"19"	"2"	"400"	"138"	"1"	"102"	"72"	"4"	"16"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"334"	"334"	"2"	"0"	"0"	"336"	"336"	"1"	"0"
"8463"	"4"	"7"	"19"	"2"	"400"	"146"	"0"	"85"	"70"	"4"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"3"	"0"	"0"	"328"	"328"	"1"	"0"
"8464"	"4"	"7"	"19"	"2"	"400"	"138"	"5"	"84"	"71"	"1"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"325"	"325"	"3"	"2"	"0"	"330"	"330"	"1"	"0"
"8465"	"4"	"7"	"19"	"2"	"400"	"143"	"0"	"79"	"74"	"3"	"19"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"321"	"321"	"5"	"1"	"0"	"327"	"327"	"1"	"0"
"8466"	"4"	"7"	"19"	"2"	"400"	"142"	"0"	"90"	"86"	"3"	"15"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"340"	"340"	"8"	"1"	"0"	"349"	"349"	"1"	"0"
"8467"	"4"	"7"	"19"	"2"	"400"	"126"	"3"	"86"	"70"	"5"	"23"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"318"	"318"	"9"	"4"	"0"	"331"	"331"	"1"	"0"
"8468"	"4"	"7"	"19"	"2"	"400"	"140"	"3"	"66"	"91"	"5"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"323"	"323"	"10"	"7"	"0"	"340"	"340"	"1"	"0"
"8469"	"4"	"7"	"19"	"2"	"400"	"129"	"2"	"90"	"84"	"5"	"20"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"334"	"334"	"3"	"2"	"0"	"339"	"339"	"1"	"0"
"8470"	"4"	"7"	"19"	"2"	"400"	"160"	"0"	"73"	"70"	"6"	"21"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"336"	"336"	"5"	"3"	"0"	"344"	"344"	"1"	"0"
