"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"CCT"	"UNE"	"BIEN"	"VAMOS"	"PHG"	"SEMILLA"	"TODOS"	"VICTORIA"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12079"	"4"	"12"	"10"	"2"	"379"	"22"	"46"	"10"	"5"	"22"	"1"	"0"	"78"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"20"	"5"	"1"	"220"	"220"	"1"	"0"
"12080"	"4"	"12"	"10"	"2"	"0"	"31"	"48"	"13"	"1"	"31"	"4"	"0"	"89"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"13"	"4"	"0"	"0"	"238"	"0"	"0"
"12081"	"4"	"12"	"10"	"2"	"380"	"34"	"42"	"10"	"4"	"18"	"3"	"3"	"63"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"13"	"3"	"0"	"199"	"199"	"1"	"0"
"12082"	"4"	"12"	"10"	"2"	"380"	"36"	"36"	"11"	"4"	"31"	"1"	"2"	"65"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"8"	"1"	"0"	"207"	"207"	"1"	"0"
"12083"	"4"	"12"	"10"	"2"	"0"	"15"	"16"	"4"	"5"	"13"	"1"	"1"	"42"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"13"	"6"	"0"	"125"	"125"	"1"	"0"
"12084"	"4"	"12"	"10"	"2"	"258"	"15"	"24"	"8"	"2"	"12"	"5"	"2"	"38"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"112"	"112"	"4"	"2"	"0"	"118"	"118"	"1"	"0"
"12085"	"4"	"12"	"10"	"2"	"380"	"51"	"18"	"9"	"2"	"21"	"5"	"2"	"77"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"9"	"7"	"0"	"202"	"202"	"1"	"0"
"12086"	"4"	"12"	"10"	"2"	"380"	"59"	"14"	"6"	"2"	"21"	"3"	"2"	"65"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"10"	"2"	"0"	"187"	"187"	"1"	"0"
"12087"	"4"	"12"	"10"	"2"	"193"	"30"	"8"	"1"	"1"	"13"	"3"	"1"	"37"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"8"	"4"	"0"	"111"	"111"	"1"	"0"
"12088"	"4"	"12"	"10"	"2"	"0"	"24"	"8"	"2"	"2"	"16"	"2"	"2"	"29"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"90"	"90"	"3"	"2"	"0"	"95"	"95"	"1"	"0"
"12089"	"4"	"12"	"10"	"2"	"380"	"44"	"59"	"19"	"5"	"25"	"4"	"2"	"41"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"19"	"14"	"0"	"237"	"237"	"1"	"0"
"12090"	"4"	"12"	"10"	"2"	"269"	"19"	"42"	"7"	"0"	"20"	"5"	"0"	"39"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"139"	"139"	"16"	"4"	"0"	"159"	"159"	"1"	"0"
"12091"	"4"	"12"	"10"	"2"	"270"	"36"	"37"	"6"	"4"	"10"	"2"	"0"	"31"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"7"	"2"	"0"	"137"	"137"	"1"	"0"
"12092"	"4"	"12"	"10"	"2"	"600"	"41"	"33"	"6"	"9"	"22"	"0"	"5"	"43"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"162"	"11"	"7"	"0"	"182"	"180"	"0"	"0"
"12093"	"4"	"12"	"10"	"2"	"600"	"46"	"43"	"8"	"4"	"17"	"1"	"3"	"48"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"21"	"6"	"0"	"198"	"198"	"1"	"0"
"12094"	"4"	"12"	"10"	"2"	"600"	"40"	"54"	"5"	"4"	"23"	"5"	"9"	"54"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"196"	"18"	"9"	"0"	"223"	"223"	"0"	"0"
"12095"	"4"	"12"	"10"	"2"	"600"	"39"	"31"	"12"	"0"	"23"	"3"	"1"	"38"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"9"	"5"	"0"	"164"	"164"	"1"	"0"
"12096"	"4"	"12"	"10"	"2"	"412"	"15"	"14"	"5"	"3"	"8"	"4"	"4"	"30"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"5"	"3"	"0"	"95"	"95"	"1"	"0"
"12097"	"4"	"12"	"10"	"2"	"411"	"13"	"12"	"3"	"1"	"8"	"3"	"0"	"17"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"61"	"5"	"2"	"0"	"68"	"68"	"1"	"0"
