"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"UNE"	"VALOR"	"UNIONISTA"	"FCN_NACION"	"VIVA"	"PPT"	"UCN"	"CONVERGENCIA"	"EG"	"CREO"	"SEMILLA"	"FUERZA"	"PC"	"PODEMOS"	"BIEN"	"LIBRE"	"URNG_MAIZ"	"VICTORIA"	"UNIDOS"	"PHG"	"PAN"	"AVANZA"	"MLP"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"3324"	"3"	"1"	"10"	"1"	"380"	"1"	"15"	"2"	"20"	"7"	"31"	"25"	"7"	"0"	"4"	"0"	"0"	"1"	"6"	"0"	"5"	"0"	"4"	"3"	"2"	"1"	"1"	"1"	"3"	"1"	"8"	"0"	"0"	"0"	"0"	"148"	"148"	"30"	"32"	"0"	"210"	"210"	"1"	"0"
"3325"	"3"	"1"	"10"	"1"	"380"	"13"	"16"	"4"	"27"	"2"	"31"	"19"	"5"	"1"	"1"	"1"	"5"	"1"	"6"	"3"	"1"	"0"	"3"	"3"	"3"	"5"	"0"	"9"	"9"	"0"	"8"	"0"	"0"	"0"	"0"	"176"	"176"	"18"	"23"	"0"	"217"	"217"	"1"	"0"
"3326"	"3"	"1"	"10"	"1"	"380"	"6"	"20"	"5"	"23"	"6"	"30"	"16"	"5"	"2"	"0"	"0"	"3"	"3"	"1"	"1"	"4"	"0"	"4"	"0"	"4"	"0"	"3"	"3"	"1"	"1"	"4"	"0"	"4"	"0"	"4"	"165"	"165"	"23"	"24"	"0"	"212"	"212"	"1"	"0"
"3327"	"3"	"1"	"10"	"1"	"380"	"3"	"17"	"2"	"21"	"4"	"43"	"20"	"3"	"1"	"1"	"1"	"2"	"3"	"5"	"0"	"1"	"1"	"2"	"1"	"4"	"3"	"0"	"2"	"9"	"2"	"12"	"0"	"0"	"0"	"0"	"163"	"163"	"24"	"22"	"0"	"209"	"209"	"1"	"0"
"3328"	"3"	"1"	"10"	"1"	"380"	"2"	"13"	"4"	"23"	"1"	"32"	"24"	"8"	"1"	"1"	"1"	"3"	"4"	"2"	"2"	"5"	"0"	"3"	"1"	"2"	"1"	"3"	"4"	"2"	"2"	"5"	"0"	"3"	"1"	"2"	"154"	"154"	"24"	"26"	"0"	"204"	"204"	"1"	"0"
"3329"	"3"	"1"	"10"	"1"	"380"	"3"	"15"	"1"	"12"	"1"	"40"	"13"	"7"	"3"	"0"	"2"	"0"	"1"	"2"	"1"	"1"	"0"	"2"	"0"	"2"	"3"	"2"	"4"	"7"	"2"	"9"	"0"	"0"	"0"	"0"	"133"	"133"	"32"	"28"	"0"	"193"	"193"	"1"	"0"
"3330"	"3"	"1"	"10"	"1"	"380"	"2"	"15"	"3"	"23"	"3"	"26"	"19"	"6"	"1"	"1"	"1"	"3"	"3"	"5"	"0"	"3"	"0"	"1"	"0"	"4"	"1"	"0"	"2"	"7"	"0"	"6"	"0"	"0"	"0"	"0"	"136"	"135"	"33"	"25"	"0"	"194"	"193"	"0"	"0"
"3331"	"3"	"1"	"10"	"1"	"380"	"6"	"12"	"2"	"18"	"2"	"36"	"17"	"2"	"0"	"2"	"1"	"1"	"3"	"2"	"1"	"3"	"0"	"2"	"0"	"1"	"1"	"1"	"3"	"2"	"1"	"3"	"0"	"2"	"0"	"1"	"126"	"126"	"30"	"28"	"0"	"184"	"184"	"1"	"0"
"3332"	"3"	"1"	"10"	"1"	"380"	"5"	"12"	"0"	"14"	"0"	"24"	"20"	"6"	"1"	"1"	"1"	"4"	"5"	"1"	"1"	"0"	"0"	"1"	"1"	"3"	"1"	"1"	"4"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"117"	"117"	"38"	"24"	"0"	"179"	"179"	"1"	"0"
"3333"	"3"	"1"	"10"	"1"	"380"	"8"	"15"	"1"	"14"	"3"	"17"	"17"	"2"	"4"	"1"	"6"	"2"	"2"	"2"	"4"	"0"	"1"	"1"	"1"	"2"	"1"	"2"	"0"	"6"	"2"	"9"	"0"	"0"	"0"	"0"	"123"	"123"	"13"	"34"	"0"	"170"	"170"	"1"	"0"
"3334"	"3"	"1"	"10"	"1"	"380"	"3"	"14"	"6"	"18"	"3"	"32"	"14"	"3"	"1"	"4"	"0"	"4"	"3"	"3"	"1"	"2"	"2"	"5"	"2"	"11"	"0"	"4"	"3"	"3"	"1"	"2"	"2"	"5"	"2"	"11"	"149"	"149"	"12"	"17"	"0"	"178"	"178"	"1"	"0"
"3335"	"3"	"1"	"10"	"1"	"376"	"7"	"27"	"6"	"21"	"10"	"36"	"25"	"6"	"3"	"0"	"3"	"4"	"7"	"4"	"0"	"3"	"2"	"7"	"3"	"0"	"1"	"1"	"5"	"4"	"0"	"18"	"0"	"0"	"0"	"0"	"203"	"203"	"19"	"14"	"0"	"236"	"236"	"1"	"0"
"3336"	"3"	"1"	"10"	"1"	"376"	"3"	"15"	"3"	"21"	"3"	"35"	"24"	"5"	"1"	"2"	"2"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"2"	"2"	"0"	"2"	"1"	"1"	"0"	"1"	"2"	"1"	"2"	"154"	"154"	"10"	"15"	"0"	"179"	"179"	"1"	"0"
"3337"	"3"	"1"	"10"	"1"	"397"	"8"	"41"	"7"	"24"	"7"	"11"	"1"	"12"	"1"	"2"	"5"	"8"	"2"	"16"	"3"	"1"	"4"	"11"	"2"	"7"	"9"	"2"	"6"	"4"	"2"	"7"	"0"	"0"	"0"	"0"	"203"	"203"	"21"	"14"	"0"	"238"	"238"	"1"	"0"
"3338"	"3"	"1"	"10"	"1"	"0"	"6"	"48"	"1"	"35"	"3"	"6"	"10"	"10"	"1"	"5"	"1"	"2"	"6"	"12"	"3"	"1"	"2"	"7"	"0"	"10"	"6"	"3"	"8"	"17"	"3"	"4"	"0"	"0"	"0"	"0"	"210"	"210"	"29"	"16"	"0"	"255"	"255"	"1"	"0"
"3339"	"3"	"1"	"10"	"1"	"400"	"10"	"53"	"4"	"17"	"4"	"7"	"2"	"18"	"0"	"4"	"2"	"2"	"4"	"6"	"2"	"3"	"2"	"17"	"2"	"14"	"8"	"2"	"9"	"8"	"5"	"10"	"0"	"0"	"0"	"0"	"215"	"215"	"19"	"12"	"0"	"246"	"246"	"1"	"0"
"3340"	"3"	"1"	"10"	"1"	"400"	"4"	"41"	"7"	"35"	"8"	"9"	"7"	"32"	"2"	"4"	"2"	"1"	"6"	"8"	"0"	"0"	"2"	"12"	"1"	"13"	"2"	"1"	"6"	"8"	"0"	"0"	"2"	"12"	"1"	"13"	"227"	"227"	"26"	"13"	"0"	"266"	"266"	"1"	"0"
"3341"	"3"	"1"	"10"	"1"	"400"	"15"	"40"	"4"	"25"	"4"	"5"	"5"	"30"	"1"	"2"	"1"	"6"	"7"	"10"	"0"	"3"	"0"	"11"	"2"	"14"	"9"	"2"	"12"	"11"	"4"	"7"	"0"	"0"	"0"	"0"	"230"	"230"	"17"	"15"	"0"	"262"	"262"	"1"	"0"
"3342"	"3"	"1"	"10"	"1"	"400"	"11"	"34"	"8"	"28"	"1"	"5"	"7"	"22"	"2"	"4"	"1"	"2"	"9"	"5"	"2"	"0"	"1"	"7"	"0"	"13"	"1"	"2"	"9"	"5"	"2"	"0"	"1"	"7"	"0"	"13"	"205"	"205"	"28"	"13"	"0"	"246"	"246"	"1"	"0"
"3343"	"3"	"1"	"10"	"1"	"400"	"8"	"42"	"15"	"32"	"2"	"11"	"3"	"25"	"1"	"2"	"3"	"2"	"8"	"5"	"0"	"0"	"1"	"5"	"2"	"9"	"3"	"2"	"8"	"5"	"0"	"0"	"1"	"5"	"2"	"9"	"211"	"211"	"26"	"11"	"0"	"248"	"248"	"1"	"0"
"3344"	"3"	"1"	"10"	"1"	"400"	"6"	"32"	"7"	"27"	"5"	"9"	"8"	"29"	"0"	"1"	"7"	"3"	"4"	"6"	"0"	"2"	"1"	"7"	"4"	"13"	"7"	"3"	"4"	"6"	"0"	"2"	"1"	"7"	"4"	"13"	"207"	"207"	"22"	"6"	"0"	"235"	"235"	"1"	"0"
"3345"	"3"	"1"	"10"	"1"	"386"	"7"	"47"	"13"	"16"	"9"	"9"	"3"	"16"	"0"	"2"	"2"	"2"	"1"	"8"	"0"	"1"	"2"	"0"	"1"	"7"	"9"	"0"	"8"	"5"	"3"	"7"	"0"	"0"	"0"	"0"	"178"	"178"	"19"	"5"	"24"	"202"	"202"	"1"	"0"
"3346"	"3"	"1"	"10"	"1"	"400"	"4"	"52"	"8"	"17"	"8"	"6"	"4"	"24"	"0"	"5"	"3"	"3"	"6"	"11"	"1"	"0"	"1"	"10"	"1"	"12"	"3"	"4"	"8"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"199"	"199"	"13"	"5"	"0"	"217"	"217"	"1"	"0"
"3347"	"3"	"1"	"10"	"1"	"406"	"12"	"39"	"4"	"20"	"5"	"9"	"1"	"6"	"5"	"1"	"2"	"1"	"5"	"5"	"2"	"2"	"3"	"6"	"1"	"5"	"3"	"3"	"12"	"8"	"3"	"4"	"0"	"0"	"0"	"0"	"167"	"167"	"22"	"5"	"0"	"194"	"194"	"1"	"0"
"3348"	"3"	"1"	"10"	"1"	"400"	"7"	"45"	"6"	"26"	"2"	"12"	"4"	"17"	"1"	"3"	"3"	"5"	"5"	"6"	"1"	"0"	"3"	"9"	"2"	"10"	"9"	"5"	"9"	"7"	"3"	"5"	"0"	"0"	"0"	"0"	"205"	"205"	"23"	"10"	"0"	"238"	"238"	"1"	"0"
"3349"	"3"	"1"	"10"	"1"	"399"	"6"	"49"	"4"	"21"	"8"	"6"	"4"	"14"	"3"	"6"	"1"	"12"	"7"	"11"	"2"	"1"	"3"	"8"	"1"	"8"	"9"	"2"	"10"	"16"	"5"	"9"	"0"	"0"	"0"	"0"	"226"	"226"	"12"	"7"	"0"	"245"	"245"	"1"	"0"
"3350"	"3"	"1"	"10"	"1"	"400"	"11"	"46"	"9"	"19"	"7"	"16"	"4"	"10"	"1"	"3"	"1"	"3"	"6"	"6"	"2"	"1"	"0"	"11"	"0"	"10"	"5"	"5"	"11"	"7"	"6"	"7"	"0"	"0"	"0"	"0"	"207"	"207"	"26"	"17"	"0"	"250"	"250"	"1"	"0"
"3351"	"3"	"1"	"10"	"1"	"400"	"33"	"16"	"6"	"40"	"0"	"8"	"4"	"16"	"3"	"0"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"20"	"1"	"27"	"24"	"0"	"12"	"0"	"0"	"0"	"0"	"225"	"225"	"14"	"8"	"0"	"247"	"247"	"1"	"0"
"3352"	"3"	"1"	"10"	"1"	"399"	"9"	"53"	"5"	"14"	"4"	"8"	"8"	"13"	"1"	"4"	"2"	"2"	"6"	"9"	"1"	"1"	"3"	"7"	"2"	"9"	"9"	"1"	"9"	"13"	"2"	"2"	"0"	"0"	"0"	"0"	"198"	"197"	"30"	"12"	"0"	"240"	"239"	"0"	"0"
"3353"	"3"	"1"	"10"	"1"	"400"	"8"	"55"	"13"	"23"	"7"	"10"	"3"	"11"	"0"	"3"	"2"	"3"	"8"	"10"	"1"	"1"	"2"	"11"	"0"	"22"	"7"	"1"	"9"	"11"	"5"	"7"	"0"	"0"	"0"	"0"	"233"	"233"	"23"	"11"	"0"	"267"	"267"	"1"	"0"
"3354"	"3"	"1"	"10"	"1"	"400"	"7"	"38"	"11"	"25"	"3"	"6"	"8"	"23"	"1"	"6"	"2"	"4"	"4"	"6"	"1"	"2"	"4"	"9"	"1"	"13"	"2"	"4"	"4"	"6"	"1"	"2"	"4"	"9"	"1"	"13"	"213"	"213"	"23"	"8"	"0"	"244"	"244"	"1"	"0"
"3355"	"3"	"1"	"10"	"1"	"400"	"4"	"48"	"9"	"24"	"3"	"8"	"14"	"14"	"0"	"2"	"2"	"4"	"5"	"5"	"2"	"2"	"0"	"9"	"2"	"8"	"7"	"1"	"9"	"7"	"3"	"8"	"0"	"0"	"0"	"0"	"200"	"200"	"10"	"12"	"0"	"232"	"222"	"0"	"0"
"3356"	"3"	"1"	"10"	"1"	"400"	"9"	"42"	"3"	"26"	"8"	"5"	"8"	"14"	"3"	"2"	"2"	"4"	"5"	"8"	"1"	"4"	"2"	"9"	"1"	"10"	"10"	"1"	"8"	"15"	"5"	"5"	"0"	"0"	"0"	"0"	"210"	"210"	"17"	"17"	"0"	"244"	"244"	"1"	"0"
"3357"	"3"	"1"	"10"	"1"	"400"	"8"	"43"	"3"	"35"	"6"	"11"	"6"	"12"	"2"	"2"	"1"	"3"	"4"	"6"	"1"	"1"	"1"	"7"	"0"	"12"	"10"	"2"	"5"	"16"	"3"	"8"	"0"	"0"	"0"	"0"	"208"	"208"	"26"	"12"	"0"	"246"	"246"	"1"	"0"
"3358"	"3"	"1"	"10"	"1"	"400"	"12"	"50"	"7"	"19"	"4"	"5"	"7"	"23"	"3"	"0"	"1"	"4"	"8"	"8"	"0"	"0"	"1"	"6"	"1"	"9"	"4"	"1"	"6"	"11"	"5"	"9"	"0"	"0"	"0"	"0"	"204"	"204"	"27"	"15"	"0"	"246"	"246"	"1"	"0"
"3359"	"3"	"1"	"10"	"1"	"411"	"8"	"46"	"2"	"18"	"4"	"9"	"7"	"15"	"0"	"3"	"1"	"1"	"5"	"6"	"2"	"1"	"1"	"7"	"2"	"6"	"3"	"4"	"10"	"12"	"4"	"8"	"0"	"0"	"0"	"0"	"185"	"185"	"28"	"11"	"1"	"224"	"224"	"1"	"0"
"3360"	"3"	"1"	"10"	"1"	"400"	"6"	"45"	"5"	"18"	"5"	"7"	"7"	"11"	"1"	"0"	"2"	"4"	"5"	"6"	"2"	"2"	"1"	"9"	"2"	"7"	"0"	"0"	"10"	"11"	"2"	"6"	"0"	"0"	"0"	"0"	"181"	"174"	"17"	"15"	"0"	"213"	"206"	"0"	"0"
"3361"	"3"	"1"	"10"	"1"	"400"	"8"	"33"	"0"	"16"	"9"	"9"	"4"	"7"	"2"	"2"	"1"	"5"	"4"	"4"	"0"	"4"	"1"	"6"	"7"	"11"	"6"	"0"	"8"	"16"	"3"	"9"	"0"	"0"	"0"	"0"	"185"	"175"	"21"	"7"	"0"	"213"	"203"	"0"	"0"
"3362"	"3"	"1"	"10"	"1"	"400"	"15"	"29"	"13"	"22"	"8"	"7"	"4"	"10"	"1"	"2"	"1"	"7"	"4"	"5"	"3"	"2"	"1"	"5"	"1"	"9"	"5"	"0"	"12"	"14"	"4"	"6"	"0"	"0"	"0"	"0"	"190"	"190"	"18"	"8"	"0"	"216"	"216"	"1"	"0"
"3363"	"3"	"1"	"10"	"1"	"397"	"10"	"43"	"14"	"20"	"3"	"10"	"7"	"15"	"2"	"1"	"3"	"1"	"8"	"7"	"1"	"2"	"0"	"9"	"1"	"12"	"4"	"0"	"10"	"9"	"3"	"7"	"0"	"0"	"0"	"0"	"202"	"202"	"22"	"6"	"0"	"229"	"230"	"0"	"1"
"3364"	"3"	"1"	"10"	"1"	"400"	"12"	"42"	"11"	"8"	"11"	"6"	"7"	"17"	"1"	"1"	"0"	"6"	"10"	"11"	"2"	"1"	"4"	"7"	"4"	"17"	"8"	"1"	"14"	"5"	"6"	"12"	"0"	"0"	"0"	"0"	"224"	"224"	"25"	"3"	"0"	"252"	"252"	"1"	"0"
"3365"	"3"	"1"	"10"	"1"	"363"	"5"	"52"	"14"	"9"	"4"	"4"	"9"	"20"	"0"	"2"	"4"	"4"	"6"	"20"	"2"	"3"	"3"	"10"	"0"	"11"	"8"	"0"	"12"	"2"	"7"	"5"	"0"	"0"	"0"	"0"	"216"	"216"	"21"	"3"	"0"	"240"	"240"	"1"	"0"
"3366"	"3"	"1"	"10"	"1"	"362"	"5"	"47"	"7"	"13"	"4"	"11"	"4"	"13"	"2"	"1"	"1"	"3"	"4"	"4"	"1"	"1"	"1"	"8"	"0"	"10"	"10"	"2"	"10"	"11"	"1"	"9"	"0"	"0"	"0"	"0"	"183"	"183"	"13"	"2"	"0"	"198"	"198"	"1"	"0"
"3367"	"3"	"1"	"10"	"1"	"400"	"11"	"32"	"8"	"20"	"5"	"5"	"4"	"17"	"0"	"4"	"4"	"3"	"7"	"7"	"1"	"1"	"1"	"14"	"2"	"13"	"12"	"1"	"4"	"6"	"0"	"4"	"0"	"0"	"0"	"0"	"186"	"186"	"26"	"15"	"0"	"227"	"227"	"1"	"0"
"3368"	"3"	"1"	"10"	"1"	"0"	"8"	"41"	"16"	"22"	"5"	"7"	"2"	"10"	"1"	"1"	"3"	"1"	"5"	"7"	"2"	"3"	"3"	"5"	"3"	"10"	"7"	"3"	"15"	"9"	"2"	"5"	"0"	"0"	"0"	"0"	"196"	"196"	"22"	"10"	"0"	"228"	"228"	"1"	"0"
"3369"	"3"	"1"	"10"	"1"	"377"	"9"	"40"	"8"	"14"	"12"	"5"	"6"	"15"	"1"	"4"	"2"	"3"	"7"	"10"	"1"	"1"	"2"	"9"	"3"	"12"	"10"	"0"	"11"	"15"	"6"	"8"	"0"	"0"	"0"	"0"	"214"	"214"	"27"	"5"	"0"	"246"	"246"	"1"	"0"
"3370"	"3"	"1"	"10"	"1"	"376"	"11"	"33"	"9"	"17"	"11"	"10"	"4"	"14"	"1"	"2"	"3"	"0"	"4"	"7"	"2"	"0"	"1"	"9"	"6"	"11"	"6"	"11"	"0"	"11"	"3"	"5"	"0"	"0"	"0"	"0"	"194"	"191"	"25"	"13"	"0"	"232"	"229"	"0"	"0"
"3371"	"3"	"1"	"10"	"1"	"0"	"6"	"48"	"10"	"14"	"5"	"11"	"5"	"21"	"3"	"1"	"2"	"5"	"6"	"13"	"2"	"3"	"1"	"12"	"2"	"17"	"7"	"2"	"6"	"7"	"3"	"8"	"0"	"0"	"0"	"0"	"220"	"220"	"21"	"8"	"0"	"249"	"249"	"1"	"0"
"3372"	"3"	"1"	"10"	"1"	"380"	"8"	"39"	"9"	"17"	"5"	"6"	"7"	"23"	"1"	"2"	"5"	"3"	"5"	"16"	"1"	"0"	"1"	"8"	"3"	"9"	"6"	"1"	"5"	"13"	"1"	"8"	"0"	"0"	"0"	"0"	"202"	"202"	"22"	"14"	"0"	"238"	"238"	"1"	"0"
"3373"	"3"	"1"	"10"	"1"	"380"	"13"	"53"	"15"	"10"	"4"	"12"	"3"	"10"	"2"	"2"	"2"	"4"	"6"	"25"	"0"	"1"	"0"	"13"	"1"	"11"	"7"	"4"	"7"	"7"	"6"	"5"	"0"	"0"	"0"	"0"	"225"	"223"	"18"	"3"	"0"	"0"	"244"	"0"	"0"
"3374"	"3"	"1"	"10"	"1"	"0"	"12"	"38"	"13"	"17"	"4"	"10"	"4"	"13"	"1"	"0"	"1"	"3"	"7"	"11"	"1"	"1"	"1"	"8"	"2"	"15"	"9"	"3"	"10"	"19"	"1"	"2"	"0"	"0"	"0"	"0"	"206"	"206"	"18"	"8"	"0"	"232"	"232"	"1"	"0"
"3375"	"3"	"1"	"10"	"1"	"380"	"7"	"43"	"13"	"12"	"4"	"9"	"2"	"15"	"1"	"0"	"3"	"4"	"7"	"13"	"3"	"1"	"1"	"11"	"1"	"10"	"9"	"1"	"12"	"6"	"0"	"7"	"0"	"0"	"0"	"0"	"195"	"195"	"22"	"8"	"0"	"195"	"225"	"0"	"0"
"3376"	"3"	"1"	"10"	"1"	"380"	"7"	"52"	"8"	"14"	"7"	"9"	"7"	"16"	"1"	"4"	"2"	"3"	"7"	"10"	"1"	"1"	"1"	"13"	"1"	"6"	"11"	"0"	"2"	"12"	"0"	"3"	"0"	"0"	"0"	"0"	"198"	"198"	"14"	"4"	"0"	"216"	"216"	"1"	"0"
"3377"	"3"	"1"	"10"	"1"	"380"	"7"	"36"	"11"	"6"	"8"	"5"	"6"	"11"	"0"	"0"	"0"	"2"	"8"	"11"	"1"	"4"	"2"	"6"	"2"	"6"	"3"	"1"	"11"	"6"	"3"	"10"	"0"	"0"	"0"	"0"	"166"	"166"	"33"	"3"	"0"	"202"	"202"	"1"	"0"
"3378"	"3"	"1"	"10"	"1"	"380"	"7"	"44"	"13"	"9"	"7"	"8"	"6"	"14"	"1"	"2"	"5"	"5"	"1"	"12"	"1"	"3"	"2"	"7"	"1"	"4"	"4"	"6"	"11"	"7"	"1"	"6"	"0"	"0"	"0"	"0"	"187"	"187"	"14"	"6"	"0"	"207"	"207"	"1"	"0"
"3379"	"3"	"1"	"10"	"1"	"0"	"14"	"42"	"8"	"13"	"11"	"6"	"9"	"17"	"0"	"2"	"0"	"0"	"3"	"10"	"0"	"0"	"0"	"15"	"3"	"13"	"7"	"1"	"0"	"12"	"4"	"7"	"0"	"0"	"0"	"0"	"213"	"197"	"17"	"3"	"0"	"233"	"217"	"0"	"0"
"3380"	"3"	"1"	"10"	"1"	"380"	"13"	"41"	"7"	"12"	"5"	"2"	"7"	"12"	"2"	"1"	"2"	"0"	"5"	"8"	"1"	"3"	"0"	"15"	"2"	"14"	"10"	"3"	"11"	"11"	"2"	"7"	"0"	"0"	"0"	"0"	"196"	"196"	"29"	"3"	"1"	"228"	"228"	"1"	"0"
"3381"	"3"	"1"	"10"	"1"	"0"	"7"	"35"	"6"	"18"	"8"	"8"	"3"	"27"	"1"	"3"	"2"	"5"	"6"	"2"	"0"	"3"	"3"	"10"	"4"	"5"	"6"	"2"	"13"	"6"	"5"	"2"	"0"	"0"	"0"	"0"	"200"	"190"	"22"	"5"	"0"	"227"	"217"	"0"	"0"
"3382"	"3"	"1"	"10"	"1"	"380"	"7"	"38"	"15"	"19"	"7"	"5"	"3"	"19"	"2"	"2"	"2"	"1"	"8"	"9"	"2"	"1"	"0"	"14"	"1"	"15"	"5"	"4"	"9"	"7"	"2"	"4"	"0"	"0"	"0"	"0"	"203"	"201"	"16"	"6"	"0"	"225"	"223"	"0"	"0"
"3383"	"3"	"1"	"10"	"1"	"0"	"8"	"37"	"10"	"13"	"9"	"5"	"4"	"20"	"1"	"4"	"1"	"1"	"15"	"11"	"1"	"1"	"0"	"10"	"8"	"14"	"10"	"1"	"11"	"7"	"1"	"7"	"0"	"0"	"0"	"0"	"210"	"210"	"22"	"6"	"0"	"238"	"238"	"1"	"0"
"3384"	"3"	"1"	"10"	"1"	"380"	"8"	"44"	"7"	"15"	"9"	"3"	"4"	"17"	"0"	"3"	"3"	"4"	"7"	"7"	"0"	"1"	"2"	"11"	"3"	"10"	"12"	"2"	"7"	"12"	"4"	"5"	"0"	"0"	"0"	"0"	"200"	"200"	"19"	"5"	"0"	"224"	"224"	"1"	"0"
"3385"	"3"	"1"	"10"	"1"	"204"	"13"	"42"	"3"	"13"	"12"	"5"	"2"	"21"	"0"	"2"	"4"	"1"	"9"	"16"	"0"	"2"	"2"	"11"	"0"	"14"	"4"	"1"	"9"	"16"	"0"	"2"	"2"	"11"	"0"	"14"	"204"	"204"	"25"	"0"	"0"	"229"	"229"	"1"	"0"
"3386"	"3"	"1"	"10"	"1"	"380"	"11"	"40"	"8"	"12"	"9"	"7"	"6"	"30"	"1"	"1"	"2"	"3"	"4"	"11"	"1"	"3"	"4"	"11"	"3"	"14"	"12"	"1"	"9"	"9"	"2"	"7"	"0"	"0"	"0"	"0"	"221"	"221"	"13"	"5"	"2"	"241"	"239"	"0"	"0"
"3387"	"3"	"1"	"10"	"1"	"380"	"12"	"40"	"9"	"10"	"12"	"7"	"4"	"16"	"1"	"5"	"1"	"1"	"8"	"13"	"2"	"0"	"0"	"10"	"4"	"13"	"6"	"0"	"14"	"13"	"4"	"3"	"0"	"0"	"0"	"0"	"208"	"208"	"24"	"11"	"4"	"243"	"243"	"1"	"0"
"3388"	"3"	"1"	"10"	"1"	"380"	"10"	"40"	"12"	"9"	"7"	"9"	"5"	"18"	"1"	"0"	"4"	"4"	"9"	"12"	"0"	"2"	"4"	"3"	"1"	"12"	"2"	"2"	"10"	"12"	"4"	"5"	"0"	"0"	"0"	"0"	"197"	"197"	"18"	"6"	"0"	"221"	"221"	"1"	"0"
"3389"	"3"	"1"	"10"	"1"	"380"	"9"	"32"	"2"	"15"	"9"	"8"	"5"	"12"	"1"	"1"	"3"	"2"	"8"	"5"	"0"	"5"	"0"	"8"	"1"	"8"	"9"	"2"	"11"	"18"	"1"	"9"	"0"	"0"	"0"	"0"	"184"	"184"	"21"	"9"	"0"	"214"	"214"	"1"	"1"
"3390"	"3"	"1"	"10"	"1"	"205"	"5"	"33"	"6"	"15"	"7"	"5"	"4"	"13"	"0"	"3"	"1"	"2"	"8"	"8"	"0"	"2"	"0"	"8"	"3"	"13"	"1"	"2"	"8"	"8"	"0"	"2"	"0"	"8"	"3"	"13"	"171"	"171"	"21"	"13"	"0"	"205"	"205"	"1"	"0"
"3391"	"3"	"1"	"10"	"1"	"380"	"9"	"32"	"9"	"16"	"6"	"3"	"5"	"12"	"1"	"3"	"2"	"2"	"9"	"3"	"1"	"2"	"1"	"9"	"3"	"11"	"2"	"2"	"9"	"3"	"1"	"2"	"1"	"9"	"3"	"11"	"175"	"175"	"21"	"14"	"0"	"210"	"210"	"1"	"0"
"3392"	"3"	"1"	"10"	"1"	"380"	"12"	"52"	"3"	"14"	"6"	"3"	"3"	"15"	"1"	"2"	"1"	"1"	"0"	"5"	"2"	"3"	"1"	"13"	"0"	"13"	"1"	"1"	"0"	"5"	"2"	"3"	"1"	"13"	"0"	"13"	"185"	"185"	"11"	"4"	"0"	"200"	"200"	"1"	"0"
"3393"	"3"	"1"	"10"	"1"	"380"	"10"	"35"	"12"	"15"	"6"	"1"	"5"	"13"	"3"	"7"	"2"	"1"	"4"	"15"	"1"	"0"	"3"	"5"	"0"	"12"	"8"	"1"	"10"	"11"	"3"	"5"	"0"	"0"	"0"	"0"	"188"	"188"	"13"	"10"	"0"	"210"	"211"	"0"	"0"
"3394"	"3"	"1"	"10"	"2"	"380"	"8"	"43"	"6"	"17"	"7"	"5"	"6"	"15"	"2"	"2"	"2"	"2"	"5"	"9"	"2"	"2"	"1"	"10"	"3"	"11"	"9"	"0"	"7"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"188"	"188"	"14"	"5"	"0"	"207"	"207"	"1"	"0"
"3395"	"3"	"1"	"10"	"2"	"380"	"9"	"47"	"5"	"13"	"6"	"6"	"1"	"18"	"2"	"2"	"2"	"2"	"5"	"11"	"1"	"1"	"0"	"7"	"1"	"13"	"3"	"1"	"3"	"9"	"1"	"4"	"0"	"0"	"0"	"0"	"173"	"173"	"23"	"14"	"0"	"210"	"210"	"1"	"0"
"3396"	"3"	"1"	"10"	"2"	"380"	"8"	"38"	"8"	"17"	"9"	"6"	"1"	"12"	"4"	"1"	"3"	"4"	"8"	"9"	"6"	"0"	"1"	"10"	"2"	"8"	"9"	"0"	"5"	"9"	"2"	"3"	"0"	"0"	"0"	"0"	"183"	"183"	"18"	"4"	"0"	"205"	"205"	"1"	"0"
"3397"	"3"	"1"	"10"	"2"	"380"	"7"	"36"	"8"	"13"	"8"	"8"	"4"	"15"	"3"	"4"	"1"	"0"	"4"	"12"	"0"	"1"	"1"	"5"	"1"	"16"	"8"	"0"	"13"	"10"	"3"	"1"	"0"	"0"	"0"	"0"	"182"	"182"	"21"	"8"	"0"	"211"	"211"	"1"	"0"
"3398"	"3"	"1"	"10"	"1"	"380"	"8"	"32"	"8"	"11"	"10"	"5"	"3"	"13"	"1"	"1"	"3"	"6"	"4"	"5"	"1"	"2"	"0"	"7"	"0"	"15"	"7"	"1"	"10"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"165"	"165"	"17"	"12"	"0"	"194"	"194"	"1"	"0"
