"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"UNE"	"VALOR"	"UNIONISTA"	"FCN_NACION"	"VIVA"	"PPT"	"UCN"	"CONVERGENCIA"	"EG"	"CREO"	"SEMILLA"	"FUERZA"	"PC"	"PODEMOS"	"BIEN"	"LIBRE"	"URNG_MAIZ"	"VICTORIA"	"UNIDOS"	"PHG"	"PAN"	"AVANZA"	"MLP"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"1903"	"3"	"1"	"2"	"2"	"400"	"16"	"14"	"6"	"11"	"20"	"32"	"1"	"16"	"12"	"2"	"4"	"7"	"12"	"20"	"2"	"34"	"1"	"1"	"2"	"9"	"7"	"0"	"12"	"5"	"1"	"1"	"0"	"0"	"0"	"0"	"248"	"248"	"30"	"4"	"0"	"282"	"282"	"1"	"0"
"1904"	"3"	"1"	"2"	"2"	"400"	"11"	"5"	"4"	"7"	"7"	"35"	"2"	"21"	"21"	"5"	"0"	"2"	"10"	"18"	"2"	"44"	"2"	"1"	"3"	"6"	"4"	"0"	"15"	"4"	"5"	"2"	"0"	"0"	"0"	"0"	"236"	"236"	"26"	"14"	"0"	"276"	"276"	"1"	"0"
"1905"	"3"	"1"	"2"	"2"	"400"	"13"	"4"	"4"	"10"	"11"	"34"	"2"	"15"	"9"	"4"	"0"	"8"	"5"	"15"	"2"	"51"	"1"	"3"	"6"	"6"	"3"	"1"	"13"	"7"	"4"	"6"	"0"	"0"	"0"	"0"	"237"	"237"	"17"	"4"	"0"	"258"	"258"	"1"	"0"
"1906"	"3"	"1"	"2"	"2"	"400"	"17"	"11"	"6"	"12"	"14"	"41"	"1"	"12"	"20"	"3"	"0"	"6"	"6"	"14"	"3"	"38"	"0"	"8"	"4"	"5"	"1"	"4"	"13"	"6"	"1"	"2"	"0"	"0"	"0"	"0"	"248"	"248"	"16"	"8"	"0"	"272"	"272"	"1"	"0"
"1907"	"3"	"1"	"2"	"2"	"400"	"14"	"14"	"6"	"7"	"15"	"29"	"0"	"10"	"17"	"3"	"1"	"2"	"5"	"19"	"1"	"32"	"0"	"6"	"5"	"3"	"2"	"0"	"16"	"3"	"1"	"2"	"0"	"0"	"0"	"0"	"213"	"213"	"20"	"5"	"0"	"238"	"238"	"1"	"0"
"1908"	"3"	"1"	"2"	"1"	"401"	"17"	"8"	"13"	"8"	"21"	"24"	"1"	"14"	"10"	"4"	"2"	"5"	"8"	"17"	"3"	"30"	"2"	"2"	"4"	"4"	"2"	"5"	"8"	"17"	"3"	"30"	"2"	"2"	"4"	"4"	"232"	"229"	"16"	"5"	"0"	"253"	"250"	"0"	"0"
"1909"	"3"	"1"	"2"	"1"	"400"	"24"	"8"	"7"	"9"	"10"	"31"	"1"	"8"	"17"	"2"	"1"	"6"	"16"	"19"	"4"	"28"	"1"	"7"	"1"	"1"	"1"	"6"	"16"	"19"	"4"	"28"	"1"	"7"	"1"	"1"	"238"	"238"	"27"	"0"	"135"	"265"	"265"	"1"	"0"
"1910"	"3"	"1"	"2"	"1"	"400"	"9"	"10"	"13"	"8"	"14"	"20"	"2"	"13"	"18"	"2"	"3"	"0"	"13"	"24"	"4"	"38"	"2"	"3"	"1"	"3"	"3"	"0"	"13"	"24"	"4"	"38"	"2"	"3"	"1"	"3"	"244"	"244"	"23"	"3"	"0"	"270"	"270"	"1"	"0"
"1911"	"3"	"1"	"2"	"1"	"400"	"14"	"5"	"9"	"4"	"17"	"34"	"3"	"19"	"17"	"4"	"3"	"2"	"11"	"29"	"1"	"55"	"0"	"6"	"2"	"5"	"3"	"2"	"11"	"29"	"1"	"55"	"0"	"6"	"2"	"5"	"273"	"273"	"17"	"5"	"0"	"295"	"295"	"1"	"0"
"1912"	"3"	"1"	"2"	"1"	"336"	"15"	"11"	"11"	"4"	"16"	"24"	"2"	"5"	"22"	"1"	"0"	"3"	"7"	"17"	"5"	"42"	"1"	"0"	"1"	"4"	"0"	"3"	"7"	"17"	"5"	"42"	"1"	"0"	"1"	"4"	"219"	"219"	"18"	"7"	"3"	"244"	"244"	"1"	"0"
"1913"	"3"	"1"	"2"	"1"	"336"	"13"	"9"	"8"	"1"	"4"	"30"	"1"	"4"	"12"	"1"	"2"	"3"	"5"	"13"	"2"	"21"	"0"	"3"	"1"	"2"	"2"	"3"	"5"	"13"	"2"	"21"	"0"	"3"	"1"	"2"	"159"	"159"	"23"	"6"	"0"	"188"	"188"	"1"	"0"
"1914"	"3"	"1"	"2"	"1"	"380"	"20"	"15"	"4"	"15"	"21"	"26"	"0"	"13"	"3"	"4"	"0"	"1"	"14"	"20"	"3"	"38"	"1"	"4"	"2"	"3"	"4"	"0"	"5"	"17"	"1"	"2"	"0"	"0"	"0"	"0"	"236"	"236"	"18"	"18"	"1"	"272"	"272"	"1"	"0"
"1915"	"3"	"1"	"2"	"2"	"380"	"18"	"11"	"4"	"17"	"12"	"30"	"3"	"12"	"3"	"3"	"5"	"5"	"15"	"14"	"0"	"25"	"4"	"4"	"2"	"4"	"5"	"0"	"9"	"12"	"0"	"6"	"0"	"0"	"0"	"0"	"223"	"223"	"29"	"15"	"1"	"267"	"267"	"1"	"0"
"1916"	"3"	"1"	"2"	"2"	"380"	"17"	"7"	"8"	"17"	"13"	"28"	"1"	"13"	"6"	"3"	"7"	"3"	"12"	"18"	"1"	"36"	"1"	"1"	"1"	"3"	"5"	"1"	"14"	"11"	"1"	"5"	"0"	"0"	"0"	"0"	"233"	"233"	"24"	"16"	"0"	"273"	"273"	"1"	"0"
"1917"	"3"	"1"	"2"	"2"	"380"	"19"	"8"	"5"	"9"	"14"	"20"	"4"	"10"	"7"	"2"	"1"	"5"	"15"	"24"	"0"	"47"	"1"	"4"	"2"	"6"	"4"	"0"	"8"	"8"	"2"	"4"	"0"	"0"	"0"	"0"	"229"	"229"	"30"	"14"	"0"	"273"	"273"	"1"	"0"
"1918"	"3"	"1"	"2"	"2"	"380"	"17"	"8"	"6"	"17"	"19"	"11"	"3"	"13"	"6"	"1"	"0"	"0"	"8"	"17"	"1"	"35"	"0"	"5"	"2"	"4"	"4"	"0"	"10"	"10"	"0"	"6"	"0"	"0"	"0"	"0"	"203"	"203"	"25"	"11"	"0"	"239"	"239"	"1"	"0"
"1919"	"3"	"1"	"2"	"2"	"380"	"13"	"10"	"7"	"10"	"11"	"19"	"2"	"10"	"3"	"7"	"1"	"5"	"12"	"16"	"3"	"39"	"0"	"5"	"1"	"2"	"4"	"1"	"16"	"11"	"1"	"2"	"0"	"0"	"0"	"0"	"211"	"211"	"23"	"7"	"0"	"241"	"241"	"1"	"0"
"1920"	"3"	"1"	"2"	"2"	"380"	"16"	"10"	"6"	"15"	"15"	"14"	"2"	"15"	"3"	"6"	"1"	"5"	"9"	"30"	"2"	"32"	"1"	"2"	"2"	"3"	"2"	"2"	"10"	"12"	"0"	"8"	"0"	"0"	"0"	"0"	"223"	"223"	"22"	"7"	"0"	"252"	"252"	"1"	"0"
"1921"	"3"	"1"	"2"	"2"	"380"	"15"	"6"	"12"	"11"	"24"	"26"	"3"	"15"	"5"	"3"	"1"	"5"	"9"	"20"	"3"	"32"	"2"	"2"	"1"	"4"	"2"	"0"	"11"	"7"	"2"	"5"	"0"	"0"	"0"	"0"	"226"	"226"	"22"	"10"	"0"	"258"	"258"	"1"	"0"
"1922"	"3"	"1"	"2"	"2"	"380"	"14"	"15"	"9"	"14"	"11"	"19"	"1"	"20"	"1"	"1"	"4"	"3"	"12"	"21"	"3"	"42"	"1"	"3"	"2"	"7"	"2"	"1"	"13"	"13"	"1"	"2"	"0"	"0"	"0"	"0"	"235"	"235"	"17"	"7"	"0"	"259"	"259"	"1"	"0"
"1923"	"3"	"1"	"2"	"2"	"380"	"24"	"13"	"10"	"12"	"18"	"12"	"0"	"12"	"3"	"0"	"1"	"1"	"12"	"14"	"2"	"39"	"0"	"1"	"0"	"6"	"0"	"0"	"17"	"8"	"0"	"5"	"0"	"0"	"0"	"0"	"210"	"210"	"32"	"10"	"0"	"252"	"252"	"1"	"0"
"1924"	"3"	"1"	"2"	"2"	"380"	"15"	"11"	"8"	"15"	"10"	"11"	"1"	"10"	"3"	"5"	"2"	"3"	"8"	"21"	"2"	"37"	"5"	"3"	"0"	"9"	"2"	"1"	"13"	"15"	"6"	"7"	"0"	"0"	"0"	"0"	"223"	"223"	"32"	"11"	"0"	"266"	"266"	"1"	"0"
"1925"	"3"	"1"	"2"	"2"	"380"	"15"	"12"	"14"	"11"	"17"	"17"	"2"	"8"	"5"	"4"	"1"	"3"	"9"	"16"	"5"	"31"	"1"	"1"	"1"	"4"	"1"	"0"	"12"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"198"	"198"	"18"	"11"	"0"	"227"	"227"	"1"	"0"
"1926"	"3"	"1"	"2"	"2"	"264"	"8"	"8"	"7"	"7"	"15"	"11"	"0"	"9"	"2"	"1"	"0"	"2"	"15"	"15"	"0"	"30"	"1"	"1"	"0"	"1"	"0"	"1"	"15"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"155"	"155"	"21"	"4"	"6"	"180"	"180"	"1"	"0"
"1927"	"3"	"1"	"2"	"2"	"263"	"12"	"6"	"4"	"2"	"13"	"14"	"0"	"3"	"2"	"2"	"4"	"4"	"8"	"7"	"0"	"41"	"0"	"0"	"1"	"2"	"1"	"3"	"11"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"145"	"145"	"16"	"3"	"0"	"164"	"164"	"1"	"0"
"1928"	"3"	"1"	"2"	"2"	"380"	"25"	"14"	"4"	"16"	"14"	"26"	"1"	"10"	"4"	"3"	"1"	"2"	"11"	"8"	"4"	"25"	"2"	"5"	"0"	"2"	"1"	"1"	"18"	"15"	"1"	"7"	"0"	"0"	"0"	"0"	"220"	"220"	"23"	"8"	"0"	"251"	"251"	"1"	"0"
"1929"	"3"	"1"	"2"	"2"	"383"	"20"	"7"	"4"	"19"	"14"	"16"	"5"	"17"	"2"	"5"	"3"	"2"	"9"	"9"	"2"	"35"	"2"	"9"	"5"	"6"	"0"	"1"	"14"	"19"	"2"	"2"	"0"	"0"	"0"	"0"	"229"	"229"	"23"	"9"	"0"	"261"	"261"	"1"	"0"
"1930"	"3"	"1"	"2"	"2"	"380"	"22"	"7"	"9"	"21"	"13"	"26"	"1"	"15"	"3"	"2"	"1"	"3"	"10"	"13"	"1"	"30"	"2"	"3"	"3"	"5"	"2"	"1"	"6"	"14"	"5"	"4"	"0"	"0"	"0"	"0"	"222"	"222"	"25"	"9"	"1"	"256"	"256"	"1"	"0"
"1931"	"3"	"1"	"2"	"2"	"376"	"16"	"9"	"6"	"14"	"23"	"25"	"4"	"15"	"1"	"3"	"3"	"5"	"11"	"9"	"4"	"23"	"0"	"4"	"3"	"6"	"6"	"2"	"17"	"12"	"0"	"7"	"0"	"0"	"0"	"0"	"228"	"228"	"21"	"14"	"0"	"263"	"263"	"1"	"0"
"1932"	"3"	"1"	"2"	"2"	"380"	"21"	"13"	"11"	"17"	"18"	"19"	"1"	"8"	"5"	"3"	"1"	"6"	"8"	"10"	"5"	"35"	"0"	"5"	"6"	"2"	"4"	"0"	"12"	"14"	"2"	"1"	"0"	"0"	"0"	"0"	"227"	"227"	"27"	"17"	"0"	"271"	"271"	"1"	"0"
"1933"	"3"	"1"	"2"	"1"	"380"	"21"	"6"	"8"	"13"	"15"	"24"	"1"	"18"	"4"	"5"	"1"	"2"	"8"	"11"	"2"	"27"	"0"	"4"	"4"	"5"	"2"	"0"	"15"	"8"	"2"	"7"	"0"	"0"	"0"	"0"	"213"	"213"	"27"	"11"	"0"	"251"	"251"	"1"	"0"
"1934"	"3"	"1"	"2"	"1"	"380"	"20"	"9"	"8"	"13"	"12"	"21"	"2"	"18"	"2"	"4"	"0"	"1"	"11"	"13"	"3"	"30"	"3"	"0"	"7"	"8"	"7"	"0"	"0"	"13"	"12"	"4"	"0"	"0"	"0"	"0"	"221"	"221"	"28"	"12"	"0"	"261"	"261"	"1"	"0"
"1935"	"3"	"1"	"2"	"1"	"380"	"22"	"12"	"9"	"15"	"14"	"24"	"4"	"22"	"4"	"5"	"3"	"3"	"15"	"12"	"1"	"20"	"3"	"4"	"0"	"3"	"6"	"1"	"10"	"11"	"1"	"4"	"0"	"0"	"0"	"0"	"228"	"228"	"19"	"12"	"0"	"259"	"259"	"1"	"0"
"1936"	"3"	"1"	"2"	"2"	"380"	"16"	"8"	"9"	"11"	"15"	"14"	"0"	"16"	"3"	"2"	"1"	"6"	"12"	"17"	"3"	"20"	"1"	"1"	"4"	"7"	"0"	"1"	"17"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"194"	"194"	"21"	"8"	"0"	"223"	"223"	"1"	"0"
"1937"	"3"	"1"	"2"	"2"	"380"	"18"	"7"	"11"	"7"	"14"	"17"	"1"	"9"	"3"	"2"	"3"	"3"	"8"	"15"	"0"	"21"	"1"	"3"	"3"	"5"	"5"	"0"	"22"	"8"	"1"	"5"	"0"	"0"	"0"	"0"	"192"	"192"	"19"	"5"	"0"	"216"	"216"	"1"	"0"
"1938"	"3"	"1"	"2"	"2"	"380"	"9"	"6"	"13"	"12"	"25"	"24"	"2"	"13"	"0"	"1"	"0"	"7"	"16"	"20"	"0"	"25"	"1"	"7"	"2"	"2"	"2"	"3"	"18"	"12"	"0"	"8"	"0"	"0"	"0"	"0"	"228"	"228"	"26"	"10"	"0"	"264"	"264"	"1"	"0"
