"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"MLP"	"VAMOS"	"PC"	"UNIDOS"	"UCN"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14743"	"4"	"14"	"5"	"2"	"377"	"93"	"0"	"121"	"48"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"18"	"7"	"0"	"303"	"303"	"1"	"0"
"14744"	"4"	"14"	"5"	"2"	"377"	"107"	"0"	"107"	"71"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"10"	"11"	"0"	"322"	"322"	"1"	"0"
"14745"	"4"	"14"	"5"	"2"	"373"	"97"	"2"	"94"	"58"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"11"	"6"	"0"	"286"	"286"	"1"	"0"
"14746"	"4"	"14"	"5"	"2"	"380"	"70"	"0"	"101"	"72"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"5"	"0"	"5"	"268"	"268"	"1"	"0"
"14747"	"4"	"14"	"5"	"1"	"87"	"0"	"0"	"79"	"79"	"0"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"188"	"11"	"8"	"2"	"294"	"207"	"0"	"0"
"14748"	"4"	"14"	"5"	"1"	"381"	"60"	"2"	"89"	"103"	"4"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"296"	"296"	"11"	"4"	"0"	"311"	"311"	"1"	"0"
"14749"	"4"	"14"	"5"	"1"	"377"	"78"	"2"	"85"	"79"	"2"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"10"	"12"	"0"	"303"	"303"	"1"	"0"
"14750"	"4"	"14"	"5"	"1"	"376"	"80"	"0"	"107"	"72"	"0"	"28"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"287"	"287"	"4"	"7"	"11"	"298"	"298"	"1"	"0"
"14751"	"4"	"14"	"5"	"1"	"284"	"57"	"0"	"77"	"92"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"2"	"0"	"0"	"250"	"250"	"1"	"0"
"14752"	"4"	"14"	"5"	"1"	"284"	"84"	"0"	"51"	"62"	"4"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"2"	"3"	"0"	"230"	"230"	"1"	"0"
"14753"	"4"	"14"	"5"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14754"	"4"	"14"	"5"	"1"	"373"	"76"	"4"	"80"	"62"	"0"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"9"	"8"	"0"	"274"	"291"	"0"	"0"
"14755"	"4"	"14"	"5"	"1"	"239"	"69"	"5"	"35"	"45"	"2"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"7"	"7"	"0"	"193"	"193"	"1"	"0"
"14756"	"4"	"14"	"5"	"1"	"239"	"56"	"2"	"41"	"43"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"1"	"8"	"0"	"173"	"173"	"1"	"0"
"14757"	"4"	"14"	"5"	"2"	"312"	"110"	"1"	"81"	"65"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"3"	"6"	"0"	"268"	"268"	"1"	"0"
"14758"	"4"	"14"	"5"	"2"	"312"	"97"	"0"	"111"	"55"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"1"	"3"	"0"	"272"	"272"	"1"	"0"
"14759"	"4"	"14"	"5"	"2"	"292"	"65"	"0"	"56"	"20"	"0"	"33"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"10"	"5"	"0"	"189"	"189"	"1"	"0"
"14760"	"4"	"14"	"5"	"2"	"229"	"53"	"0"	"37"	"28"	"0"	"37"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"6"	"5"	"0"	"166"	"166"	"1"	"0"
"14761"	"4"	"14"	"5"	"2"	"376"	"69"	"15"	"93"	"66"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"19"	"3"	"0"	"276"	"276"	"1"	"0"
"14762"	"4"	"14"	"5"	"2"	"237"	"51"	"9"	"63"	"30"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"10"	"1"	"0"	"169"	"169"	"1"	"0"
"14763"	"4"	"14"	"5"	"2"	"236"	"44"	"6"	"59"	"34"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"7"	"3"	"0"	"156"	"156"	"1"	"0"
"14764"	"4"	"14"	"5"	"2"	"277"	"26"	"3"	"51"	"26"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"4"	"5"	"0"	"116"	"116"	"1"	"0"
