"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"WINAQ"	"PPT"	"FCN_NACION"	"VALOR"	"FUERZA"	"CREO"	"URNG_MAIZ"	"PAN"	"VIVA"	"UCN"	"PC"	"CONVERGENCIA"	"PHG"	"UNE"	"BIEN"	"LIBRE"	"VICTORIA"	"PODEMOS"	"EG"	"UNIONISTA"	"SEMILLA"	"MLP"	"UNIDOS"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9126"	"3"	"9"	"1"	"2"	"400"	"22"	"4"	"38"	"6"	"3"	"10"	"4"	"9"	"11"	"4"	"17"	"4"	"8"	"4"	"19"	"8"	"2"	"5"	"0"	"2"	"3"	"4"	"34"	"7"	"5"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"49"	"3"	"0"	"285"	"285"	"1"	"0"
"9127"	"3"	"9"	"1"	"2"	"400"	"22"	"4"	"30"	"3"	"1"	"7"	"4"	"9"	"9"	"9"	"11"	"5"	"2"	"4"	"13"	"5"	"5"	"7"	"3"	"3"	"12"	"8"	"33"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"42"	"14"	"0"	"279"	"279"	"1"	"0"
"9128"	"3"	"9"	"1"	"2"	"400"	"22"	"0"	"37"	"2"	"1"	"11"	"10"	"17"	"6"	"7"	"12"	"6"	"0"	"0"	"0"	"5"	"3"	"8"	"2"	"4"	"7"	"2"	"30"	"1"	"10"	"0"	"0"	"0"	"0"	"0"	"272"	"203"	"43"	"5"	"0"	"320"	"251"	"0"	"0"
"9129"	"3"	"9"	"1"	"2"	"400"	"14"	"0"	"53"	"0"	"0"	"14"	"9"	"7"	"4"	"16"	"16"	"2"	"6"	"5"	"25"	"5"	"4"	"6"	"3"	"4"	"9"	"2"	"30"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"55"	"2"	"0"	"302"	"302"	"1"	"0"
"9130"	"3"	"9"	"1"	"2"	"400"	"16"	"3"	"36"	"2"	"2"	"11"	"3"	"7"	"10"	"10"	"18"	"2"	"2"	"2"	"22"	"0"	"1"	"3"	"1"	"3"	"5"	"5"	"41"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"52"	"11"	"0"	"278"	"278"	"1"	"0"
"9131"	"3"	"9"	"1"	"2"	"400"	"22"	"2"	"37"	"3"	"1"	"11"	"10"	"9"	"9"	"15"	"12"	"2"	"7"	"6"	"17"	"8"	"1"	"7"	"2"	"2"	"9"	"4"	"34"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"57"	"3"	"0"	"305"	"305"	"1"	"0"
"9132"	"3"	"9"	"1"	"2"	"400"	"25"	"2"	"42"	"2"	"6"	"12"	"5"	"9"	"15"	"7"	"14"	"2"	"4"	"9"	"21"	"8"	"3"	"4"	"2"	"2"	"6"	"4"	"34"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"58"	"2"	"0"	"307"	"307"	"1"	"0"
"9133"	"3"	"9"	"1"	"2"	"400"	"12"	"2"	"31"	"2"	"6"	"11"	"10"	"9"	"6"	"6"	"15"	"4"	"2"	"3"	"23"	"4"	"2"	"6"	"1"	"4"	"13"	"2"	"39"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"61"	"7"	"0"	"293"	"293"	"1"	"0"
"9134"	"3"	"9"	"1"	"2"	"400"	"28"	"2"	"42"	"1"	"4"	"14"	"7"	"11"	"7"	"14"	"21"	"3"	"2"	"4"	"16"	"2"	"2"	"4"	"2"	"6"	"21"	"3"	"2"	"4"	"16"	"2"	"2"	"4"	"2"	"6"	"238"	"238"	"47"	"5"	"0"	"290"	"290"	"1"	"0"
"9135"	"3"	"9"	"1"	"2"	"400"	"19"	"5"	"27"	"1"	"1"	"19"	"7"	"13"	"11"	"13"	"16"	"6"	"3"	"3"	"18"	"3"	"1"	"7"	"3"	"2"	"5"	"5"	"31"	"9"	"6"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"50"	"5"	"0"	"289"	"289"	"1"	"0"
