"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"URNG_MAIZ"	"FCN_NACION"	"CONVERGENCIA"	"WINAQ"	"BIEN"	"UNIONISTA"	"PHG"	"FUERZA"	"VIVA"	"MLP"	"VALOR"	"VICTORIA"	"CREO"	"TODOS"	"EG"	"SEMILLA"	"VAMOS"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11874"	"4"	"12"	"7"	"2"	"400"	"0"	"30"	"10"	"14"	"0"	"1"	"66"	"2"	"2"	"0"	"3"	"1"	"7"	"0"	"32"	"7"	"3"	"15"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"12"	"1"	"0"	"216"	"216"	"1"	"0"
"11875"	"4"	"12"	"7"	"2"	"400"	"4"	"39"	"17"	"16"	"1"	"3"	"75"	"6"	"3"	"0"	"3"	"3"	"4"	"0"	"18"	"4"	"1"	"25"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"5"	"0"	"245"	"245"	"1"	"0"
"11876"	"4"	"12"	"7"	"2"	"400"	"0"	"32"	"10"	"12"	"1"	"3"	"66"	"1"	"2"	"2"	"2"	"4"	"7"	"6"	"31"	"6"	"5"	"23"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"8"	"3"	"0"	"245"	"245"	"1"	"0"
"11877"	"4"	"12"	"7"	"2"	"400"	"3"	"35"	"12"	"10"	"2"	"5"	"70"	"3"	"2"	"1"	"3"	"2"	"3"	"3"	"25"	"3"	"2"	"23"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"9"	"11"	"0"	"238"	"238"	"1"	"0"
"11878"	"4"	"12"	"7"	"2"	"400"	"1"	"28"	"11"	"7"	"2"	"1"	"53"	"4"	"1"	"1"	"2"	"4"	"4"	"3"	"30"	"2"	"2"	"22"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"4"	"7"	"0"	"197"	"197"	"1"	"0"
"11879"	"4"	"12"	"7"	"2"	"400"	"0"	"31"	"9"	"8"	"2"	"4"	"60"	"2"	"1"	"3"	"1"	"3"	"5"	"6"	"18"	"3"	"2"	"22"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"3"	"3"	"0"	"195"	"195"	"1"	"0"
"11880"	"4"	"12"	"7"	"2"	"226"	"0"	"20"	"6"	"2"	"0"	"1"	"35"	"3"	"0"	"0"	"1"	"1"	"4"	"1"	"10"	"4"	"2"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"2"	"0"	"0"	"109"	"109"	"1"	"0"
"11881"	"4"	"12"	"7"	"2"	"226"	"0"	"22"	"5"	"6"	"0"	"1"	"23"	"1"	"0"	"0"	"3"	"1"	"1"	"1"	"17"	"3"	"2"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"96"	"96"	"1"	"0"	"0"	"97"	"97"	"1"	"0"
"11882"	"4"	"12"	"7"	"2"	"400"	"2"	"36"	"19"	"10"	"1"	"6"	"64"	"0"	"0"	"0"	"1"	"3"	"4"	"1"	"20"	"2"	"2"	"7"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"27"	"9"	"0"	"225"	"225"	"1"	"0"
"11883"	"4"	"12"	"7"	"2"	"400"	"3"	"54"	"14"	"11"	"1"	"3"	"70"	"3"	"0"	"4"	"0"	"1"	"2"	"1"	"17"	"3"	"1"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"23"	"8"	"0"	"236"	"236"	"1"	"0"
