"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"UNE"	"WINAQ"	"LIBRE"	"UNIONISTA"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13932"	"4"	"13"	"18"	"2"	"399"	"1"	"65"	"8"	"112"	"8"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"3"	"8"	"0"	"207"	"207"	"1"	"0"
"13933"	"4"	"13"	"18"	"2"	"400"	"3"	"82"	"0"	"94"	"16"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"4"	"10"	"0"	"213"	"213"	"1"	"0"
"13934"	"4"	"13"	"18"	"2"	"400"	"2"	"83"	"5"	"123"	"19"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"5"	"3"	"0"	"245"	"245"	"1"	"0"
"13935"	"4"	"13"	"18"	"2"	"397"	"5"	"75"	"6"	"119"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"3"	"6"	"0"	"236"	"236"	"1"	"0"
"13936"	"4"	"13"	"18"	"2"	"222"	"3"	"50"	"5"	"64"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"1"	"0"	"89"	"133"	"133"	"1"	"0"
"13937"	"4"	"13"	"18"	"2"	"222"	"2"	"42"	"4"	"76"	"7"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"3"	"4"	"0"	"142"	"142"	"1"	"0"
"13938"	"4"	"13"	"18"	"2"	"377"	"2"	"162"	"1"	"93"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"0"	"9"	"5"	"275"	"270"	"0"	"0"
"13939"	"4"	"13"	"18"	"2"	"387"	"1"	"139"	"2"	"103"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"6"	"4"	"10"	"258"	"258"	"1"	"0"
"13940"	"4"	"13"	"18"	"2"	"380"	"1"	"161"	"6"	"84"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"4"	"6"	"0"	"264"	"264"	"1"	"0"
"13941"	"4"	"13"	"18"	"2"	"385"	"1"	"142"	"6"	"92"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"4"	"4"	"0"	"255"	"255"	"1"	"0"
"13942"	"4"	"13"	"18"	"2"	"370"	"3"	"160"	"1"	"86"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"5"	"5"	"0"	"264"	"264"	"1"	"0"
"13943"	"4"	"13"	"18"	"2"	"369"	"4"	"155"	"2"	"100"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"2"	"1"	"0"	"265"	"265"	"1"	"0"
"13944"	"4"	"13"	"18"	"2"	"400"	"4"	"117"	"8"	"4"	"98"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"8"	"6"	"0"	"249"	"249"	"1"	"0"
"13945"	"4"	"13"	"18"	"2"	"400"	"2"	"146"	"10"	"3"	"94"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"1"	"4"	"0"	"266"	"266"	"1"	"0"
"13946"	"4"	"13"	"18"	"2"	"400"	"2"	"129"	"13"	"3"	"93"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"8"	"1"	"0"	"250"	"250"	"1"	"0"
