"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FUERZA"	"UNE"	"VALOR"	"PPT"	"URNG_MAIZ"	"CREO"	"VAMOS"	"PHG"	"CONVERGENCIA"	"BIEN"	"TODOS"	"CCO"	"UNIONISTA"	"PC"	"PODEMOS"	"SEMILLA"	"UCN"	"UNIDOS"	"PAN"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9535"	"4"	"9"	"9"	"2"	"287"	"25"	"23"	"13"	"23"	"1"	"1"	"10"	"11"	"0"	"4"	"9"	"14"	"1"	"6"	"3"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"9"	"12"	"0"	"168"	"168"	"1"	"0"
"9536"	"4"	"9"	"9"	"2"	"286"	"40"	"38"	"10"	"18"	"0"	"3"	"14"	"22"	"3"	"0"	"16"	"10"	"1"	"3"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"4"	"6"	"0"	"192"	"192"	"1"	"0"
"9537"	"4"	"9"	"9"	"2"	"380"	"24"	"30"	"6"	"19"	"3"	"0"	"5"	"6"	"0"	"3"	"14"	"62"	"0"	"1"	"1"	"1"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"26"	"15"	"0"	"220"	"220"	"1"	"0"
"9538"	"4"	"9"	"9"	"2"	"380"	"32"	"16"	"8"	"15"	"3"	"1"	"6"	"9"	"0"	"2"	"15"	"66"	"0"	"1"	"1"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"24"	"21"	"0"	"226"	"226"	"1"	"0"
"9539"	"4"	"9"	"9"	"2"	"376"	"36"	"28"	"18"	"7"	"2"	"4"	"7"	"5"	"0"	"0"	"11"	"41"	"1"	"0"	"1"	"4"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"13"	"7"	"0"	"187"	"187"	"1"	"0"
"9540"	"4"	"9"	"9"	"2"	"376"	"23"	"37"	"12"	"12"	"2"	"0"	"7"	"7"	"0"	"1"	"19"	"52"	"1"	"2"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"18"	"11"	"1"	"207"	"207"	"1"	"1"
"9541"	"4"	"9"	"9"	"2"	"375"	"24"	"34"	"6"	"14"	"3"	"1"	"6"	"3"	"0"	"1"	"23"	"68"	"1"	"3"	"0"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"23"	"14"	"0"	"227"	"227"	"1"	"0"
"9542"	"4"	"9"	"9"	"2"	"380"	"32"	"35"	"9"	"15"	"2"	"1"	"2"	"4"	"1"	"0"	"32"	"59"	"1"	"0"	"1"	"0"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"16"	"15"	"0"	"229"	"229"	"1"	"0"
"9543"	"4"	"9"	"9"	"2"	"380"	"42"	"22"	"9"	"12"	"3"	"0"	"9"	"6"	"2"	"2"	"20"	"54"	"1"	"2"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"9"	"14"	"0"	"208"	"208"	"1"	"0"
"9544"	"4"	"9"	"9"	"2"	"380"	"35"	"37"	"4"	"7"	"3"	"1"	"10"	"3"	"1"	"0"	"19"	"70"	"0"	"1"	"0"	"4"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"12"	"12"	"0"	"220"	"220"	"1"	"0"
"9545"	"4"	"9"	"9"	"2"	"375"	"23"	"27"	"9"	"11"	"2"	"1"	"6"	"6"	"0"	"1"	"13"	"55"	"0"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"14"	"8"	"0"	"178"	"178"	"1"	"0"
"9546"	"4"	"9"	"9"	"2"	"380"	"32"	"29"	"7"	"17"	"3"	"1"	"7"	"5"	"0"	"0"	"16"	"53"	"0"	"1"	"1"	"4"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"177"	"177"	"7"	"12"	"0"	"196"	"196"	"1"	"0"
"9547"	"4"	"9"	"9"	"2"	"380"	"29"	"28"	"12"	"12"	"5"	"1"	"7"	"6"	"1"	"2"	"17"	"50"	"1"	"1"	"0"	"2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"11"	"16"	"0"	"202"	"202"	"1"	"0"
"9548"	"4"	"9"	"9"	"2"	"376"	"25"	"38"	"8"	"10"	"4"	"3"	"4"	"5"	"2"	"2"	"12"	"38"	"0"	"1"	"0"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"13"	"13"	"0"	"184"	"184"	"1"	"0"
"9549"	"4"	"9"	"9"	"2"	"376"	"35"	"27"	"6"	"15"	"2"	"0"	"9"	"5"	"1"	"2"	"21"	"57"	"0"	"1"	"1"	"1"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"6"	"11"	"0"	"202"	"202"	"1"	"0"
"9550"	"4"	"9"	"9"	"2"	"201"	"25"	"17"	"2"	"8"	"1"	"0"	"5"	"3"	"0"	"0"	"16"	"33"	"0"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"113"	"4"	"6"	"0"	"123"	"123"	"1"	"0"
"9551"	"4"	"9"	"9"	"2"	"201"	"28"	"15"	"9"	"9"	"2"	"0"	"3"	"2"	"0"	"0"	"8"	"29"	"1"	"1"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"110"	"110"	"3"	"5"	"0"	"118"	"118"	"1"	"0"
"9552"	"4"	"9"	"9"	"2"	"376"	"34"	"76"	"39"	"10"	"6"	"0"	"18"	"19"	"4"	"5"	"10"	"13"	"3"	"5"	"1"	"0"	"0"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"19"	"14"	"0"	"282"	"282"	"1"	"0"
"9553"	"4"	"9"	"9"	"2"	"374"	"34"	"61"	"29"	"6"	"4"	"2"	"19"	"18"	"2"	"1"	"7"	"8"	"3"	"7"	"2"	"4"	"0"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"26"	"15"	"0"	"258"	"258"	"1"	"0"
"9554"	"4"	"9"	"9"	"2"	"373"	"35"	"61"	"29"	"11"	"3"	"7"	"14"	"25"	"4"	"3"	"10"	"12"	"4"	"6"	"1"	"3"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"24"	"21"	"0"	"278"	"278"	"1"	"0"
"9555"	"4"	"9"	"9"	"2"	"380"	"51"	"76"	"31"	"8"	"4"	"2"	"18"	"18"	"4"	"2"	"9"	"12"	"2"	"4"	"3"	"3"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"17"	"14"	"0"	"279"	"279"	"1"	"0"
"9556"	"4"	"9"	"9"	"2"	"380"	"36"	"72"	"33"	"10"	"5"	"2"	"10"	"17"	"2"	"0"	"10"	"23"	"5"	"6"	"1"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"22"	"15"	"0"	"274"	"274"	"1"	"0"
"9557"	"4"	"9"	"9"	"2"	"380"	"29"	"78"	"42"	"8"	"11"	"1"	"23"	"14"	"5"	"1"	"11"	"16"	"5"	"3"	"5"	"0"	"0"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"17"	"16"	"0"	"290"	"290"	"1"	"0"
"9558"	"4"	"9"	"9"	"2"	"373"	"35"	"68"	"30"	"3"	"6"	"5"	"12"	"13"	"4"	"2"	"8"	"6"	"4"	"5"	"2"	"1"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"17"	"8"	"0"	"233"	"233"	"1"	"0"
"9559"	"4"	"9"	"9"	"2"	"380"	"45"	"47"	"36"	"3"	"3"	"0"	"11"	"11"	"0"	"1"	"11"	"14"	"3"	"8"	"0"	"1"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"10"	"11"	"2"	"220"	"220"	"1"	"0"
