"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VALOR"	"UNE"	"CREO"	"WINAQ"	"PC"	"TODOS"	"FCN_NACION"	"BIEN"	"LIBRE"	"SEMILLA"	"PPT"	"VICTORIA"	"PODEMOS"	"FUERZA"	"UCN"	"UNIONISTA"	"JUSTICIA"	"VAMOS"	"URNG_MAIZ"	"PHG"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"16158"	"4"	"16"	"1"	"2"	"400"	"107"	"7"	"35"	"1"	"3"	"11"	"4"	"5"	"3"	"5"	"1"	"2"	"11"	"1"	"5"	"5"	"20"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"234"	"16"	"3"	"0"	"263"	"253"	"0"	"0"
"16159"	"4"	"16"	"1"	"2"	"400"	"113"	"16"	"31"	"3"	"14"	"13"	"3"	"4"	"0"	"4"	"1"	"2"	"6"	"1"	"5"	"4"	"19"	"7"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"14"	"6"	"0"	"271"	"271"	"1"	"0"
"16160"	"4"	"16"	"1"	"2"	"396"	"111"	"10"	"42"	"0"	"9"	"8"	"0"	"9"	"2"	"2"	"0"	"3"	"8"	"1"	"2"	"2"	"12"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"18"	"11"	"0"	"261"	"261"	"1"	"0"
"16161"	"4"	"16"	"1"	"2"	"396"	"119"	"9"	"35"	"1"	"9"	"14"	"5"	"4"	"0"	"3"	"1"	"0"	"5"	"7"	"3"	"5"	"17"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"19"	"9"	"0"	"275"	"275"	"1"	"0"
"16162"	"4"	"16"	"1"	"2"	"400"	"121"	"16"	"34"	"4"	"12"	"12"	"4"	"4"	"0"	"2"	"4"	"0"	"1"	"13"	"2"	"2"	"7"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"247"	"25"	"6"	"0"	"299"	"278"	"0"	"0"
"16163"	"4"	"16"	"1"	"2"	"400"	"119"	"12"	"46"	"1"	"9"	"13"	"4"	"1"	"0"	"2"	"1"	"4"	"12"	"1"	"6"	"6"	"15"	"12"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"24"	"4"	"0"	"299"	"299"	"1"	"0"
"16164"	"4"	"16"	"1"	"2"	"400"	"116"	"10"	"39"	"1"	"6"	"5"	"3"	"2"	"0"	"5"	"1"	"0"	"12"	"2"	"4"	"5"	"22"	"5"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"32"	"15"	"0"	"291"	"291"	"1"	"0"
"16165"	"4"	"16"	"1"	"2"	"395"	"107"	"6"	"44"	"1"	"15"	"9"	"5"	"2"	"1"	"3"	"2"	"0"	"17"	"4"	"3"	"3"	"21"	"14"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"21"	"5"	"0"	"290"	"290"	"1"	"0"
"16166"	"4"	"16"	"1"	"2"	"400"	"108"	"10"	"44"	"3"	"12"	"14"	"3"	"7"	"0"	"2"	"1"	"1"	"10"	"6"	"3"	"6"	"18"	"6"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"21"	"9"	"0"	"292"	"292"	"1"	"0"
"16167"	"4"	"16"	"1"	"2"	"400"	"99"	"10"	"40"	"2"	"8"	"13"	"2"	"3"	"1"	"4"	"3"	"2"	"11"	"2"	"8"	"3"	"32"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"10"	"6"	"1"	"266"	"266"	"1"	"0"
"16168"	"4"	"16"	"1"	"2"	"400"	"115"	"3"	"36"	"1"	"14"	"11"	"1"	"7"	"0"	"6"	"3"	"0"	"21"	"5"	"3"	"3"	"28"	"7"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"17"	"6"	"0"	"292"	"292"	"1"	"0"
"16169"	"4"	"16"	"1"	"2"	"400"	"93"	"8"	"45"	"5"	"17"	"11"	"6"	"4"	"0"	"5"	"0"	"1"	"10"	"4"	"7"	"7"	"28"	"11"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"18"	"3"	"111"	"289"	"289"	"1"	"0"
"16170"	"4"	"16"	"1"	"2"	"400"	"97"	"9"	"54"	"1"	"13"	"8"	"2"	"5"	"1"	"7"	"3"	"0"	"7"	"2"	"2"	"4"	"21"	"5"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"14"	"5"	"0"	"264"	"264"	"1"	"0"
"16171"	"4"	"16"	"1"	"2"	"400"	"104"	"11"	"31"	"2"	"19"	"21"	"4"	"3"	"2"	"8"	"1"	"1"	"8"	"2"	"5"	"6"	"20"	"11"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"1"	"7"	"16"	"273"	"273"	"1"	"0"
"16172"	"4"	"16"	"1"	"2"	"400"	"104"	"0"	"47"	"1"	"13"	"15"	"8"	"5"	"0"	"4"	"3"	"1"	"17"	"2"	"16"	"4"	"50"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"9"	"2"	"0"	"312"	"312"	"1"	"0"
"16173"	"4"	"16"	"1"	"2"	"400"	"108"	"6"	"43"	"3"	"12"	"9"	"8"	"4"	"3"	"6"	"2"	"2"	"19"	"2"	"5"	"2"	"20"	"9"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"13"	"8"	"0"	"291"	"291"	"1"	"0"
"16174"	"4"	"16"	"1"	"2"	"400"	"103"	"7"	"39"	"3"	"15"	"17"	"1"	"5"	"1"	"3"	"2"	"0"	"7"	"3"	"5"	"5"	"19"	"9"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"16"	"8"	"0"	"271"	"271"	"1"	"0"
"16175"	"4"	"16"	"1"	"2"	"400"	"112"	"8"	"50"	"3"	"11"	"21"	"6"	"3"	"1"	"6"	"4"	"1"	"13"	"5"	"8"	"2"	"33"	"10"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"10"	"0"	"0"	"309"	"309"	"1"	"0"
"16176"	"4"	"16"	"1"	"2"	"400"	"108"	"3"	"39"	"5"	"13"	"11"	"4"	"4"	"0"	"9"	"2"	"0"	"17"	"1"	"4"	"10"	"26"	"8"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"14"	"1"	"0"	"285"	"285"	"1"	"0"
"16177"	"4"	"16"	"1"	"2"	"396"	"103"	"3"	"43"	"3"	"8"	"10"	"1"	"7"	"2"	"7"	"2"	"5"	"16"	"2"	"6"	"4"	"30"	"11"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"16"	"7"	"0"	"288"	"288"	"1"	"0"
"16178"	"4"	"16"	"1"	"2"	"400"	"86"	"5"	"54"	"1"	"10"	"12"	"6"	"2"	"0"	"3"	"2"	"1"	"18"	"4"	"6"	"5"	"34"	"12"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"8"	"8"	"120"	"280"	"280"	"1"	"0"
"16179"	"4"	"16"	"1"	"2"	"400"	"132"	"15"	"37"	"1"	"12"	"9"	"3"	"4"	"1"	"3"	"2"	"3"	"6"	"4"	"4"	"6"	"24"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"21"	"3"	"0"	"302"	"302"	"1"	"0"
"16180"	"4"	"16"	"1"	"2"	"400"	"96"	"8"	"35"	"1"	"12"	"7"	"4"	"0"	"1"	"5"	"1"	"0"	"11"	"1"	"6"	"3"	"23"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"12"	"2"	"0"	"235"	"235"	"1"	"0"
"16181"	"4"	"16"	"1"	"2"	"346"	"111"	"4"	"39"	"0"	"12"	"4"	"2"	"0"	"1"	"6"	"4"	"2"	"8"	"1"	"2"	"6"	"27"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"9"	"2"	"0"	"246"	"246"	"1"	"0"
"16182"	"4"	"16"	"1"	"2"	"400"	"98"	"7"	"46"	"2"	"8"	"12"	"4"	"0"	"1"	"7"	"3"	"2"	"9"	"0"	"2"	"2"	"18"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"224"	"2"	"1"	"8"	"234"	"227"	"0"	"0"
"16183"	"4"	"16"	"1"	"2"	"400"	"113"	"8"	"39"	"2"	"15"	"16"	"5"	"4"	"0"	"1"	"5"	"1"	"22"	"2"	"2"	"3"	"17"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"13"	"6"	"0"	"284"	"284"	"1"	"0"
"16184"	"4"	"16"	"1"	"2"	"400"	"99"	"10"	"30"	"1"	"11"	"12"	"0"	"1"	"1"	"3"	"1"	"1"	"15"	"3"	"3"	"8"	"27"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"18"	"5"	"1"	"254"	"254"	"1"	"3"
"16185"	"4"	"16"	"1"	"2"	"396"	"100"	"7"	"33"	"3"	"15"	"10"	"3"	"8"	"0"	"3"	"4"	"3"	"13"	"1"	"4"	"3"	"22"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"16"	"4"	"1"	"259"	"259"	"1"	"0"
"16186"	"4"	"16"	"1"	"2"	"393"	"105"	"7"	"38"	"0"	"19"	"9"	"4"	"3"	"1"	"5"	"5"	"2"	"11"	"2"	"3"	"5"	"30"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"10"	"5"	"0"	"274"	"273"	"0"	"1"
"16187"	"4"	"16"	"1"	"2"	"400"	"91"	"12"	"37"	"2"	"7"	"12"	"6"	"3"	"0"	"7"	"1"	"1"	"13"	"2"	"4"	"7"	"20"	"8"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"21"	"5"	"0"	"262"	"262"	"1"	"0"
"16188"	"4"	"16"	"1"	"2"	"400"	"100"	"6"	"36"	"3"	"7"	"10"	"8"	"2"	"3"	"4"	"7"	"4"	"9"	"0"	"1"	"2"	"32"	"8"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"12"	"9"	"0"	"268"	"268"	"1"	"0"
"16189"	"4"	"16"	"1"	"2"	"396"	"89"	"12"	"48"	"3"	"15"	"9"	"3"	"1"	"3"	"2"	"3"	"0"	"15"	"4"	"1"	"3"	"26"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"11"	"1"	"0"	"260"	"260"	"1"	"0"
"16190"	"4"	"16"	"1"	"2"	"400"	"89"	"10"	"40"	"2"	"19"	"9"	"7"	"3"	"1"	"6"	"2"	"2"	"10"	"3"	"5"	"3"	"25"	"9"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"11"	"5"	"1"	"266"	"266"	"1"	"1"
"16191"	"4"	"16"	"1"	"2"	"396"	"95"	"4"	"55"	"2"	"11"	"9"	"2"	"3"	"3"	"4"	"2"	"0"	"16"	"1"	"4"	"6"	"40"	"8"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"18"	"7"	"0"	"298"	"298"	"1"	"0"
"16192"	"4"	"16"	"1"	"2"	"400"	"92"	"10"	"32"	"3"	"15"	"14"	"6"	"2"	"1"	"3"	"4"	"3"	"6"	"2"	"2"	"8"	"36"	"8"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"14"	"4"	"1"	"270"	"270"	"1"	"0"
"16193"	"4"	"16"	"1"	"2"	"400"	"114"	"15"	"30"	"0"	"10"	"10"	"1"	"5"	"2"	"7"	"2"	"1"	"6"	"0"	"1"	"1"	"14"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"19"	"10"	"0"	"252"	"252"	"1"	"0"
"16194"	"4"	"16"	"1"	"2"	"400"	"93"	"16"	"32"	"6"	"21"	"11"	"5"	"0"	"0"	"2"	"2"	"3"	"9"	"1"	"1"	"6"	"32"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"12"	"7"	"0"	"267"	"267"	"1"	"0"
"16195"	"4"	"16"	"1"	"2"	"396"	"89"	"9"	"34"	"1"	"12"	"12"	"6"	"2"	"0"	"3"	"1"	"0"	"8"	"2"	"2"	"2"	"27"	"7"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"14"	"4"	"0"	"242"	"242"	"1"	"0"
"16196"	"4"	"16"	"1"	"2"	"400"	"75"	"13"	"42"	"0"	"24"	"8"	"4"	"5"	"2"	"1"	"2"	"4"	"14"	"1"	"3"	"9"	"25"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"18"	"4"	"0"	"264"	"264"	"1"	"0"
"16197"	"4"	"16"	"1"	"2"	"396"	"105"	"11"	"35"	"2"	"18"	"10"	"5"	"1"	"2"	"2"	"2"	"2"	"19"	"2"	"1"	"2"	"24"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"17"	"7"	"0"	"276"	"276"	"1"	"0"
