"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"UNIONISTA"	"TODOS"	"PC"	"LIBRE"	"CREO"	"FUERZA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5058"	"4"	"2"	"12"	"2"	"400"	"15"	"46"	"14"	"3"	"61"	"77"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"5"	"3"	"0"	"233"	"233"	"1"	"0"
"5059"	"4"	"2"	"12"	"2"	"400"	"24"	"56"	"17"	"6"	"61"	"83"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"2"	"2"	"0"	"260"	"260"	"1"	"0"
"5060"	"4"	"2"	"12"	"2"	"400"	"21"	"70"	"14"	"6"	"73"	"84"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"4"	"0"	"0"	"282"	"282"	"1"	"0"
"5061"	"4"	"2"	"12"	"2"	"354"	"20"	"49"	"20"	"10"	"96"	"87"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"5"	"1"	"0"	"296"	"296"	"1"	"0"
"5062"	"4"	"2"	"12"	"2"	"352"	"12"	"47"	"17"	"6"	"74"	"72"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"2"	"0"	"0"	"244"	"244"	"1"	"0"
"5063"	"4"	"2"	"12"	"2"	"400"	"19"	"77"	"7"	"6"	"33"	"75"	"41"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"5"	"4"	"0"	"271"	"271"	"1"	"0"
"5064"	"4"	"2"	"12"	"2"	"395"	"18"	"68"	"0"	"7"	"22"	"95"	"29"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"10"	"3"	"0"	"253"	"253"	"1"	"0"
"5065"	"4"	"2"	"12"	"2"	"400"	"7"	"101"	"3"	"5"	"29"	"68"	"27"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"10"	"3"	"0"	"257"	"257"	"1"	"0"
"5066"	"4"	"2"	"12"	"2"	"400"	"19"	"81"	"3"	"7"	"28"	"84"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"2"	"3"	"0"	"259"	"259"	"1"	"0"
"5067"	"4"	"2"	"12"	"2"	"400"	"18"	"88"	"3"	"6"	"27"	"63"	"26"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"11"	"2"	"0"	"246"	"246"	"1"	"0"
"5068"	"4"	"2"	"12"	"2"	"285"	"11"	"64"	"4"	"7"	"17"	"58"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"6"	"4"	"0"	"188"	"188"	"1"	"0"
"5069"	"4"	"2"	"12"	"2"	"285"	"12"	"64"	"4"	"4"	"18"	"53"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"4"	"1"	"0"	"184"	"184"	"1"	"0"
"5070"	"4"	"2"	"12"	"2"	"600"	"21"	"44"	"11"	"12"	"54"	"58"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"7"	"7"	"0"	"225"	"225"	"1"	"0"
"5071"	"4"	"2"	"12"	"2"	"600"	"16"	"52"	"12"	"11"	"50"	"64"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"6"	"1"	"0"	"218"	"218"	"1"	"0"
"5072"	"4"	"2"	"12"	"2"	"582"	"18"	"53"	"20"	"4"	"46"	"48"	"11"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"6"	"5"	"0"	"222"	"222"	"1"	"0"
"5073"	"4"	"2"	"12"	"2"	"581"	"12"	"26"	"8"	"5"	"39"	"49"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"7"	"4"	"0"	"158"	"158"	"1"	"0"
