"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"BIEN"	"FUERZA"	"VALOR"	"PAN"	"CREO"	"PHG"	"TODOS"	"FCN_NACION"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5960"	"4"	"4"	"1"	"2"	"397"	"7"	"157"	"75"	"4"	"4"	"7"	"9"	"4"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"6"	"1"	"0"	"282"	"282"	"1"	"0"
"5961"	"4"	"4"	"1"	"2"	"396"	"13"	"142"	"73"	"1"	"4"	"7"	"12"	"4"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"5"	"4"	"0"	"272"	"272"	"1"	"0"
"5962"	"4"	"4"	"1"	"2"	"393"	"13"	"138"	"80"	"1"	"5"	"4"	"11"	"4"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"16"	"1"	"0"	"279"	"279"	"1"	"0"
"5963"	"4"	"4"	"1"	"2"	"396"	"2"	"137"	"75"	"2"	"1"	"6"	"18"	"3"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"5"	"2"	"0"	"260"	"260"	"1"	"0"
"5964"	"4"	"4"	"1"	"2"	"400"	"3"	"132"	"87"	"1"	"3"	"6"	"13"	"3"	"11"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"3"	"1"	"0"	"268"	"268"	"1"	"0"
"5965"	"4"	"4"	"1"	"2"	"397"	"5"	"156"	"79"	"4"	"5"	"7"	"8"	"4"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"2"	"3"	"0"	"282"	"282"	"1"	"0"
"5966"	"4"	"4"	"1"	"2"	"368"	"5"	"159"	"90"	"2"	"2"	"7"	"10"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"0"	"2"	"0"	"290"	"290"	"1"	"0"
"5967"	"4"	"4"	"1"	"2"	"367"	"7"	"124"	"79"	"0"	"1"	"3"	"4"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"5"	"0"	"0"	"233"	"233"	"1"	"0"
"5968"	"4"	"4"	"1"	"2"	"396"	"10"	"124"	"110"	"4"	"8"	"10"	"9"	"3"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"8"	"3"	"0"	"294"	"294"	"1"	"0"
"5969"	"4"	"4"	"1"	"2"	"396"	"8"	"125"	"99"	"2"	"4"	"5"	"12"	"2"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"10"	"3"	"0"	"279"	"279"	"1"	"0"
"5970"	"4"	"4"	"1"	"2"	"396"	"10"	"113"	"93"	"3"	"7"	"5"	"16"	"4"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"10"	"1"	"0"	"271"	"271"	"1"	"0"
"5971"	"4"	"4"	"1"	"2"	"400"	"8"	"131"	"103"	"5"	"5"	"3"	"20"	"3"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"16"	"3"	"0"	"301"	"301"	"1"	"0"
"5972"	"4"	"4"	"1"	"2"	"400"	"9"	"132"	"105"	"3"	"4"	"3"	"14"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"17"	"1"	"0"	"296"	"296"	"1"	"0"
"5973"	"4"	"4"	"1"	"2"	"396"	"21"	"136"	"100"	"5"	"2"	"1"	"18"	"2"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"13"	"0"	"0"	"308"	"308"	"1"	"1"
"5974"	"4"	"4"	"1"	"2"	"400"	"13"	"133"	"121"	"3"	"4"	"5"	"15"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"12"	"2"	"0"	"313"	"313"	"1"	"0"
