"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VALOR"	"WINAQ"	"FCN_NACION"	"PHG"	"UNE"	"UNIONISTA"	"URNG_MAIZ"	"BIEN"	"FUERZA"	"PODEMOS"	"AVANZA"	"CREO"	"MLP"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17626"	"4"	"17"	"3"	"2"	"400"	"2"	"2"	"2"	"40"	"16"	"126"	"0"	"3"	"52"	"6"	"3"	"7"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"15"	"5"	"0"	"285"	"285"	"1"	"0"
"17627"	"4"	"17"	"3"	"2"	"400"	"2"	"0"	"4"	"32"	"7"	"119"	"1"	"1"	"58"	"8"	"0"	"5"	"9"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"7"	"2"	"0"	"263"	"263"	"1"	"0"
"17628"	"4"	"17"	"3"	"2"	"400"	"2"	"1"	"0"	"31"	"12"	"127"	"1"	"3"	"59"	"4"	"5"	"10"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"10"	"2"	"0"	"281"	"281"	"1"	"0"
"17629"	"4"	"17"	"3"	"2"	"0"	"7"	"3"	"1"	"42"	"9"	"116"	"4"	"0"	"56"	"3"	"3"	"5"	"8"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"7"	"8"	"0"	"281"	"281"	"1"	"0"
"17630"	"4"	"17"	"3"	"2"	"400"	"6"	"3"	"0"	"54"	"8"	"118"	"0"	"1"	"48"	"3"	"6"	"3"	"8"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"12"	"6"	"0"	"282"	"282"	"1"	"0"
"17631"	"4"	"17"	"3"	"2"	"400"	"5"	"3"	"2"	"42"	"10"	"102"	"0"	"2"	"57"	"11"	"3"	"3"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"11"	"4"	"0"	"270"	"270"	"1"	"0"
"17632"	"4"	"17"	"3"	"2"	"400"	"1"	"6"	"0"	"24"	"8"	"91"	"2"	"0"	"57"	"3"	"1"	"3"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"3"	"5"	"0"	"222"	"222"	"1"	"0"
"17633"	"4"	"17"	"3"	"2"	"400"	"1"	"9"	"0"	"30"	"14"	"108"	"0"	"1"	"47"	"5"	"1"	"3"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"9"	"4"	"0"	"239"	"239"	"1"	"0"
"17634"	"4"	"17"	"3"	"2"	"400"	"3"	"8"	"3"	"25"	"11"	"106"	"3"	"2"	"45"	"5"	"2"	"3"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"15"	"3"	"0"	"248"	"248"	"1"	"0"
"17635"	"4"	"17"	"3"	"2"	"400"	"2"	"5"	"3"	"28"	"8"	"113"	"4"	"0"	"49"	"4"	"1"	"8"	"10"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"7"	"4"	"0"	"238"	"249"	"0"	"0"
"17636"	"4"	"17"	"3"	"2"	"400"	"8"	"2"	"2"	"31"	"7"	"111"	"3"	"0"	"45"	"7"	"4"	"5"	"8"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"18"	"2"	"0"	"258"	"258"	"1"	"0"
"17637"	"4"	"17"	"3"	"2"	"399"	"7"	"6"	"1"	"24"	"14"	"103"	"2"	"2"	"45"	"7"	"2"	"12"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"9"	"3"	"0"	"247"	"247"	"1"	"0"
"17638"	"4"	"17"	"3"	"2"	"400"	"7"	"2"	"0"	"34"	"3"	"121"	"0"	"2"	"46"	"8"	"5"	"5"	"8"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"17"	"5"	"0"	"270"	"270"	"1"	"0"
"17639"	"4"	"17"	"3"	"2"	"400"	"5"	"3"	"1"	"28"	"9"	"103"	"0"	"2"	"57"	"14"	"3"	"8"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"4"	"6"	"0"	"259"	"259"	"1"	"0"
"17640"	"4"	"17"	"3"	"2"	"400"	"2"	"0"	"1"	"47"	"6"	"107"	"0"	"2"	"44"	"5"	"4"	"2"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"12"	"1"	"0"	"245"	"245"	"1"	"0"
"17641"	"4"	"17"	"3"	"2"	"400"	"3"	"1"	"2"	"29"	"2"	"102"	"1"	"1"	"40"	"6"	"2"	"4"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"17"	"2"	"0"	"226"	"226"	"1"	"0"
"17642"	"4"	"17"	"3"	"2"	"400"	"5"	"2"	"1"	"35"	"13"	"94"	"0"	"0"	"48"	"8"	"2"	"9"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"11"	"3"	"0"	"244"	"244"	"1"	"0"
"17643"	"4"	"17"	"3"	"2"	"400"	"5"	"5"	"0"	"41"	"8"	"109"	"0"	"1"	"57"	"3"	"2"	"6"	"12"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"1"	"0"	"0"	"255"	"255"	"1"	"0"
"17644"	"4"	"17"	"3"	"2"	"400"	"1"	"1"	"1"	"44"	"12"	"108"	"0"	"0"	"59"	"6"	"0"	"4"	"17"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"1"	"0"	"0"	"260"	"260"	"1"	"0"
"17645"	"4"	"17"	"3"	"2"	"246"	"3"	"1"	"0"	"30"	"3"	"68"	"0"	"0"	"38"	"4"	"3"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"0"	"0"	"0"	"160"	"160"	"1"	"0"
"17646"	"4"	"17"	"3"	"2"	"245"	"0"	"2"	"0"	"18"	"3"	"64"	"0"	"0"	"23"	"2"	"0"	"6"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"15"	"1"	"0"	"142"	"142"	"1"	"0"
"17647"	"4"	"17"	"3"	"2"	"390"	"2"	"0"	"1"	"33"	"9"	"86"	"0"	"0"	"77"	"4"	"9"	"18"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"16"	"6"	"0"	"264"	"264"	"1"	"0"
"17648"	"4"	"17"	"3"	"2"	"400"	"2"	"3"	"1"	"41"	"24"	"70"	"0"	"1"	"99"	"3"	"8"	"9"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"21"	"6"	"0"	"295"	"295"	"1"	"0"
"17649"	"4"	"17"	"3"	"2"	"400"	"4"	"0"	"1"	"31"	"14"	"56"	"2"	"1"	"89"	"3"	"17"	"8"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"12"	"9"	"0"	"253"	"253"	"1"	"0"
"17650"	"4"	"17"	"3"	"2"	"400"	"3"	"0"	"1"	"29"	"15"	"47"	"1"	"0"	"103"	"3"	"11"	"7"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"26"	"5"	"0"	"256"	"256"	"1"	"0"
"17651"	"4"	"17"	"3"	"2"	"287"	"3"	"0"	"0"	"32"	"13"	"44"	"1"	"0"	"75"	"5"	"8"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"9"	"4"	"0"	"201"	"201"	"1"	"0"
"17652"	"4"	"17"	"3"	"2"	"287"	"2"	"1"	"0"	"23"	"18"	"49"	"0"	"0"	"90"	"3"	"14"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"6"	"4"	"0"	"214"	"214"	"1"	"1"
"17653"	"4"	"17"	"3"	"2"	"600"	"8"	"3"	"0"	"13"	"11"	"90"	"3"	"0"	"49"	"4"	"1"	"8"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"8"	"5"	"0"	"222"	"222"	"1"	"0"
"17654"	"4"	"17"	"3"	"2"	"521"	"13"	"5"	"0"	"3"	"9"	"75"	"1"	"0"	"43"	"2"	"0"	"10"	"6"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"9"	"7"	"0"	"189"	"188"	"0"	"1"
"17655"	"4"	"17"	"3"	"2"	"520"	"2"	"0"	"1"	"7"	"3"	"47"	"0"	"0"	"26"	"4"	"1"	"2"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"100"	"100"	"3"	"2"	"0"	"105"	"105"	"1"	"0"
