"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"UNE"	"UCN"	"URNG_MAIZ"	"CONVERGENCIA"	"PHG"	"UNIONISTA"	"VAMOS"	"FUERZA"	"LIBRE"	"VICTORIA"	"SEMILLA"	"TODOS"	"EG"	"VALOR"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12307"	"4"	"12"	"15"	"2"	"397"	"89"	"41"	"9"	"7"	"10"	"48"	"3"	"6"	"8"	"4"	"1"	"8"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"18"	"5"	"0"	"263"	"263"	"1"	"0"
"12308"	"4"	"12"	"15"	"2"	"397"	"72"	"39"	"3"	"10"	"12"	"62"	"4"	"9"	"5"	"1"	"1"	"10"	"1"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"11"	"9"	"0"	"252"	"252"	"1"	"0"
"12309"	"4"	"12"	"15"	"2"	"400"	"69"	"33"	"4"	"11"	"10"	"57"	"1"	"9"	"5"	"4"	"2"	"8"	"2"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"18"	"10"	"0"	"246"	"246"	"1"	"0"
"12310"	"4"	"12"	"15"	"2"	"0"	"74"	"37"	"2"	"17"	"7"	"63"	"3"	"10"	"6"	"2"	"2"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"13"	"4"	"0"	"249"	"249"	"1"	"0"
"12311"	"4"	"12"	"15"	"2"	"395"	"81"	"28"	"6"	"12"	"5"	"45"	"1"	"5"	"5"	"1"	"1"	"5"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"17"	"7"	"0"	"222"	"222"	"1"	"0"
"12312"	"4"	"12"	"15"	"2"	"400"	"74"	"37"	"5"	"5"	"6"	"51"	"2"	"8"	"7"	"1"	"0"	"8"	"1"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"9"	"1"	"2"	"222"	"222"	"1"	"0"
"12313"	"4"	"12"	"15"	"2"	"398"	"75"	"29"	"3"	"11"	"6"	"60"	"2"	"7"	"4"	"3"	"0"	"20"	"3"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"18"	"2"	"0"	"246"	"246"	"1"	"0"
"12314"	"4"	"12"	"15"	"2"	"400"	"67"	"29"	"4"	"9"	"5"	"68"	"3"	"9"	"9"	"2"	"1"	"22"	"1"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"6"	"2"	"0"	"245"	"245"	"1"	"0"
"12315"	"4"	"12"	"15"	"2"	"400"	"97"	"40"	"5"	"10"	"8"	"66"	"0"	"13"	"5"	"1"	"0"	"13"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"5"	"2"	"0"	"268"	"268"	"1"	"0"
"12316"	"4"	"12"	"15"	"2"	"400"	"91"	"38"	"6"	"9"	"5"	"58"	"2"	"4"	"3"	"1"	"0"	"11"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"3"	"0"	"243"	"243"	"1"	"0"
"12317"	"4"	"12"	"15"	"2"	"0"	"47"	"16"	"1"	"4"	"2"	"30"	"1"	"5"	"5"	"1"	"0"	"4"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"12"	"3"	"0"	"134"	"134"	"1"	"0"
"12318"	"4"	"12"	"15"	"2"	"224"	"46"	"8"	"4"	"6"	"1"	"29"	"0"	"2"	"3"	"0"	"1"	"5"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"6"	"5"	"0"	"117"	"117"	"1"	"0"
