"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VIVA"	"VAMOS"	"BIEN"	"PC"	"FCN_NACION"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15563"	"4"	"14"	"19"	"2"	"273"	"63"	"1"	"11"	"18"	"26"	"70"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"2"	"0"	"0"	"195"	"195"	"1"	"0"
"15564"	"4"	"14"	"19"	"2"	"273"	"61"	"1"	"11"	"29"	"15"	"58"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"6"	"0"	"0"	"189"	"189"	"1"	"0"
"15565"	"4"	"14"	"19"	"2"	"380"	"72"	"18"	"10"	"23"	"7"	"86"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"30"	"13"	"0"	"262"	"262"	"1"	"0"
"15566"	"4"	"14"	"19"	"2"	"380"	"76"	"38"	"5"	"21"	"4"	"42"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"29"	"14"	"0"	"230"	"230"	"1"	"0"
"15567"	"4"	"14"	"19"	"2"	"347"	"68"	"31"	"5"	"20"	"3"	"68"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"37"	"9"	"0"	"243"	"243"	"1"	"0"
"15568"	"4"	"14"	"19"	"2"	"345"	"57"	"41"	"4"	"13"	"6"	"59"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"22"	"5"	"0"	"210"	"210"	"1"	"0"
"15569"	"4"	"14"	"19"	"2"	"380"	"112"	"4"	"4"	"39"	"3"	"33"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"21"	"4"	"0"	"223"	"223"	"1"	"0"
"15570"	"4"	"14"	"19"	"2"	"337"	"87"	"5"	"6"	"41"	"5"	"25"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"171"	"171"	"9"	"2"	"0"	"182"	"182"	"1"	"0"
"15571"	"4"	"14"	"19"	"2"	"336"	"82"	"5"	"2"	"31"	"3"	"36"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"10"	"5"	"0"	"176"	"176"	"1"	"0"
"15572"	"4"	"14"	"19"	"2"	"400"	"61"	"14"	"7"	"30"	"4"	"92"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"9"	"2"	"0"	"230"	"230"	"1"	"0"
"15573"	"4"	"14"	"19"	"2"	"400"	"66"	"6"	"10"	"28"	"8"	"108"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"11"	"5"	"0"	"250"	"250"	"1"	"0"
"15574"	"4"	"14"	"19"	"2"	"401"	"99"	"7"	"11"	"20"	"7"	"107"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"11"	"4"	"0"	"269"	"269"	"1"	"0"
"15575"	"4"	"14"	"19"	"2"	"400"	"57"	"13"	"14"	"31"	"3"	"91"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"3"	"7"	"0"	"224"	"224"	"1"	"0"
"15576"	"4"	"14"	"19"	"2"	"394"	"54"	"7"	"12"	"31"	"2"	"61"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"11"	"7"	"0"	"192"	"192"	"1"	"0"
"15577"	"4"	"14"	"19"	"2"	"400"	"44"	"16"	"12"	"30"	"2"	"85"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"7"	"4"	"0"	"201"	"201"	"1"	"0"
"15578"	"4"	"14"	"19"	"2"	"339"	"36"	"11"	"8"	"20"	"2"	"77"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"5"	"3"	"0"	"164"	"164"	"1"	"2"
"15579"	"4"	"14"	"19"	"2"	"338"	"45"	"7"	"9"	"23"	"5"	"83"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"1"	"2"	"1"	"177"	"177"	"1"	"0"
"15580"	"4"	"14"	"19"	"2"	"507"	"62"	"11"	"0"	"35"	"5"	"33"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"150"	"150"	"13"	"9"	"2"	"172"	"172"	"1"	"0"
