"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PPT"	"C_I_P_"	"VALOR"	"VIVA"	"UNE"	"CONVERGENCIA"	"LIBRE"	"PODEMOS"	"FUERZA"	"FCN_NACION"	"UCN"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9820"	"4"	"9"	"17"	"2"	"380"	"5"	"48"	"34"	"39"	"76"	"2"	"1"	"0"	"2"	"8"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"6"	"5"	"0"	"234"	"234"	"1"	"0"
"9821"	"4"	"9"	"17"	"2"	"380"	"7"	"44"	"33"	"43"	"82"	"3"	"2"	"0"	"1"	"10"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"6"	"2"	"0"	"241"	"241"	"1"	"0"
"9822"	"4"	"9"	"17"	"2"	"380"	"10"	"40"	"33"	"44"	"73"	"1"	"2"	"0"	"1"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"8"	"4"	"0"	"228"	"228"	"1"	"0"
"9823"	"4"	"9"	"17"	"2"	"377"	"3"	"37"	"31"	"41"	"76"	"4"	"0"	"0"	"3"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"2"	"5"	"0"	"220"	"220"	"1"	"0"
"9824"	"4"	"9"	"17"	"2"	"381"	"3"	"43"	"37"	"36"	"70"	"1"	"0"	"0"	"4"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"15"	"1"	"0"	"216"	"216"	"1"	"0"
"9825"	"4"	"9"	"17"	"2"	"377"	"2"	"34"	"29"	"38"	"73"	"2"	"1"	"0"	"2"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"11"	"7"	"0"	"212"	"212"	"1"	"0"
"9826"	"4"	"9"	"17"	"2"	"380"	"6"	"46"	"38"	"21"	"65"	"2"	"1"	"0"	"1"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"189"	"189"	"7"	"1"	"0"	"197"	"197"	"1"	"0"
"9827"	"4"	"9"	"17"	"2"	"260"	"5"	"30"	"29"	"31"	"70"	"7"	"0"	"0"	"1"	"5"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"0"	"0"	"0"	"188"	"188"	"1"	"0"
"9828"	"4"	"9"	"17"	"2"	"259"	"2"	"37"	"23"	"25"	"39"	"3"	"0"	"0"	"2"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"140"	"140"	"5"	"5"	"0"	"150"	"150"	"1"	"0"
"9829"	"4"	"9"	"17"	"2"	"376"	"2"	"34"	"32"	"8"	"67"	"1"	"0"	"0"	"7"	"31"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"19"	"5"	"0"	"209"	"209"	"1"	"0"
