"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VAMOS"	"VIVA"	"BIEN"	"PPT"	"FUERZA"	"URNG_MAIZ"	"CREO"	"SEMILLA"	"VALOR"	"PODEMOS"	"FCN_NACION"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9714"	"4"	"9"	"14"	"2"	"380"	"51"	"60"	"5"	"65"	"16"	"13"	"5"	"36"	"17"	"4"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"3"	"4"	"0"	"283"	"283"	"1"	"0"
"9715"	"4"	"9"	"14"	"2"	"380"	"60"	"43"	"9"	"35"	"22"	"15"	"10"	"25"	"16"	"10"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"3"	"4"	"0"	"256"	"256"	"1"	"0"
"9716"	"4"	"9"	"14"	"2"	"373"	"30"	"41"	"13"	"31"	"14"	"14"	"12"	"45"	"30"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"3"	"8"	"0"	"249"	"249"	"1"	"0"
"9717"	"4"	"9"	"14"	"2"	"376"	"41"	"57"	"17"	"30"	"12"	"16"	"8"	"30"	"17"	"4"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"9"	"5"	"0"	"249"	"249"	"1"	"0"
"9718"	"4"	"9"	"14"	"2"	"183"	"37"	"38"	"8"	"25"	"9"	"6"	"9"	"25"	"12"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"5"	"2"	"0"	"183"	"183"	"1"	"0"
"9719"	"4"	"9"	"14"	"2"	"290"	"41"	"49"	"5"	"30"	"20"	"18"	"5"	"19"	"14"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"1"	"0"	"0"	"219"	"219"	"1"	"0"
"9720"	"4"	"9"	"14"	"2"	"396"	"70"	"7"	"30"	"45"	"3"	"15"	"21"	"27"	"21"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"3"	"1"	"0"	"261"	"261"	"1"	"0"
"9721"	"4"	"9"	"14"	"2"	"400"	"93"	"13"	"24"	"53"	"2"	"15"	"22"	"28"	"14"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"12"	"3"	"0"	"290"	"290"	"1"	"0"
"9722"	"4"	"9"	"14"	"2"	"396"	"107"	"10"	"23"	"59"	"7"	"12"	"14"	"25"	"23"	"8"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"13"	"0"	"0"	"302"	"302"	"1"	"0"
"9723"	"4"	"9"	"14"	"2"	"398"	"105"	"13"	"31"	"72"	"2"	"21"	"7"	"33"	"16"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"7"	"7"	"0"	"323"	"323"	"1"	"0"
