"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"PODEMOS"	"FUERZA"	"UCN"	"MLP"	"SEMILLA"	"CREO"	"BIEN"	"LIBRE"	"UNIONISTA"	"PC"	"PHG"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7162"	"4"	"5"	"13"	"2"	"400"	"72"	"15"	"26"	"41"	"5"	"1"	"0"	"6"	"6"	"7"	"0"	"41"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"15"	"5"	"1"	"242"	"242"	"1"	"0"
"7163"	"4"	"5"	"13"	"2"	"400"	"73"	"17"	"37"	"39"	"3"	"3"	"1"	"4"	"5"	"8"	"0"	"48"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"13"	"7"	"0"	"260"	"260"	"1"	"0"
"7164"	"4"	"5"	"13"	"2"	"394"	"74"	"14"	"35"	"29"	"1"	"3"	"2"	"3"	"4"	"6"	"3"	"46"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"16"	"7"	"0"	"250"	"250"	"1"	"0"
"7165"	"4"	"5"	"13"	"2"	"395"	"76"	"17"	"46"	"35"	"5"	"0"	"1"	"6"	"4"	"7"	"1"	"53"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"3"	"1"	"5"	"256"	"256"	"1"	"0"
"7166"	"4"	"5"	"13"	"2"	"397"	"93"	"9"	"39"	"34"	"3"	"0"	"0"	"1"	"9"	"7"	"0"	"39"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"12"	"5"	"0"	"253"	"253"	"1"	"0"
"7167"	"4"	"5"	"13"	"2"	"396"	"77"	"12"	"30"	"31"	"4"	"2"	"2"	"3"	"8"	"10"	"4"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"20"	"4"	"147"	"249"	"249"	"1"	"0"
"7168"	"4"	"5"	"13"	"2"	"394"	"64"	"19"	"23"	"36"	"6"	"1"	"0"	"1"	"7"	"10"	"4"	"40"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"13"	"7"	"0"	"231"	"231"	"1"	"0"
"7169"	"4"	"5"	"13"	"2"	"397"	"72"	"11"	"23"	"33"	"3"	"1"	"0"	"2"	"7"	"6"	"0"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"9"	"8"	"0"	"219"	"219"	"1"	"0"
"7170"	"4"	"5"	"13"	"2"	"403"	"75"	"16"	"27"	"42"	"3"	"1"	"0"	"5"	"7"	"11"	"0"	"41"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"8"	"4"	"0"	"245"	"245"	"1"	"0"
"7171"	"4"	"5"	"13"	"2"	"395"	"89"	"26"	"30"	"39"	"5"	"0"	"0"	"3"	"10"	"9"	"1"	"71"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"2"	"5"	"0"	"295"	"295"	"1"	"0"
