"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"BIEN"	"EL_GALLO"	"TODOS"	"MANO"	"AL_RESCATE_DE_ZACAPA"	"VALOR"	"WINAQ"	"UNE"	"UCN"	"R_19_PAZ"	"VIVA"	"VICTORIA"	"CONVERGENCIA"	"VAMOS"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18846"	"4"	"19"	"1"	"2"	"400"	"9"	"1"	"13"	"40"	"72"	"11"	"2"	"28"	"18"	"38"	"8"	"5"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"8"	"3"	"0"	"265"	"265"	"1"	"0"
"18847"	"4"	"19"	"1"	"2"	"396"	"5"	"1"	"10"	"39"	"60"	"10"	"4"	"23"	"18"	"44"	"5"	"5"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"5"	"0"	"0"	"237"	"237"	"1"	"0"
"18848"	"4"	"19"	"1"	"2"	"394"	"15"	"0"	"15"	"42"	"61"	"11"	"2"	"28"	"12"	"45"	"7"	"4"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"11"	"2"	"0"	"264"	"264"	"1"	"0"
"18849"	"4"	"19"	"1"	"2"	"396"	"13"	"3"	"12"	"45"	"71"	"11"	"1"	"26"	"18"	"53"	"4"	"8"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"10"	"1"	"0"	"285"	"285"	"1"	"0"
"18850"	"4"	"19"	"1"	"2"	"396"	"14"	"3"	"17"	"36"	"49"	"13"	"3"	"28"	"10"	"40"	"8"	"11"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"245"	"15"	"3"	"0"	"281"	"263"	"0"	"0"
"18851"	"4"	"19"	"1"	"2"	"400"	"15"	"3"	"15"	"46"	"48"	"20"	"4"	"30"	"7"	"39"	"3"	"11"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"9"	"1"	"0"	"264"	"263"	"0"	"1"
"18852"	"4"	"19"	"1"	"2"	"400"	"9"	"6"	"18"	"38"	"52"	"16"	"2"	"35"	"20"	"47"	"8"	"8"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"10"	"2"	"0"	"280"	"280"	"1"	"0"
"18853"	"4"	"19"	"1"	"2"	"256"	"9"	"2"	"12"	"43"	"54"	"10"	"4"	"33"	"13"	"47"	"3"	"5"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"11"	"0"	"0"	"256"	"256"	"1"	"0"
"18854"	"4"	"19"	"1"	"2"	"396"	"8"	"1"	"13"	"36"	"52"	"10"	"3"	"28"	"12"	"48"	"6"	"8"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"8"	"2"	"0"	"242"	"242"	"1"	"0"
"18855"	"4"	"19"	"1"	"2"	"397"	"10"	"0"	"7"	"21"	"50"	"10"	"2"	"39"	"17"	"44"	"4"	"3"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"15"	"1"	"0"	"232"	"232"	"1"	"0"
"18856"	"4"	"19"	"1"	"2"	"400"	"12"	"1"	"13"	"33"	"65"	"16"	"1"	"24"	"14"	"46"	"3"	"6"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"9"	"2"	"0"	"248"	"248"	"1"	"0"
"18857"	"4"	"19"	"1"	"2"	"400"	"7"	"1"	"14"	"47"	"64"	"8"	"2"	"30"	"20"	"55"	"6"	"10"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"6"	"2"	"0"	"277"	"277"	"1"	"0"
"18858"	"4"	"19"	"1"	"2"	"394"	"16"	"2"	"14"	"43"	"66"	"13"	"1"	"29"	"18"	"60"	"3"	"8"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"2"	"116"	"0"	"394"	"394"	"1"	"0"
"18859"	"4"	"19"	"1"	"2"	"395"	"9"	"1"	"16"	"39"	"46"	"10"	"2"	"26"	"16"	"44"	"5"	"5"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"0"	"0"	"235"	"235"	"1"	"0"
"18860"	"4"	"19"	"1"	"2"	"396"	"21"	"1"	"11"	"40"	"72"	"7"	"0"	"22"	"12"	"48"	"8"	"2"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"13"	"4"	"125"	"271"	"271"	"1"	"0"
