"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"MUP"	"UNE"	"VAMOS"	"UNIONISTA"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4795"	"4"	"2"	"3"	"2"	"400"	"124"	"148"	"47"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"324"	"324"	"10"	"5"	"0"	"339"	"339"	"1"	"0"
"4796"	"4"	"2"	"3"	"2"	"375"	"80"	"173"	"42"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"306"	"306"	"5"	"2"	"0"	"313"	"313"	"1"	"0"
"4797"	"4"	"2"	"3"	"2"	"400"	"102"	"162"	"37"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"316"	"316"	"7"	"6"	"0"	"329"	"329"	"1"	"0"
"4798"	"4"	"2"	"3"	"2"	"400"	"104"	"156"	"38"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"302"	"302"	"8"	"6"	"0"	"316"	"316"	"1"	"0"
"4799"	"4"	"2"	"3"	"2"	"400"	"119"	"116"	"56"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"8"	"0"	"0"	"308"	"308"	"1"	"1"
"4800"	"4"	"2"	"3"	"2"	"400"	"122"	"117"	"59"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"2"	"1"	"0"	"306"	"306"	"1"	"0"
"4801"	"4"	"2"	"3"	"2"	"400"	"145"	"117"	"54"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"322"	"322"	"3"	"0"	"0"	"325"	"325"	"1"	"0"
"4802"	"4"	"2"	"3"	"2"	"400"	"154"	"92"	"51"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"301"	"301"	"8"	"2"	"0"	"311"	"311"	"1"	"0"
"4803"	"4"	"2"	"3"	"2"	"400"	"147"	"106"	"54"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"314"	"314"	"7"	"1"	"0"	"322"	"322"	"1"	"1"
"4804"	"4"	"2"	"3"	"2"	"390"	"142"	"85"	"58"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"11"	"5"	"0"	"305"	"305"	"1"	"0"
"4805"	"4"	"2"	"3"	"2"	"400"	"147"	"93"	"54"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"0"	"0"	"0"	"304"	"304"	"1"	"0"
"4806"	"4"	"2"	"3"	"2"	"400"	"153"	"109"	"59"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"326"	"326"	"2"	"0"	"0"	"328"	"328"	"1"	"0"
"4807"	"4"	"2"	"3"	"2"	"380"	"166"	"101"	"66"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"338"	"338"	"1"	"1"	"0"	"340"	"340"	"1"	"0"
"4808"	"4"	"2"	"3"	"2"	"383"	"173"	"75"	"59"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"312"	"312"	"1"	"1"	"0"	"314"	"314"	"1"	"0"
"4809"	"4"	"2"	"3"	"2"	"397"	"53"	"96"	"28"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"182"	"182"	"2"	"1"	"0"	"185"	"185"	"1"	"0"
