"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"VIVA"	"CONVERGENCIA"	"UCN"	"EG"	"SEMILLA"	"UNE"	"FCN_NACION"	"CREO"	"FUERZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"2434"	"4"	"1"	"7"	"2"	"377"	"30"	"4"	"3"	"19"	"35"	"5"	"73"	"20"	"38"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"9"	"2"	"0"	"242"	"242"	"1"	"0"
"2435"	"4"	"1"	"7"	"2"	"378"	"31"	"5"	"6"	"22"	"26"	"5"	"65"	"13"	"29"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"14"	"4"	"0"	"228"	"228"	"1"	"0"
"2436"	"4"	"1"	"7"	"2"	"380"	"23"	"4"	"3"	"17"	"26"	"13"	"78"	"11"	"31"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"13"	"7"	"0"	"235"	"235"	"1"	"0"
"2437"	"4"	"1"	"7"	"2"	"376"	"25"	"2"	"1"	"18"	"23"	"12"	"98"	"13"	"34"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"229"	"8"	"7"	"0"	"244"	"244"	"0"	"0"
"2438"	"4"	"1"	"7"	"2"	"380"	"27"	"5"	"3"	"23"	"34"	"9"	"69"	"20"	"38"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"10"	"2"	"0"	"243"	"243"	"1"	"0"
"2439"	"4"	"1"	"7"	"2"	"380"	"34"	"3"	"2"	"24"	"35"	"5"	"60"	"13"	"43"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"223"	"10"	"2"	"0"	"233"	"235"	"0"	"0"
"2440"	"4"	"1"	"7"	"2"	"380"	"33"	"4"	"4"	"17"	"31"	"4"	"65"	"14"	"39"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"9"	"4"	"0"	"230"	"230"	"1"	"0"
"2441"	"4"	"1"	"7"	"2"	"380"	"23"	"2"	"2"	"36"	"23"	"4"	"75"	"12"	"40"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"224"	"9"	"6"	"0"	"241"	"239"	"0"	"0"
"2442"	"4"	"1"	"7"	"2"	"376"	"30"	"1"	"2"	"23"	"29"	"5"	"73"	"13"	"28"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"10"	"3"	"0"	"223"	"223"	"1"	"0"
"2443"	"4"	"1"	"7"	"2"	"376"	"21"	"6"	"3"	"26"	"23"	"6"	"82"	"9"	"37"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"1"	"0"	"227"	"227"	"1"	"0"
"2444"	"4"	"1"	"7"	"2"	"375"	"35"	"2"	"4"	"13"	"18"	"14"	"70"	"10"	"24"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"5"	"0"	"0"	"200"	"200"	"1"	"0"
"2445"	"4"	"1"	"7"	"2"	"376"	"28"	"7"	"4"	"10"	"30"	"5"	"77"	"11"	"29"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"5"	"5"	"10"	"217"	"217"	"1"	"0"
"2446"	"4"	"1"	"7"	"1"	"376"	"26"	"3"	"2"	"19"	"24"	"6"	"73"	"19"	"23"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"12"	"5"	"0"	"221"	"221"	"1"	"0"
