"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VALOR"	"CREO"	"WINAQ"	"UCN"	"PAN"	"UNIONISTA"	"MLP"	"FCN_NACION"	"AVANZA"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7863"	"4"	"6"	"14"	"2"	"376"	"123"	"15"	"2"	"3"	"38"	"1"	"7"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"8"	"3"	"0"	"211"	"211"	"1"	"0"
"7864"	"4"	"6"	"14"	"2"	"376"	"102"	"6"	"3"	"5"	"30"	"1"	"7"	"12"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"11"	"4"	"0"	"183"	"183"	"1"	"0"
"7865"	"4"	"6"	"14"	"2"	"321"	"79"	"9"	"0"	"1"	"33"	"0"	"3"	"4"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"4"	"3"	"0"	"138"	"138"	"1"	"0"
"7866"	"4"	"6"	"14"	"2"	"321"	"83"	"5"	"0"	"0"	"33"	"1"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"131"	"3"	"1"	"0"	"135"	"135"	"1"	"0"
"7867"	"4"	"6"	"14"	"2"	"380"	"88"	"3"	"1"	"1"	"129"	"0"	"2"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"20"	"0"	"0"	"254"	"254"	"1"	"0"
"7868"	"4"	"6"	"14"	"2"	"378"	"96"	"6"	"1"	"0"	"139"	"3"	"0"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"18"	"9"	"0"	"283"	"283"	"1"	"0"
"7869"	"4"	"6"	"14"	"2"	"376"	"101"	"3"	"4"	"0"	"143"	"1"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"14"	"6"	"0"	"280"	"280"	"1"	"0"
"7870"	"4"	"6"	"14"	"2"	"377"	"88"	"6"	"5"	"0"	"142"	"2"	"1"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"8"	"2"	"0"	"264"	"264"	"1"	"0"
"7871"	"4"	"6"	"14"	"2"	"380"	"90"	"2"	"5"	"1"	"131"	"0"	"3"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"21"	"4"	"0"	"265"	"265"	"1"	"0"
"7872"	"4"	"6"	"14"	"2"	"376"	"101"	"4"	"0"	"0"	"142"	"3"	"2"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"13"	"2"	"0"	"273"	"273"	"1"	"0"
