"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EG"	"UNE"	"TODOS"	"FUERZA"	"COMCICH"	"VALOR"	"CONVERGENCIA"	"UNIONISTA"	"PHG"	"FCN_NACION"	"PC"	"BIEN"	"MLP"	"SEMILLA"	"LIBRE"	"UCN"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8629"	"4"	"8"	"1"	"2"	"380"	"6"	"4"	"101"	"18"	"8"	"2"	"3"	"2"	"5"	"1"	"29"	"0"	"3"	"3"	"0"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"15"	"10"	"0"	"220"	"220"	"1"	"0"
"8630"	"4"	"8"	"1"	"2"	"380"	"4"	"1"	"87"	"18"	"14"	"5"	"6"	"2"	"1"	"4"	"33"	"2"	"1"	"5"	"0"	"5"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"15"	"8"	"0"	"221"	"221"	"1"	"0"
"8631"	"4"	"8"	"1"	"2"	"380"	"4"	"7"	"93"	"22"	"13"	"1"	"4"	"0"	"1"	"3"	"26"	"0"	"6"	"2"	"3"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"15"	"10"	"0"	"218"	"218"	"1"	"0"
"8632"	"4"	"8"	"1"	"2"	"291"	"3"	"2"	"67"	"16"	"12"	"2"	"3"	"0"	"1"	"1"	"24"	"1"	"3"	"1"	"1"	"9"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"149"	"149"	"10"	"4"	"0"	"163"	"163"	"1"	"0"
"8633"	"4"	"8"	"1"	"2"	"290"	"1"	"3"	"52"	"14"	"13"	"0"	"5"	"0"	"1"	"4"	"24"	"0"	"0"	"3"	"2"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"3"	"3"	"0"	"134"	"134"	"1"	"0"
"8634"	"4"	"8"	"1"	"2"	"376"	"5"	"5"	"58"	"44"	"8"	"6"	"1"	"6"	"4"	"3"	"6"	"0"	"1"	"0"	"1"	"5"	"2"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"9"	"10"	"0"	"188"	"188"	"1"	"0"
"8635"	"4"	"8"	"1"	"2"	"380"	"6"	"2"	"52"	"60"	"4"	"1"	"1"	"5"	"2"	"8"	"2"	"0"	"3"	"4"	"0"	"2"	"2"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"15"	"11"	"0"	"195"	"195"	"1"	"0"
"8636"	"4"	"8"	"1"	"2"	"379"	"8"	"4"	"62"	"39"	"7"	"1"	"0"	"5"	"1"	"6"	"2"	"0"	"0"	"3"	"4"	"3"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"8"	"6"	"0"	"173"	"173"	"1"	"0"
"8637"	"4"	"8"	"1"	"2"	"378"	"5"	"2"	"39"	"40"	"8"	"4"	"1"	"5"	"0"	"13"	"2"	"0"	"1"	"5"	"1"	"3"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"143"	"4"	"2"	"0"	"150"	"149"	"0"	"0"
"8638"	"4"	"8"	"1"	"2"	"380"	"11"	"3"	"108"	"23"	"7"	"8"	"0"	"2"	"2"	"0"	"3"	"1"	"1"	"3"	"2"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"12"	"23"	"0"	"214"	"214"	"1"	"0"
"8639"	"4"	"8"	"1"	"2"	"380"	"10"	"3"	"113"	"19"	"8"	"5"	"2"	"1"	"2"	"1"	"1"	"0"	"2"	"3"	"1"	"2"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"12"	"15"	"0"	"210"	"210"	"1"	"0"
"8640"	"4"	"8"	"1"	"2"	"241"	"6"	"0"	"66"	"12"	"4"	"6"	"0"	"0"	"1"	"3"	"2"	"0"	"3"	"4"	"2"	"1"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"115"	"115"	"9"	"7"	"2"	"133"	"131"	"0"	"0"
"8641"	"4"	"8"	"1"	"2"	"237"	"3"	"1"	"65"	"9"	"4"	"6"	"0"	"1"	"0"	"1"	"1"	"1"	"0"	"1"	"0"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"103"	"103"	"5"	"6"	"0"	"114"	"114"	"1"	"0"
"8642"	"4"	"8"	"1"	"2"	"377"	"6"	"0"	"148"	"6"	"2"	"5"	"0"	"4"	"0"	"3"	"0"	"0"	"0"	"1"	"0"	"0"	"1"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"28"	"12"	"0"	"251"	"251"	"1"	"0"
"8643"	"4"	"8"	"1"	"2"	"380"	"6"	"0"	"158"	"3"	"6"	"5"	"1"	"6"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"1"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"17"	"12"	"0"	"243"	"243"	"1"	"0"
"8644"	"4"	"8"	"1"	"2"	"380"	"3"	"1"	"174"	"7"	"5"	"5"	"1"	"19"	"1"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"23"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"25"	"17"	"0"	"287"	"287"	"1"	"0"
"8645"	"4"	"8"	"1"	"2"	"380"	"5"	"0"	"169"	"2"	"3"	"2"	"0"	"5"	"0"	"0"	"1"	"1"	"1"	"2"	"2"	"1"	"0"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"18"	"17"	"0"	"251"	"251"	"1"	"0"
"8646"	"4"	"8"	"1"	"2"	"230"	"2"	"0"	"74"	"5"	"1"	"2"	"0"	"4"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"109"	"109"	"11"	"9"	"0"	"129"	"129"	"1"	"0"
"8647"	"4"	"8"	"1"	"2"	"232"	"2"	"0"	"82"	"7"	"3"	"2"	"1"	"7"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"7"	"3"	"0"	"130"	"130"	"1"	"0"
"8648"	"4"	"8"	"1"	"2"	"380"	"9"	"4"	"80"	"38"	"3"	"9"	"1"	"2"	"0"	"6"	"4"	"1"	"10"	"11"	"3"	"5"	"8"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"16"	"8"	"0"	"222"	"222"	"1"	"0"
"8649"	"4"	"8"	"1"	"2"	"371"	"7"	"3"	"85"	"42"	"2"	"9"	"2"	"4"	"1"	"4"	"1"	"2"	"9"	"16"	"2"	"6"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"7"	"11"	"0"	"220"	"220"	"1"	"0"
"8650"	"4"	"8"	"1"	"2"	"375"	"9"	"4"	"55"	"57"	"10"	"11"	"3"	"1"	"1"	"10"	"9"	"0"	"7"	"15"	"8"	"4"	"8"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"6"	"5"	"0"	"226"	"226"	"1"	"0"
"8651"	"4"	"8"	"1"	"2"	"600"	"12"	"4"	"69"	"40"	"17"	"8"	"1"	"1"	"3"	"5"	"4"	"1"	"2"	"7"	"7"	"3"	"6"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"12"	"7"	"0"	"217"	"217"	"1"	"0"
"8652"	"4"	"8"	"1"	"2"	"600"	"11"	"3"	"50"	"27"	"9"	"16"	"1"	"3"	"6"	"5"	"1"	"4"	"3"	"7"	"4"	"3"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"6"	"3"	"0"	"175"	"175"	"1"	"0"
"8653"	"4"	"8"	"1"	"2"	"600"	"15"	"4"	"63"	"47"	"10"	"8"	"2"	"2"	"1"	"9"	"4"	"1"	"1"	"7"	"5"	"1"	"4"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"17"	"9"	"0"	"231"	"231"	"1"	"0"
"8654"	"4"	"8"	"1"	"2"	"600"	"9"	"2"	"47"	"36"	"13"	"10"	"3"	"3"	"1"	"5"	"3"	"2"	"2"	"3"	"4"	"1"	"1"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"17"	"7"	"1"	"181"	"181"	"1"	"0"
"8655"	"4"	"8"	"1"	"2"	"608"	"14"	"0"	"44"	"31"	"20"	"26"	"1"	"3"	"2"	"10"	"2"	"2"	"1"	"6"	"2"	"1"	"0"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"15"	"9"	"0"	"202"	"202"	"1"	"0"
"8656"	"4"	"8"	"1"	"2"	"600"	"13"	"2"	"68"	"39"	"15"	"9"	"1"	"1"	"1"	"9"	"2"	"3"	"2"	"6"	"6"	"1"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"16"	"6"	"0"	"219"	"219"	"1"	"0"
"8657"	"4"	"8"	"1"	"2"	"599"	"17"	"2"	"49"	"33"	"7"	"16"	"1"	"4"	"0"	"6"	"1"	"2"	"3"	"4"	"3"	"6"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"10"	"14"	"0"	"194"	"194"	"1"	"0"
"8658"	"4"	"8"	"1"	"2"	"600"	"14"	"1"	"44"	"36"	"8"	"11"	"6"	"2"	"1"	"9"	"3"	"1"	"4"	"5"	"13"	"4"	"2"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"10"	"10"	"0"	"194"	"194"	"1"	"0"
"8659"	"4"	"8"	"1"	"2"	"600"	"18"	"2"	"51"	"23"	"12"	"9"	"3"	"1"	"3"	"7"	"2"	"1"	"2"	"1"	"5"	"1"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"8"	"7"	"0"	"173"	"173"	"1"	"0"
"8660"	"4"	"8"	"1"	"2"	"423"	"6"	"0"	"21"	"16"	"7"	"7"	"3"	"2"	"1"	"3"	"0"	"0"	"1"	"3"	"4"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"80"	"80"	"6"	"1"	"0"	"87"	"87"	"1"	"0"
"8661"	"4"	"8"	"1"	"2"	"423"	"3"	"0"	"18"	"7"	"2"	"7"	"0"	"1"	"0"	"2"	"0"	"0"	"3"	"1"	"1"	"1"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"55"	"55"	"5"	"0"	"0"	"60"	"60"	"1"	"0"
