"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"EG"	"UNE"	"TODOS"	"FUERZA"	"COMCICH"	"VALOR"	"CONVERGENCIA"	"UNIONISTA"	"PHG"	"FCN_NACION"	"PC"	"BIEN"	"MLP"	"SEMILLA"	"LIBRE"	"UCN"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"8575"	"4"	"8"	"1"	"2"	"400"	"9"	"1"	"69"	"39"	"47"	"9"	"1"	"2"	"4"	"8"	"8"	"4"	"7"	"7"	"5"	"6"	"5"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"245"	"245"	"7"	"8"	"0"	"260"	"260"	"1"	"0"
"8576"	"4"	"8"	"1"	"2"	"400"	"11"	"1"	"94"	"31"	"46"	"7"	"8"	"4"	"4"	"9"	"4"	"1"	"4"	"3"	"6"	"3"	"3"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"7"	"8"	"135"	"265"	"265"	"1"	"0"
"8577"	"4"	"8"	"1"	"2"	"400"	"11"	"0"	"78"	"29"	"48"	"11"	"3"	"4"	"1"	"8"	"4"	"2"	"8"	"5"	"4"	"4"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"231"	"6"	"2"	"0"	"239"	"239"	"0"	"0"
"8578"	"4"	"8"	"1"	"2"	"235"	"5"	"1"	"38"	"15"	"34"	"6"	"4"	"2"	"0"	"3"	"2"	"3"	"3"	"1"	"3"	"2"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"126"	"126"	"3"	"3"	"0"	"132"	"132"	"1"	"0"
"8579"	"4"	"8"	"1"	"2"	"234"	"2"	"2"	"44"	"16"	"20"	"8"	"2"	"0"	"3"	"3"	"5"	"4"	"2"	"0"	"2"	"7"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"127"	"127"	"4"	"1"	"0"	"132"	"132"	"1"	"0"
"8580"	"4"	"8"	"1"	"2"	"400"	"10"	"4"	"88"	"43"	"11"	"18"	"1"	"5"	"1"	"8"	"2"	"1"	"4"	"6"	"10"	"4"	"5"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"9"	"4"	"0"	"246"	"246"	"1"	"0"
"8581"	"4"	"8"	"1"	"2"	"400"	"12"	"1"	"78"	"34"	"10"	"18"	"5"	"3"	"1"	"10"	"7"	"3"	"5"	"11"	"4"	"6"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"11"	"6"	"0"	"244"	"244"	"1"	"0"
"8582"	"4"	"8"	"1"	"2"	"399"	"4"	"2"	"71"	"32"	"11"	"6"	"6"	"1"	"4"	"5"	"9"	"2"	"7"	"0"	"8"	"3"	"4"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"20"	"12"	"0"	"218"	"218"	"1"	"0"
"8583"	"4"	"8"	"1"	"2"	"400"	"10"	"1"	"78"	"31"	"10"	"6"	"4"	"3"	"3"	"12"	"14"	"3"	"2"	"3"	"7"	"3"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"11"	"11"	"0"	"227"	"227"	"1"	"0"
"8584"	"4"	"8"	"1"	"2"	"400"	"2"	"0"	"93"	"49"	"10"	"22"	"5"	"4"	"3"	"3"	"2"	"3"	"5"	"10"	"6"	"8"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"6"	"11"	"6"	"255"	"255"	"1"	"0"
"8585"	"4"	"8"	"1"	"2"	"400"	"13"	"1"	"63"	"51"	"11"	"20"	"4"	"2"	"2"	"9"	"4"	"2"	"0"	"9"	"5"	"1"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"10"	"3"	"173"	"227"	"227"	"1"	"0"
"8586"	"4"	"8"	"1"	"2"	"396"	"13"	"1"	"65"	"31"	"22"	"8"	"4"	"3"	"1"	"12"	"4"	"3"	"0"	"6"	"5"	"5"	"0"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"5"	"5"	"0"	"203"	"203"	"1"	"0"
"8587"	"4"	"8"	"1"	"2"	"400"	"8"	"2"	"84"	"41"	"22"	"18"	"2"	"0"	"9"	"9"	"4"	"0"	"3"	"13"	"8"	"5"	"6"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"6"	"7"	"0"	"259"	"259"	"1"	"0"
"8588"	"4"	"8"	"1"	"2"	"400"	"10"	"0"	"90"	"36"	"23"	"20"	"1"	"2"	"1"	"8"	"3"	"0"	"2"	"4"	"5"	"3"	"8"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"13"	"10"	"0"	"257"	"257"	"1"	"0"
"8589"	"4"	"8"	"1"	"2"	"400"	"14"	"2"	"69"	"45"	"14"	"12"	"7"	"2"	"2"	"17"	"6"	"2"	"3"	"6"	"8"	"10"	"2"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"11"	"9"	"0"	"252"	"252"	"1"	"0"
"8590"	"4"	"8"	"1"	"2"	"387"	"10"	"1"	"71"	"33"	"19"	"13"	"3"	"3"	"3"	"10"	"6"	"1"	"1"	"10"	"7"	"3"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"8"	"5"	"0"	"217"	"217"	"1"	"0"
"8591"	"4"	"8"	"1"	"2"	"393"	"6"	"4"	"58"	"28"	"19"	"12"	"2"	"1"	"1"	"7"	"4"	"0"	"3"	"4"	"4"	"2"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"3"	"0"	"0"	"167"	"167"	"1"	"0"
"8592"	"4"	"8"	"1"	"2"	"400"	"20"	"1"	"69"	"34"	"13"	"16"	"4"	"3"	"1"	"3"	"10"	"0"	"4"	"6"	"3"	"2"	"8"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"17"	"15"	"129"	"271"	"271"	"1"	"0"
"8593"	"4"	"8"	"1"	"2"	"400"	"26"	"7"	"65"	"31"	"14"	"13"	"10"	"2"	"2"	"7"	"5"	"1"	"4"	"6"	"3"	"3"	"4"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"17"	"15"	"0"	"287"	"287"	"1"	"0"
"8594"	"4"	"8"	"1"	"2"	"400"	"18"	"1"	"69"	"41"	"13"	"17"	"6"	"1"	"1"	"4"	"0"	"3"	"3"	"9"	"2"	"1"	"7"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"20"	"13"	"0"	"271"	"271"	"1"	"0"
"8595"	"4"	"8"	"1"	"2"	"400"	"10"	"2"	"99"	"32"	"9"	"13"	"0"	"1"	"1"	"6"	"4"	"2"	"2"	"6"	"3"	"5"	"6"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"17"	"9"	"0"	"238"	"238"	"1"	"0"
"8596"	"4"	"8"	"1"	"2"	"396"	"14"	"6"	"69"	"32"	"29"	"8"	"1"	"0"	"4"	"7"	"6"	"1"	"1"	"3"	"3"	"3"	"5"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"8"	"7"	"0"	"227"	"227"	"1"	"0"
"8597"	"4"	"8"	"1"	"2"	"400"	"23"	"5"	"90"	"32"	"18"	"8"	"3"	"3"	"1"	"2"	"6"	"3"	"4"	"4"	"3"	"1"	"3"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"13"	"11"	"154"	"246"	"246"	"1"	"0"
