"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"SEMILLA"	"FCN_NACION"	"URNG_MAIZ"	"LIBRE"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14039"	"4"	"13"	"20"	"2"	"380"	"79"	"129"	"55"	"39"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"307"	"307"	"3"	"6"	"0"	"316"	"316"	"1"	"0"
"14040"	"4"	"13"	"20"	"2"	"375"	"60"	"102"	"50"	"45"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"5"	"7"	"0"	"272"	"272"	"1"	"0"
"14041"	"4"	"13"	"20"	"2"	"380"	"60"	"103"	"54"	"41"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"4"	"2"	"0"	"268"	"268"	"1"	"0"
"14042"	"4"	"13"	"20"	"2"	"198"	"26"	"69"	"33"	"29"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"0"	"2"	"0"	"161"	"161"	"1"	"0"
"14043"	"4"	"13"	"20"	"2"	"198"	"30"	"76"	"25"	"23"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"1"	"2"	"0"	"160"	"160"	"1"	"0"
"14044"	"4"	"13"	"20"	"2"	"380"	"55"	"50"	"157"	"24"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"289"	"7"	"8"	"0"	"304"	"304"	"1"	"0"
"14045"	"4"	"13"	"20"	"2"	"380"	"65"	"54"	"129"	"44"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"293"	"293"	"1"	"8"	"0"	"302"	"302"	"1"	"0"
"14046"	"4"	"13"	"20"	"2"	"375"	"109"	"50"	"92"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"7"	"7"	"0"	"318"	"318"	"1"	"2"
"14047"	"4"	"13"	"20"	"2"	"376"	"75"	"43"	"105"	"25"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"1"	"10"	"0"	"260"	"260"	"1"	"0"
"14048"	"4"	"13"	"20"	"2"	"193"	"54"	"26"	"65"	"17"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"1"	"4"	"0"	"168"	"168"	"1"	"0"
