"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"VAMOS"	"VICTORIA"	"CONVERGENCIA"	"PC"	"FCN_NACION"	"EG"	"SEMILLA"	"TODOS"	"PHG"	"UNIDOS"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15047"	"4"	"14"	"10"	"2"	"355"	"70"	"42"	"23"	"3"	"1"	"44"	"9"	"23"	"6"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"4"	"4"	"0"	"240"	"240"	"1"	"0"
"15048"	"4"	"14"	"10"	"2"	"355"	"73"	"43"	"24"	"2"	"0"	"45"	"14"	"20"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"227"	"1"	"3"	"0"	"233"	"231"	"0"	"0"
"15049"	"4"	"14"	"10"	"2"	"380"	"130"	"41"	"19"	"0"	"2"	"2"	"4"	"3"	"4"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"12"	"13"	"0"	"240"	"240"	"1"	"0"
"15050"	"4"	"14"	"10"	"2"	"377"	"98"	"64"	"32"	"0"	"7"	"1"	"9"	"9"	"3"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"15"	"11"	"0"	"258"	"258"	"1"	"0"
"15051"	"4"	"14"	"10"	"2"	"376"	"108"	"60"	"7"	"0"	"3"	"1"	"8"	"14"	"8"	"10"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"22"	"29"	"0"	"254"	"274"	"0"	"0"
"15052"	"4"	"14"	"10"	"2"	"376"	"140"	"48"	"13"	"1"	"5"	"2"	"13"	"5"	"0"	"10"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"14"	"9"	"0"	"264"	"264"	"1"	"0"
"15053"	"4"	"14"	"10"	"2"	"376"	"125"	"51"	"27"	"0"	"2"	"1"	"8"	"12"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"14"	"13"	"0"	"263"	"263"	"1"	"0"
"15054"	"4"	"14"	"10"	"2"	"380"	"118"	"43"	"25"	"0"	"3"	"0"	"5"	"5"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"18"	"11"	"0"	"235"	"235"	"1"	"0"
"15055"	"4"	"14"	"10"	"2"	"376"	"142"	"36"	"29"	"0"	"2"	"0"	"3"	"4"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"11"	"7"	"0"	"239"	"239"	"1"	"0"
"15056"	"4"	"14"	"10"	"2"	"342"	"117"	"28"	"12"	"2"	"4"	"0"	"2"	"7"	"1"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"7"	"12"	"0"	"200"	"200"	"1"	"0"
"15057"	"4"	"14"	"10"	"2"	"341"	"126"	"42"	"25"	"1"	"1"	"2"	"5"	"5"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"7"	"5"	"0"	"225"	"225"	"1"	"0"
"15058"	"4"	"14"	"10"	"2"	"380"	"90"	"84"	"35"	"0"	"2"	"3"	"6"	"7"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"17"	"11"	"0"	"265"	"265"	"1"	"0"
"15059"	"4"	"14"	"10"	"2"	"380"	"109"	"84"	"21"	"0"	"2"	"0"	"15"	"7"	"2"	"5"	"10"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"15"	"20"	"0"	"291"	"291"	"1"	"0"
"15060"	"4"	"14"	"10"	"2"	"380"	"86"	"91"	"49"	"2"	"5"	"2"	"2"	"13"	"3"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"20"	"13"	"0"	"301"	"301"	"1"	"0"
"15061"	"4"	"14"	"10"	"2"	"380"	"123"	"60"	"63"	"0"	"3"	"3"	"2"	"3"	"2"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"8"	"13"	"0"	"292"	"292"	"1"	"0"
"15062"	"4"	"14"	"10"	"2"	"376"	"76"	"81"	"50"	"0"	"8"	"0"	"6"	"4"	"0"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"12"	"7"	"0"	"262"	"262"	"1"	"0"
"15063"	"4"	"14"	"10"	"2"	"346"	"89"	"79"	"38"	"1"	"4"	"1"	"7"	"4"	"3"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"6"	"11"	"0"	"254"	"254"	"1"	"0"
"15064"	"4"	"14"	"10"	"2"	"345"	"90"	"93"	"33"	"1"	"1"	"0"	"11"	"5"	"1"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"11"	"4"	"0"	"257"	"257"	"1"	"0"
"15065"	"4"	"14"	"10"	"2"	"378"	"18"	"19"	"17"	"0"	"2"	"4"	"1"	"187"	"0"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"18"	"6"	"0"	"275"	"275"	"1"	"0"
"15066"	"4"	"14"	"10"	"2"	"380"	"32"	"14"	"17"	"2"	"6"	"6"	"9"	"163"	"5"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"24"	"23"	"0"	"306"	"306"	"1"	"0"
"15067"	"4"	"14"	"10"	"2"	"372"	"34"	"17"	"22"	"1"	"3"	"17"	"2"	"163"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"14"	"12"	"0"	"290"	"290"	"1"	"0"
"15068"	"4"	"14"	"10"	"2"	"380"	"29"	"13"	"12"	"0"	"2"	"6"	"4"	"159"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"6"	"12"	"0"	"245"	"245"	"1"	"0"
"15069"	"4"	"14"	"10"	"2"	"262"	"12"	"9"	"9"	"0"	"1"	"8"	"2"	"111"	"1"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"9"	"6"	"0"	"170"	"170"	"1"	"0"
"15070"	"4"	"14"	"10"	"2"	"262"	"22"	"12"	"12"	"0"	"1"	"6"	"2"	"101"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"2"	"3"	"0"	"163"	"163"	"1"	"0"
"15071"	"4"	"14"	"10"	"2"	"308"	"23"	"23"	"8"	"3"	"5"	"0"	"6"	"15"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"86"	"86"	"4"	"9"	"0"	"99"	"99"	"1"	"0"
"15072"	"4"	"14"	"10"	"2"	"307"	"13"	"19"	"2"	"1"	"9"	"3"	"5"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"60"	"60"	"7"	"4"	"0"	"71"	"71"	"1"	"0"
