"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"VICTORIA"	"UNE"	"FCN_NACION"	"VIVA"	"CONVERGENCIA"	"CREO"	"WINAQ"	"UNIONISTA"	"FUERZA"	"LIBRE"	"PPT"	"PHG"	"BIEN"	"UCN"	"MLP"	"PC"	"VALOR"	"SEMILLA"	"EG"	"UNIDOS"	"PAN"	"URNG_MAIZ"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11461"	"3"	"12"	"1"	"2"	"380"	"1"	"3"	"1"	"29"	"20"	"3"	"2"	"16"	"6"	"5"	"1"	"7"	"1"	"6"	"2"	"3"	"3"	"0"	"1"	"10"	"30"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"155"	"155"	"16"	"18"	"0"	"189"	"189"	"1"	"0"
"11462"	"3"	"12"	"1"	"2"	"380"	"2"	"2"	"1"	"40"	"34"	"3"	"1"	"19"	"6"	"9"	"2"	"6"	"1"	"4"	"4"	"0"	"2"	"1"	"1"	"10"	"32"	"0"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"21"	"18"	"0"	"226"	"226"	"1"	"0"
"11463"	"3"	"12"	"1"	"2"	"380"	"0"	"7"	"2"	"40"	"29"	"1"	"0"	"24"	"9"	"7"	"0"	"8"	"0"	"4"	"5"	"4"	"2"	"1"	"2"	"11"	"46"	"0"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"18"	"25"	"0"	"258"	"258"	"1"	"0"
"11464"	"3"	"12"	"1"	"2"	"380"	"2"	"3"	"0"	"49"	"30"	"3"	"2"	"19"	"9"	"8"	"3"	"8"	"3"	"6"	"2"	"1"	"1"	"0"	"1"	"9"	"24"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"8"	"34"	"0"	"229"	"229"	"1"	"0"
"11465"	"3"	"12"	"1"	"2"	"307"	"0"	"6"	"1"	"33"	"25"	"1"	"2"	"11"	"7"	"5"	"5"	"3"	"2"	"8"	"1"	"3"	"1"	"2"	"1"	"9"	"29"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"12"	"17"	"0"	"190"	"190"	"1"	"0"
"11466"	"3"	"12"	"1"	"2"	"304"	"0"	"9"	"1"	"28"	"17"	"7"	"2"	"20"	"5"	"5"	"4"	"4"	"1"	"7"	"1"	"3"	"2"	"3"	"0"	"9"	"27"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"11"	"13"	"0"	"181"	"181"	"1"	"0"
"11467"	"3"	"12"	"1"	"2"	"380"	"5"	"1"	"1"	"58"	"23"	"2"	"0"	"23"	"0"	"2"	"1"	"4"	"0"	"5"	"2"	"4"	"3"	"0"	"6"	"5"	"10"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"19"	"38"	"0"	"225"	"225"	"1"	"0"
"11468"	"3"	"12"	"1"	"2"	"380"	"2"	"4"	"1"	"47"	"19"	"7"	"4"	"24"	"5"	"5"	"1"	"2"	"2"	"3"	"4"	"5"	"2"	"0"	"9"	"0"	"11"	"1"	"13"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"179"	"16"	"43"	"2"	"238"	"238"	"1"	"0"
"11469"	"3"	"12"	"1"	"2"	"379"	"2"	"0"	"0"	"66"	"21"	"2"	"1"	"23"	"9"	"4"	"1"	"1"	"0"	"3"	"3"	"0"	"7"	"0"	"4"	"3"	"11"	"3"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"183"	"183"	"12"	"32"	"0"	"227"	"227"	"1"	"0"
"11470"	"3"	"12"	"1"	"2"	"380"	"3"	"1"	"1"	"40"	"85"	"6"	"2"	"10"	"2"	"3"	"0"	"2"	"1"	"6"	"1"	"1"	"2"	"1"	"7"	"3"	"12"	"0"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"22"	"48"	"0"	"271"	"271"	"1"	"0"
