"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"UNE"	"FCN_NACION"	"SEMILLA"	"VICTORIA"	"MLP"	"TODOS"	"PC"	"VALOR"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7728"	"4"	"6"	"10"	"2"	"400"	"18"	"45"	"79"	"70"	"6"	"3"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"1"	"2"	"0"	"233"	"233"	"1"	"0"
"7729"	"4"	"6"	"10"	"2"	"400"	"16"	"85"	"70"	"87"	"8"	"7"	"5"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"2"	"0"	"0"	"286"	"286"	"1"	"0"
"7730"	"4"	"6"	"10"	"2"	"248"	"11"	"36"	"61"	"48"	"6"	"1"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"1"	"0"	"0"	"171"	"171"	"1"	"0"
"7731"	"4"	"6"	"10"	"2"	"248"	"8"	"38"	"40"	"38"	"6"	"2"	"1"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"6"	"3"	"0"	"143"	"143"	"1"	"0"
"7732"	"4"	"6"	"10"	"2"	"400"	"3"	"140"	"54"	"26"	"1"	"4"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"16"	"8"	"0"	"256"	"256"	"1"	"0"
"7733"	"4"	"6"	"10"	"2"	"400"	"3"	"151"	"91"	"30"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"284"	"284"	"16"	"5"	"0"	"305"	"305"	"1"	"1"
"7734"	"4"	"6"	"10"	"2"	"396"	"5"	"149"	"64"	"39"	"1"	"2"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"21"	"5"	"0"	"294"	"294"	"1"	"0"
"7735"	"4"	"6"	"10"	"2"	"288"	"4"	"78"	"37"	"18"	"2"	"2"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"148"	"148"	"4"	"4"	"0"	"156"	"156"	"1"	"0"
"7736"	"4"	"6"	"10"	"2"	"287"	"3"	"123"	"42"	"23"	"0"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"194"	"194"	"4"	"1"	"0"	"199"	"199"	"1"	"0"
"7737"	"4"	"6"	"10"	"2"	"443"	"5"	"24"	"23"	"29"	"4"	"0"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"94"	"94"	"4"	"4"	"0"	"102"	"102"	"1"	"0"
"7738"	"4"	"6"	"10"	"2"	"444"	"3"	"13"	"12"	"24"	"5"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"62"	"62"	"0"	"0"	"0"	"62"	"62"	"1"	"0"
