"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"AVANZA"	"UNE"	"CREO"	"SEMILLA"	"PC"	"PHG"	"UNIONISTA"	"VAMOS"	"TODOS"	"FCN_NACION"	"C_C_E_S"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"7284"	"4"	"6"	"1"	"2"	"400"	"20"	"3"	"44"	"10"	"4"	"129"	"9"	"15"	"9"	"10"	"7"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"8"	"5"	"0"	"281"	"281"	"1"	"0"
"7285"	"4"	"6"	"1"	"2"	"405"	"48"	"2"	"77"	"4"	"4"	"73"	"10"	"9"	"15"	"5"	"19"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"15"	"6"	"0"	"295"	"295"	"1"	"0"
"7286"	"4"	"6"	"1"	"2"	"400"	"57"	"3"	"69"	"4"	"3"	"83"	"7"	"9"	"11"	"8"	"12"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"13"	"4"	"0"	"293"	"293"	"1"	"0"
"7287"	"4"	"6"	"1"	"2"	"400"	"10"	"1"	"60"	"1"	"4"	"130"	"11"	"11"	"12"	"5"	"9"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"2"	"2"	"0"	"262"	"262"	"1"	"0"
"7288"	"4"	"6"	"1"	"2"	"400"	"13"	"1"	"43"	"0"	"3"	"121"	"12"	"16"	"5"	"5"	"9"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"4"	"2"	"0"	"239"	"239"	"1"	"0"
"7289"	"4"	"6"	"1"	"2"	"399"	"22"	"4"	"49"	"1"	"3"	"103"	"9"	"15"	"7"	"9"	"4"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"9"	"2"	"0"	"246"	"246"	"1"	"0"
"7290"	"4"	"6"	"1"	"2"	"400"	"15"	"2"	"32"	"5"	"2"	"121"	"11"	"11"	"6"	"9"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"7"	"6"	"0"	"236"	"236"	"1"	"0"
"7291"	"4"	"6"	"1"	"2"	"400"	"18"	"1"	"40"	"7"	"5"	"129"	"10"	"9"	"9"	"4"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"4"	"3"	"1"	"247"	"247"	"1"	"0"
"7292"	"4"	"6"	"1"	"2"	"399"	"21"	"2"	"42"	"3"	"4"	"115"	"3"	"10"	"15"	"12"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"12"	"0"	"0"	"248"	"248"	"1"	"0"
"7293"	"4"	"6"	"1"	"2"	"401"	"15"	"4"	"32"	"6"	"5"	"141"	"9"	"12"	"11"	"6"	"9"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"9"	"0"	"0"	"266"	"266"	"1"	"0"
