"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"URNG_MAIZ"	"UCN"	"VAMOS"	"TODOS"	"UNE"	"FUERZA"	"EG"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13988"	"4"	"13"	"19"	"2"	"380"	"40"	"90"	"20"	"13"	"61"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"16"	"16"	"0"	"264"	"264"	"1"	"0"
"13989"	"4"	"13"	"19"	"2"	"380"	"56"	"90"	"31"	"19"	"64"	"4"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"18"	"7"	"0"	"293"	"293"	"1"	"0"
"13990"	"4"	"13"	"19"	"2"	"380"	"24"	"106"	"19"	"31"	"79"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"19"	"12"	"0"	"298"	"298"	"1"	"0"
"13991"	"4"	"13"	"19"	"2"	"380"	"44"	"103"	"12"	"16"	"57"	"7"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"22"	"17"	"0"	"288"	"288"	"1"	"0"
"13992"	"4"	"13"	"19"	"2"	"380"	"40"	"92"	"15"	"20"	"53"	"4"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"20"	"7"	"0"	"253"	"253"	"1"	"0"
"13993"	"4"	"13"	"19"	"2"	"380"	"24"	"69"	"21"	"12"	"53"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"186"	"186"	"10"	"7"	"0"	"203"	"203"	"1"	"0"
"13994"	"4"	"13"	"19"	"2"	"362"	"29"	"57"	"26"	"14"	"33"	"1"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"11"	"7"	"0"	"185"	"185"	"1"	"0"
"13995"	"4"	"13"	"19"	"2"	"362"	"44"	"84"	"19"	"18"	"59"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"5"	"8"	"0"	"241"	"241"	"1"	"0"
"13996"	"4"	"13"	"19"	"2"	"380"	"34"	"23"	"24"	"56"	"32"	"6"	"0"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"13"	"17"	"0"	"232"	"232"	"1"	"0"
"13997"	"4"	"13"	"19"	"2"	"380"	"55"	"23"	"34"	"20"	"53"	"2"	"1"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"206"	"206"	"6"	"7"	"0"	"219"	"219"	"1"	"0"
"13998"	"4"	"13"	"19"	"2"	"376"	"28"	"19"	"59"	"74"	"11"	"6"	"0"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"12"	"12"	"0"	"256"	"256"	"1"	"0"
"13999"	"4"	"13"	"19"	"2"	"380"	"32"	"11"	"27"	"56"	"44"	"8"	"0"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"7"	"9"	"0"	"221"	"221"	"1"	"0"
"14000"	"4"	"13"	"19"	"2"	"271"	"19"	"19"	"29"	"36"	"12"	"1"	"0"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"128"	"128"	"9"	"9"	"0"	"146"	"146"	"1"	"0"
"14001"	"4"	"13"	"19"	"2"	"277"	"24"	"11"	"19"	"36"	"16"	"3"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"125"	"125"	"3"	"11"	"0"	"139"	"139"	"1"	"0"
"14002"	"4"	"13"	"19"	"2"	"380"	"13"	"66"	"17"	"14"	"61"	"2"	"1"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"17"	"5"	"0"	"225"	"225"	"1"	"0"
"14003"	"4"	"13"	"19"	"2"	"377"	"21"	"137"	"10"	"6"	"46"	"1"	"1"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"0"	"3"	"9"	"236"	"236"	"1"	"0"
"14004"	"4"	"13"	"19"	"2"	"378"	"21"	"96"	"12"	"22"	"42"	"3"	"3"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"4"	"7"	"0"	"255"	"255"	"1"	"0"
"14005"	"4"	"13"	"19"	"2"	"380"	"9"	"44"	"9"	"15"	"59"	"5"	"1"	"79"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"6"	"16"	"0"	"243"	"243"	"1"	"0"
"14006"	"4"	"13"	"19"	"2"	"327"	"14"	"62"	"8"	"5"	"30"	"2"	"2"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"9"	"5"	"0"	"166"	"166"	"1"	"0"
"14007"	"4"	"13"	"19"	"2"	"330"	"13"	"58"	"7"	"9"	"41"	"2"	"0"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"159"	"159"	"6"	"11"	"0"	"176"	"176"	"1"	"0"
"14008"	"4"	"13"	"19"	"2"	"400"	"35"	"100"	"20"	"2"	"86"	"3"	"0"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"5"	"16"	"0"	"309"	"309"	"1"	"0"
"14009"	"4"	"13"	"19"	"2"	"202"	"18"	"35"	"13"	"2"	"32"	"1"	"1"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"5"	"5"	"0"	"132"	"132"	"1"	"0"
"14010"	"4"	"13"	"19"	"2"	"199"	"12"	"33"	"17"	"0"	"25"	"0"	"1"	"19"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"6"	"1"	"0"	"114"	"114"	"1"	"0"
"14011"	"4"	"13"	"19"	"2"	"378"	"47"	"64"	"9"	"13"	"94"	"12"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"9"	"2"	"0"	"254"	"254"	"1"	"0"
"14012"	"4"	"13"	"19"	"2"	"380"	"22"	"81"	"4"	"15"	"141"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"17"	"12"	"0"	"297"	"297"	"1"	"0"
"14013"	"4"	"13"	"19"	"2"	"205"	"15"	"32"	"9"	"5"	"54"	"0"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"119"	"119"	"0"	"5"	"0"	"124"	"124"	"1"	"0"
"14014"	"4"	"13"	"19"	"2"	"204"	"22"	"33"	"6"	"5"	"77"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"147"	"147"	"1"	"2"	"0"	"150"	"150"	"1"	"0"
"14015"	"4"	"13"	"19"	"2"	"467"	"7"	"50"	"5"	"9"	"16"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"4"	"5"	"0"	"102"	"102"	"1"	"0"
