"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VAMOS"	"FUERZA"	"PHG"	"SEMILLA"	"CONVERGENCIA"	"CREO"	"VIVA"	"UNIONISTA"	"BIEN"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17681"	"4"	"17"	"4"	"2"	"380"	"8"	"13"	"0"	"38"	"0"	"29"	"16"	"0"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"124"	"124"	"7"	"6"	"0"	"137"	"137"	"1"	"0"
"17682"	"4"	"17"	"4"	"2"	"376"	"9"	"12"	"0"	"29"	"1"	"34"	"14"	"0"	"1"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"114"	"114"	"17"	"4"	"0"	"135"	"135"	"1"	"0"
"17683"	"4"	"17"	"4"	"2"	"364"	"9"	"15"	"3"	"23"	"5"	"34"	"13"	"0"	"3"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"117"	"117"	"7"	"7"	"0"	"131"	"131"	"1"	"0"
"17684"	"4"	"17"	"4"	"2"	"363"	"5"	"15"	"0"	"40"	"0"	"33"	"21"	"3"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"132"	"132"	"15"	"3"	"0"	"150"	"150"	"1"	"0"
"17685"	"4"	"17"	"4"	"2"	"375"	"34"	"17"	"2"	"2"	"7"	"4"	"71"	"8"	"1"	"49"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"21"	"12"	"0"	"228"	"228"	"1"	"0"
"17686"	"4"	"17"	"4"	"2"	"380"	"19"	"23"	"4"	"4"	"12"	"2"	"69"	"4"	"0"	"61"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"24"	"7"	"0"	"229"	"229"	"1"	"0"
"17687"	"4"	"17"	"4"	"2"	"376"	"23"	"29"	"1"	"9"	"8"	"1"	"67"	"9"	"2"	"66"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"13"	"5"	"0"	"233"	"233"	"1"	"0"
"17688"	"4"	"17"	"4"	"2"	"378"	"19"	"19"	"1"	"3"	"2"	"7"	"72"	"10"	"1"	"64"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"15"	"10"	"0"	"223"	"223"	"1"	"0"
"17689"	"4"	"17"	"4"	"2"	"376"	"21"	"13"	"0"	"4"	"4"	"2"	"82"	"7"	"0"	"63"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"17"	"12"	"0"	"225"	"225"	"1"	"0"
"17690"	"4"	"17"	"4"	"2"	"321"	"17"	"19"	"1"	"4"	"5"	"0"	"72"	"3"	"1"	"42"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"164"	"164"	"19"	"6"	"0"	"164"	"189"	"0"	"0"
"17691"	"4"	"17"	"4"	"2"	"318"	"18"	"6"	"1"	"3"	"5"	"1"	"80"	"9"	"0"	"77"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"7"	"5"	"1"	"212"	"212"	"1"	"0"
"17692"	"4"	"17"	"4"	"2"	"380"	"24"	"8"	"0"	"11"	"2"	"21"	"6"	"5"	"7"	"38"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"10"	"6"	"0"	"138"	"138"	"1"	"0"
"17693"	"4"	"17"	"4"	"2"	"376"	"20"	"7"	"0"	"7"	"1"	"19"	"7"	"6"	"6"	"48"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"121"	"121"	"8"	"10"	"0"	"139"	"139"	"1"	"0"
"17694"	"4"	"17"	"4"	"2"	"203"	"11"	"6"	"0"	"11"	"1"	"16"	"1"	"2"	"8"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"83"	"83"	"4"	"7"	"0"	"94"	"94"	"1"	"0"
"17695"	"4"	"17"	"4"	"2"	"232"	"24"	"13"	"1"	"9"	"1"	"10"	"2"	"1"	"6"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"6"	"8"	"0"	"120"	"120"	"1"	"0"
"17696"	"4"	"17"	"4"	"2"	"444"	"20"	"17"	"1"	"3"	"3"	"1"	"14"	"4"	"1"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"93"	"93"	"5"	"5"	"0"	"103"	"103"	"1"	"0"
