"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"CREO"	"UNE"	"PHG"	"BIEN"	"SEMILLA"	"LIBRE"	"VALOR"	"FCN_NACION"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12859"	"4"	"12"	"30"	"2"	"400"	"49"	"112"	"9"	"78"	"2"	"3"	"0"	"5"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"3"	"3"	"3"	"281"	"281"	"1"	"4"
"12860"	"4"	"12"	"30"	"2"	"400"	"45"	"91"	"10"	"94"	"4"	"9"	"0"	"3"	"3"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"11"	"0"	"0"	"284"	"284"	"1"	"4"
"12861"	"4"	"12"	"30"	"2"	"396"	"55"	"103"	"16"	"83"	"5"	"9"	"0"	"2"	"7"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"10"	"2"	"0"	"304"	"304"	"1"	"0"
"12862"	"4"	"12"	"30"	"2"	"396"	"50"	"82"	"13"	"103"	"3"	"2"	"2"	"5"	"1"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"12"	"10"	"0"	"300"	"300"	"1"	"1"
"12863"	"4"	"12"	"30"	"2"	"396"	"36"	"99"	"12"	"80"	"2"	"7"	"0"	"1"	"3"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"19"	"5"	"0"	"273"	"273"	"1"	"4"
"12864"	"4"	"12"	"30"	"2"	"396"	"34"	"104"	"9"	"71"	"5"	"7"	"0"	"1"	"3"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"8"	"4"	"1"	"256"	"256"	"1"	"0"
"12865"	"4"	"12"	"30"	"2"	"294"	"36"	"77"	"12"	"67"	"1"	"4"	"0"	"4"	"1"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"0"	"0"	"0"	"210"	"210"	"1"	"1"
"12866"	"4"	"12"	"30"	"2"	"290"	"31"	"67"	"8"	"51"	"2"	"1"	"0"	"3"	"0"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"172"	"172"	"4"	"4"	"0"	"180"	"180"	"1"	"3"
"12867"	"4"	"12"	"30"	"2"	"396"	"24"	"87"	"6"	"101"	"1"	"3"	"1"	"0"	"2"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"20"	"4"	"2"	"262"	"262"	"1"	"0"
"12868"	"4"	"12"	"30"	"2"	"396"	"40"	"76"	"8"	"99"	"1"	"5"	"1"	"0"	"1"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"11"	"2"	"0"	"263"	"260"	"0"	"4"
"12869"	"4"	"12"	"30"	"2"	"400"	"49"	"64"	"6"	"92"	"2"	"5"	"1"	"2"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"9"	"8"	"0"	"250"	"252"	"0"	"2"
"12870"	"4"	"12"	"30"	"2"	"396"	"44"	"79"	"4"	"87"	"0"	"3"	"0"	"1"	"1"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"9"	"3"	"0"	"244"	"244"	"1"	"1"
"12871"	"4"	"12"	"30"	"2"	"400"	"36"	"72"	"3"	"79"	"0"	"6"	"0"	"4"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"10"	"7"	"0"	"227"	"227"	"1"	"0"
"12872"	"4"	"12"	"30"	"2"	"397"	"36"	"76"	"2"	"85"	"2"	"6"	"1"	"4"	"1"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"13"	"5"	"0"	"256"	"256"	"1"	"0"
"12873"	"4"	"12"	"30"	"2"	"393"	"37"	"69"	"5"	"76"	"0"	"6"	"0"	"3"	"2"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"25"	"7"	"0"	"239"	"239"	"1"	"0"
