"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"COCIMI"	"UNE"	"SEMILLA"	"PAN"	"PHG"	"VALOR"	"FCN_NACION"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"20574"	"4"	"22"	"5"	"2"	"400"	"7"	"86"	"101"	"6"	"4"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"13"	"4"	"0"	"228"	"228"	"1"	"0"
"20575"	"4"	"22"	"5"	"2"	"110"	"1"	"38"	"49"	"3"	"1"	"6"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"99"	"99"	"10"	"1"	"0"	"110"	"110"	"1"	"0"
"20576"	"4"	"22"	"5"	"2"	"113"	"6"	"46"	"42"	"6"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"106"	"106"	"4"	"3"	"0"	"113"	"113"	"1"	"0"
"20577"	"4"	"22"	"5"	"2"	"380"	"3"	"112"	"85"	"22"	"2"	"14"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"17"	"3"	"0"	"260"	"260"	"1"	"0"
"20578"	"4"	"22"	"5"	"2"	"396"	"3"	"94"	"103"	"8"	"0"	"9"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"16"	"4"	"19"	"258"	"238"	"0"	"1"
"20579"	"4"	"22"	"5"	"2"	"382"	"7"	"102"	"81"	"14"	"3"	"10"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"15"	"4"	"0"	"240"	"240"	"1"	"0"
"20580"	"4"	"22"	"5"	"2"	"380"	"5"	"133"	"90"	"14"	"1"	"16"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"13"	"5"	"0"	"279"	"279"	"1"	"0"
"20581"	"4"	"22"	"5"	"2"	"380"	"5"	"117"	"101"	"11"	"3"	"9"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"7"	"3"	"0"	"258"	"258"	"1"	"0"
"20582"	"4"	"22"	"5"	"2"	"380"	"5"	"109"	"91"	"13"	"5"	"12"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"15"	"3"	"0"	"254"	"254"	"1"	"0"
"20583"	"4"	"22"	"5"	"2"	"380"	"7"	"114"	"107"	"8"	"6"	"15"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"7"	"6"	"0"	"277"	"277"	"1"	"0"
