"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"FCN_NACION"	"UNE"	"COCIDISH"	"VIVA"	"COCISA"	"CONVERGENCIA"	"PPT"	"VAMOS"	"UNIONISTA"	"PHG"	"BIEN"	"MLP"	"PC"	"VALOR"	"CREO"	"LIBRE"	"TODOS"	"SEMILLA"	"UCN"	"EG"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11514"	"4"	"12"	"2"	"2"	"400"	"2"	"39"	"23"	"8"	"29"	"4"	"1"	"70"	"0"	"2"	"25"	"1"	"29"	"1"	"2"	"3"	"1"	"61"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"12"	"0"	"0"	"315"	"315"	"1"	"0"
"11515"	"4"	"12"	"2"	"2"	"400"	"5"	"30"	"16"	"15"	"32"	"2"	"1"	"68"	"1"	"4"	"24"	"1"	"18"	"2"	"2"	"3"	"2"	"50"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"3"	"2"	"0"	"282"	"282"	"1"	"0"
"11516"	"4"	"12"	"2"	"2"	"400"	"3"	"25"	"10"	"12"	"18"	"0"	"1"	"86"	"1"	"1"	"20"	"2"	"15"	"0"	"2"	"3"	"0"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"7"	"1"	"0"	"251"	"251"	"1"	"0"
"11517"	"4"	"12"	"2"	"2"	"400"	"5"	"23"	"12"	"3"	"19"	"4"	"0"	"78"	"0"	"1"	"15"	"1"	"23"	"2"	"3"	"0"	"1"	"49"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"11"	"2"	"0"	"253"	"253"	"1"	"0"
"11518"	"4"	"12"	"2"	"2"	"400"	"4"	"35"	"10"	"13"	"28"	"1"	"2"	"81"	"0"	"4"	"24"	"2"	"21"	"0"	"1"	"3"	"5"	"59"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"9"	"0"	"0"	"303"	"303"	"1"	"0"
"11519"	"4"	"12"	"2"	"2"	"400"	"2"	"24"	"13"	"10"	"21"	"1"	"3"	"89"	"0"	"3"	"21"	"1"	"25"	"1"	"3"	"4"	"2"	"52"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"3"	"0"	"0"	"278"	"278"	"1"	"0"
"11520"	"4"	"12"	"2"	"2"	"400"	"3"	"38"	"12"	"9"	"3"	"4"	"2"	"61"	"1"	"2"	"19"	"4"	"18"	"1"	"5"	"3"	"3"	"66"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"255"	"70"	"10"	"0"	"290"	"335"	"0"	"0"
"11521"	"4"	"12"	"2"	"2"	"400"	"2"	"22"	"14"	"18"	"30"	"3"	"1"	"73"	"0"	"4"	"21"	"0"	"12"	"5"	"0"	"1"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"209"	"5"	"0"	"0"	"264"	"214"	"0"	"0"
"11522"	"4"	"12"	"2"	"2"	"400"	"1"	"24"	"10"	"8"	"27"	"2"	"2"	"64"	"1"	"5"	"13"	"4"	"18"	"2"	"7"	"7"	"1"	"76"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"7"	"4"	"11"	"283"	"283"	"1"	"0"
"11523"	"4"	"12"	"2"	"2"	"400"	"7"	"29"	"12"	"17"	"32"	"4"	"0"	"76"	"0"	"2"	"11"	"1"	"14"	"5"	"10"	"1"	"3"	"69"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"295"	"295"	"7"	"2"	"0"	"304"	"304"	"1"	"0"
"11524"	"4"	"12"	"2"	"2"	"400"	"6"	"30"	"16"	"7"	"29"	"3"	"3"	"70"	"0"	"2"	"16"	"1"	"23"	"1"	"2"	"1"	"2"	"52"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"266"	"7"	"3"	"0"	"281"	"276"	"0"	"0"
"11525"	"4"	"12"	"2"	"2"	"400"	"3"	"42"	"6"	"10"	"24"	"2"	"0"	"86"	"1"	"2"	"20"	"2"	"17"	"2"	"3"	"2"	"5"	"38"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"4"	"2"	"0"	"273"	"273"	"1"	"0"
"11526"	"4"	"12"	"2"	"2"	"400"	"5"	"33"	"16"	"18"	"27"	"1"	"1"	"73"	"1"	"0"	"16"	"2"	"24"	"5"	"2"	"3"	"0"	"39"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"11"	"3"	"0"	"280"	"280"	"1"	"0"
"11527"	"4"	"12"	"2"	"2"	"400"	"4"	"34"	"9"	"13"	"19"	"3"	"1"	"75"	"0"	"1"	"18"	"0"	"22"	"1"	"0"	"5"	"2"	"49"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"8"	"0"	"0"	"268"	"268"	"1"	"0"
"11528"	"4"	"12"	"2"	"2"	"400"	"4"	"34"	"15"	"11"	"16"	"5"	"2"	"64"	"0"	"4"	"15"	"0"	"16"	"3"	"3"	"8"	"2"	"31"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"7"	"3"	"0"	"244"	"244"	"1"	"0"
"11529"	"4"	"12"	"2"	"2"	"400"	"6"	"30"	"12"	"11"	"19"	"8"	"1"	"73"	"0"	"2"	"11"	"1"	"21"	"1"	"1"	"1"	"1"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"6"	"3"	"0"	"236"	"236"	"1"	"0"
"11530"	"4"	"12"	"2"	"2"	"400"	"3"	"24"	"21"	"10"	"15"	"3"	"1"	"79"	"0"	"1"	"20"	"5"	"21"	"3"	"1"	"1"	"1"	"44"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"5"	"0"	"0"	"260"	"260"	"1"	"0"
"11531"	"4"	"12"	"2"	"2"	"397"	"3"	"21"	"15"	"8"	"28"	"4"	"0"	"79"	"1"	"1"	"21"	"1"	"11"	"3"	"4"	"1"	"1"	"63"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"2"	"1"	"0"	"269"	"269"	"1"	"0"
"11532"	"4"	"12"	"2"	"2"	"396"	"4"	"24"	"8"	"13"	"23"	"5"	"2"	"97"	"1"	"4"	"23"	"1"	"16"	"4"	"4"	"3"	"1"	"59"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"5"	"0"	"0"	"299"	"299"	"1"	"0"
"11533"	"4"	"12"	"2"	"2"	"312"	"3"	"19"	"13"	"7"	"23"	"2"	"0"	"73"	"0"	"5"	"11"	"1"	"19"	"1"	"0"	"2"	"2"	"55"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"4"	"0"	"0"	"242"	"241"	"0"	"1"
"11534"	"4"	"12"	"2"	"2"	"312"	"2"	"16"	"5"	"10"	"14"	"4"	"0"	"68"	"1"	"2"	"11"	"1"	"10"	"0"	"1"	"1"	"2"	"21"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"5"	"3"	"0"	"178"	"178"	"1"	"0"
"11535"	"4"	"12"	"2"	"2"	"400"	"2"	"46"	"11"	"14"	"16"	"3"	"5"	"78"	"1"	"5"	"3"	"12"	"13"	"4"	"0"	"3"	"2"	"16"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"3"	"3"	"0"	"248"	"245"	"0"	"0"
"11536"	"4"	"12"	"2"	"2"	"400"	"9"	"44"	"10"	"11"	"20"	"2"	"1"	"82"	"1"	"3"	"6"	"9"	"11"	"1"	"5"	"3"	"2"	"15"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"11"	"4"	"0"	"258"	"258"	"1"	"0"
"11537"	"4"	"12"	"2"	"2"	"396"	"7"	"49"	"15"	"15"	"23"	"0"	"0"	"67"	"2"	"2"	"7"	"11"	"21"	"11"	"6"	"3"	"1"	"26"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"7"	"3"	"0"	"280"	"280"	"1"	"0"
"11538"	"4"	"12"	"2"	"2"	"400"	"5"	"42"	"9"	"9"	"10"	"3"	"0"	"87"	"1"	"7"	"3"	"11"	"13"	"5"	"2"	"4"	"3"	"25"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"4"	"0"	"257"	"257"	"1"	"0"
"11539"	"4"	"12"	"2"	"2"	"400"	"5"	"59"	"8"	"5"	"6"	"4"	"0"	"70"	"1"	"6"	"7"	"16"	"13"	"6"	"4"	"1"	"1"	"11"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"4"	"3"	"0"	"234"	"234"	"1"	"0"
"11540"	"4"	"12"	"2"	"2"	"400"	"1"	"60"	"7"	"8"	"11"	"7"	"1"	"83"	"1"	"5"	"4"	"5"	"11"	"8"	"4"	"1"	"0"	"11"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"10"	"1"	"0"	"244"	"244"	"1"	"0"
"11541"	"4"	"12"	"2"	"2"	"400"	"6"	"51"	"5"	"8"	"13"	"2"	"2"	"74"	"1"	"7"	"6"	"2"	"18"	"4"	"7"	"0"	"1"	"8"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"5"	"0"	"231"	"231"	"1"	"0"
"11542"	"4"	"12"	"2"	"2"	"274"	"1"	"24"	"3"	"8"	"15"	"0"	"0"	"45"	"0"	"1"	"4"	"10"	"11"	"2"	"0"	"1"	"1"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"0"	"0"	"0"	"135"	"135"	"1"	"0"
"11543"	"4"	"12"	"2"	"2"	"274"	"6"	"28"	"5"	"7"	"9"	"3"	"0"	"50"	"0"	"6"	"5"	"5"	"11"	"6"	"1"	"1"	"0"	"13"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"4"	"0"	"0"	"164"	"164"	"1"	"0"
"11544"	"4"	"12"	"2"	"2"	"400"	"16"	"31"	"12"	"6"	"16"	"3"	"2"	"86"	"0"	"3"	"2"	"2"	"6"	"2"	"0"	"3"	"4"	"7"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"203"	"203"	"22"	"4"	"0"	"229"	"229"	"1"	"0"
"11545"	"4"	"12"	"2"	"2"	"231"	"5"	"13"	"7"	"5"	"12"	"2"	"0"	"54"	"0"	"0"	"4"	"6"	"7"	"1"	"3"	"1"	"6"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"1"	"1"	"0"	"135"	"135"	"1"	"0"
"11546"	"4"	"12"	"2"	"2"	"231"	"4"	"19"	"9"	"1"	"12"	"0"	"1"	"52"	"0"	"4"	"2"	"0"	"12"	"2"	"0"	"2"	"3"	"9"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"131"	"134"	"8"	"1"	"0"	"140"	"143"	"0"	"0"
"11547"	"4"	"12"	"2"	"2"	"280"	"7"	"20"	"10"	"3"	"12"	"2"	"2"	"58"	"1"	"1"	"3"	"2"	"17"	"0"	"0"	"1"	"2"	"2"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"9"	"6"	"0"	"159"	"159"	"1"	"0"
"11548"	"4"	"12"	"2"	"2"	"380"	"5"	"25"	"17"	"2"	"8"	"2"	"2"	"53"	"0"	"1"	"2"	"1"	"19"	"1"	"1"	"0"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"15"	"9"	"0"	"167"	"167"	"1"	"0"
"11549"	"4"	"12"	"2"	"2"	"380"	"6"	"20"	"11"	"1"	"10"	"1"	"2"	"51"	"0"	"1"	"3"	"2"	"30"	"0"	"1"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"144"	"144"	"18"	"8"	"0"	"170"	"170"	"1"	"0"
"11550"	"4"	"12"	"2"	"2"	"378"	"7"	"37"	"3"	"5"	"13"	"1"	"0"	"35"	"0"	"2"	"10"	"3"	"29"	"1"	"1"	"0"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"15"	"17"	"0"	"185"	"185"	"1"	"0"
"11551"	"4"	"12"	"2"	"2"	"378"	"9"	"31"	"13"	"2"	"10"	"1"	"2"	"39"	"0"	"1"	"2"	"0"	"24"	"1"	"3"	"0"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"17"	"9"	"0"	"172"	"172"	"1"	"0"
"11552"	"4"	"12"	"2"	"2"	"380"	"2"	"26"	"22"	"0"	"9"	"0"	"3"	"33"	"1"	"0"	"3"	"1"	"25"	"0"	"1"	"0"	"0"	"5"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"134"	"134"	"13"	"3"	"0"	"150"	"150"	"1"	"0"
"11553"	"4"	"12"	"2"	"2"	"376"	"4"	"21"	"15"	"3"	"17"	"0"	"3"	"59"	"1"	"1"	"2"	"4"	"24"	"1"	"2"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"163"	"163"	"4"	"3"	"0"	"170"	"170"	"1"	"0"
"11554"	"4"	"12"	"2"	"2"	"275"	"2"	"19"	"10"	"0"	"10"	"0"	"1"	"35"	"1"	"1"	"4"	"1"	"19"	"0"	"0"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"107"	"107"	"7"	"2"	"0"	"116"	"116"	"1"	"0"
"11555"	"4"	"12"	"2"	"2"	"275"	"3"	"11"	"11"	"0"	"5"	"0"	"1"	"34"	"0"	"0"	"1"	"0"	"17"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"87"	"87"	"4"	"5"	"0"	"96"	"96"	"1"	"0"
