"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"WINAQ"	"VAMOS"	"UNIONISTA"	"PAN"	"CONVERGENCIA"	"UNIDOS"	"VICTORIA"	"VALOR"	"VIVA"	"FUERZA"	"UCN"	"EG"	"PHG"	"AVANZA"	"PC"	"CREO"	"MLP"	"BIEN"	"LIBRE"	"SEMILLA"	"PPT"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4687"	"3"	"2"	"1"	"2"	"400"	"6"	"17"	"9"	"26"	"27"	"5"	"0"	"3"	"6"	"13"	"12"	"4"	"2"	"4"	"11"	"1"	"11"	"17"	"8"	"3"	"8"	"46"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"28"	"7"	"0"	"275"	"275"	"1"	"0"
"4688"	"3"	"2"	"1"	"2"	"400"	"12"	"25"	"22"	"32"	"28"	"2"	"5"	"1"	"4"	"18"	"5"	"5"	"0"	"10"	"10"	"1"	"5"	"9"	"11"	"2"	"2"	"51"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"26"	"4"	"0"	"291"	"291"	"1"	"0"
"4689"	"3"	"2"	"1"	"2"	"400"	"12"	"10"	"36"	"31"	"19"	"5"	"4"	"3"	"3"	"24"	"12"	"3"	"3"	"6"	"15"	"0"	"7"	"12"	"10"	"1"	"7"	"68"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"292"	"292"	"24"	"2"	"0"	"318"	"318"	"1"	"0"
"4690"	"3"	"2"	"1"	"2"	"400"	"4"	"25"	"26"	"29"	"25"	"2"	"5"	"1"	"1"	"26"	"11"	"8"	"0"	"9"	"12"	"1"	"20"	"19"	"6"	"2"	"6"	"53"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"45"	"2"	"0"	"341"	"341"	"1"	"0"
"4691"	"3"	"2"	"1"	"2"	"236"	"4"	"16"	"10"	"18"	"17"	"2"	"3"	"2"	"3"	"8"	"11"	"7"	"0"	"6"	"18"	"0"	"7"	"5"	"3"	"0"	"7"	"34"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"23"	"6"	"0"	"210"	"210"	"1"	"0"
"4692"	"3"	"2"	"1"	"2"	"235"	"3"	"10"	"8"	"16"	"8"	"2"	"2"	"2"	"2"	"5"	"4"	"2"	"0"	"4"	"9"	"0"	"9"	"3"	"5"	"2"	"6"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"123"	"123"	"12"	"2"	"0"	"137"	"137"	"1"	"0"
"4693"	"3"	"2"	"1"	"2"	"400"	"20"	"17"	"19"	"24"	"14"	"8"	"6"	"2"	"3"	"11"	"12"	"11"	"0"	"4"	"9"	"3"	"14"	"6"	"3"	"3"	"29"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"38"	"19"	"0"	"298"	"298"	"1"	"0"
"4694"	"3"	"2"	"1"	"2"	"400"	"20"	"18"	"9"	"33"	"12"	"5"	"1"	"0"	"5"	"14"	"19"	"2"	"3"	"6"	"10"	"4"	"18"	"13"	"15"	"7"	"19"	"24"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"29"	"13"	"0"	"302"	"302"	"1"	"0"
"4695"	"3"	"2"	"1"	"2"	"400"	"21"	"15"	"7"	"24"	"14"	"11"	"2"	"2"	"4"	"14"	"19"	"10"	"2"	"5"	"11"	"3"	"13"	"20"	"12"	"2"	"24"	"25"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"31"	"5"	"0"	"300"	"300"	"1"	"0"
"4696"	"3"	"2"	"1"	"2"	"380"	"17"	"23"	"21"	"33"	"14"	"4"	"2"	"1"	"4"	"6"	"8"	"5"	"2"	"5"	"10"	"0"	"15"	"14"	"10"	"3"	"21"	"22"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"20"	"7"	"0"	"271"	"271"	"1"	"0"
"4697"	"3"	"2"	"1"	"2"	"400"	"22"	"23"	"11"	"16"	"15"	"14"	"5"	"3"	"7"	"19"	"15"	"3"	"2"	"3"	"7"	"1"	"16"	"8"	"12"	"2"	"21"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"29"	"12"	"0"	"288"	"288"	"1"	"0"
"4698"	"3"	"2"	"1"	"2"	"400"	"23"	"24"	"9"	"26"	"14"	"12"	"5"	"1"	"7"	"16"	"9"	"2"	"1"	"7"	"9"	"0"	"13"	"10"	"14"	"0"	"23"	"23"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"34"	"6"	"0"	"290"	"290"	"1"	"0"
"4699"	"3"	"2"	"1"	"2"	"499"	"21"	"19"	"12"	"21"	"18"	"12"	"2"	"2"	"3"	"23"	"15"	"7"	"0"	"6"	"8"	"3"	"11"	"18"	"7"	"2"	"17"	"18"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"32"	"16"	"0"	"297"	"297"	"1"	"0"
"4700"	"3"	"2"	"1"	"2"	"400"	"34"	"13"	"9"	"27"	"18"	"11"	"5"	"1"	"2"	"7"	"10"	"9"	"2"	"4"	"9"	"1"	"10"	"7"	"12"	"1"	"14"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"29"	"14"	"0"	"270"	"270"	"1"	"0"
"4701"	"3"	"2"	"1"	"2"	"275"	"16"	"10"	"7"	"14"	"13"	"3"	"0"	"0"	"4"	"18"	"4"	"8"	"3"	"4"	"5"	"0"	"6"	"7"	"10"	"1"	"8"	"14"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"23"	"7"	"30"	"188"	"188"	"1"	"0"
"4702"	"3"	"2"	"1"	"2"	"274"	"16"	"10"	"18"	"15"	"9"	"4"	"1"	"2"	"5"	"9"	"10"	"4"	"5"	"4"	"15"	"1"	"13"	"11"	"7"	"2"	"17"	"19"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"198"	"198"	"18"	"4"	"0"	"220"	"220"	"1"	"1"
"4703"	"3"	"2"	"1"	"2"	"377"	"5"	"19"	"12"	"34"	"26"	"7"	"4"	"0"	"6"	"12"	"15"	"3"	"1"	"9"	"8"	"2"	"8"	"9"	"11"	"3"	"3"	"56"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"29"	"4"	"0"	"286"	"286"	"1"	"0"
"4704"	"3"	"2"	"1"	"2"	"376"	"4"	"30"	"16"	"40"	"21"	"8"	"2"	"4"	"2"	"17"	"14"	"5"	"2"	"8"	"11"	"3"	"9"	"17"	"12"	"3"	"3"	"38"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"271"	"37"	"4"	"0"	"312"	"312"	"1"	"0"
"4705"	"3"	"2"	"1"	"2"	"400"	"34"	"15"	"10"	"27"	"18"	"9"	"2"	"0"	"6"	"11"	"11"	"4"	"2"	"6"	"7"	"2"	"2"	"8"	"5"	"2"	"17"	"21"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"44"	"10"	"0"	"277"	"277"	"1"	"0"
"4706"	"3"	"2"	"1"	"2"	"400"	"26"	"25"	"16"	"33"	"20"	"2"	"2"	"2"	"4"	"14"	"8"	"3"	"3"	"9"	"9"	"1"	"10"	"6"	"7"	"1"	"12"	"32"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"37"	"15"	"0"	"300"	"300"	"1"	"0"
"4707"	"3"	"2"	"1"	"2"	"400"	"14"	"25"	"4"	"43"	"13"	"10"	"4"	"2"	"5"	"9"	"16"	"3"	"2"	"7"	"6"	"1"	"12"	"12"	"4"	"1"	"13"	"41"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"44"	"7"	"0"	"299"	"299"	"1"	"0"
"4708"	"3"	"2"	"1"	"2"	"400"	"33"	"17"	"9"	"24"	"10"	"1"	"10"	"3"	"3"	"13"	"13"	"2"	"1"	"6"	"11"	"1"	"8"	"13"	"13"	"1"	"7"	"30"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"22"	"10"	"0"	"265"	"265"	"1"	"0"
"4709"	"3"	"2"	"1"	"2"	"400"	"25"	"23"	"18"	"32"	"19"	"5"	"4"	"0"	"5"	"12"	"14"	"1"	"3"	"6"	"8"	"3"	"8"	"9"	"8"	"2"	"13"	"33"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"28"	"18"	"0"	"299"	"299"	"1"	"0"
"4710"	"3"	"2"	"1"	"2"	"380"	"19"	"25"	"7"	"34"	"18"	"7"	"4"	"2"	"5"	"12"	"11"	"2"	"1"	"8"	"5"	"0"	"11"	"14"	"7"	"3"	"5"	"36"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"30"	"9"	"0"	"277"	"277"	"1"	"0"
"4711"	"3"	"2"	"1"	"2"	"400"	"35"	"33"	"6"	"28"	"17"	"6"	"1"	"1"	"4"	"12"	"15"	"7"	"4"	"5"	"7"	"1"	"8"	"8"	"3"	"2"	"10"	"21"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"29"	"20"	"0"	"283"	"283"	"1"	"0"
"4712"	"3"	"2"	"1"	"2"	"367"	"23"	"22"	"5"	"29"	"19"	"5"	"5"	"1"	"4"	"11"	"13"	"4"	"2"	"5"	"6"	"0"	"7"	"5"	"8"	"2"	"10"	"22"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"23"	"7"	"0"	"242"	"242"	"1"	"0"
"4713"	"3"	"2"	"1"	"2"	"366"	"29"	"23"	"15"	"21"	"19"	"9"	"1"	"0"	"5"	"18"	"10"	"5"	"5"	"2"	"9"	"1"	"12"	"17"	"3"	"2"	"12"	"27"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"20"	"4"	"0"	"272"	"272"	"1"	"0"
"4714"	"3"	"2"	"1"	"2"	"380"	"52"	"28"	"3"	"19"	"22"	"6"	"4"	"0"	"7"	"14"	"9"	"6"	"3"	"6"	"10"	"2"	"5"	"6"	"5"	"1"	"9"	"26"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"25"	"10"	"0"	"281"	"281"	"1"	"0"
"4715"	"3"	"2"	"1"	"2"	"377"	"57"	"27"	"5"	"14"	"13"	"8"	"6"	"1"	"4"	"17"	"13"	"3"	"2"	"9"	"6"	"1"	"4"	"7"	"12"	"11"	"15"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"37"	"8"	"0"	"285"	"285"	"1"	"0"
"4716"	"3"	"2"	"1"	"2"	"380"	"57"	"16"	"11"	"20"	"15"	"3"	"3"	"1"	"3"	"12"	"12"	"7"	"1"	"8"	"7"	"1"	"7"	"10"	"10"	"4"	"9"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"23"	"11"	"0"	"270"	"270"	"1"	"0"
"4717"	"3"	"2"	"1"	"2"	"380"	"78"	"23"	"6"	"15"	"17"	"6"	"3"	"2"	"5"	"17"	"15"	"2"	"3"	"6"	"4"	"0"	"7"	"13"	"9"	"3"	"14"	"12"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"28"	"10"	"0"	"300"	"300"	"1"	"0"
"4718"	"3"	"2"	"1"	"2"	"380"	"79"	"22"	"8"	"19"	"26"	"5"	"4"	"1"	"2"	"13"	"15"	"2"	"3"	"7"	"6"	"2"	"8"	"8"	"4"	"1"	"6"	"17"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"26"	"14"	"0"	"298"	"298"	"1"	"0"
"4719"	"3"	"2"	"1"	"2"	"380"	"78"	"25"	"6"	"18"	"12"	"7"	"1"	"1"	"5"	"7"	"10"	"2"	"1"	"6"	"8"	"1"	"3"	"7"	"10"	"2"	"16"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"23"	"6"	"0"	"273"	"273"	"1"	"0"
"4720"	"3"	"2"	"1"	"2"	"302"	"54"	"18"	"10"	"14"	"16"	"9"	"2"	"1"	"2"	"7"	"8"	"2"	"2"	"2"	"5"	"1"	"7"	"4"	"10"	"1"	"10"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"17"	"4"	"0"	"218"	"218"	"1"	"0"
"4721"	"3"	"2"	"1"	"2"	"302"	"50"	"25"	"8"	"9"	"14"	"2"	"1"	"0"	"1"	"9"	"18"	"2"	"0"	"1"	"7"	"0"	"5"	"8"	"7"	"2"	"8"	"21"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"15"	"9"	"0"	"224"	"224"	"1"	"0"
"4722"	"3"	"2"	"1"	"2"	"380"	"70"	"26"	"7"	"8"	"12"	"17"	"0"	"0"	"7"	"5"	"9"	"6"	"7"	"2"	"1"	"3"	"10"	"14"	"8"	"4"	"1"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"13"	"40"	"0"	"276"	"276"	"1"	"0"
"4723"	"3"	"2"	"1"	"2"	"380"	"56"	"40"	"4"	"5"	"9"	"10"	"3"	"1"	"7"	"5"	"5"	"11"	"5"	"3"	"5"	"1"	"9"	"21"	"6"	"2"	"8"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"15"	"44"	"0"	"282"	"282"	"1"	"0"
"4724"	"3"	"2"	"1"	"2"	"257"	"45"	"31"	"3"	"4"	"5"	"4"	"1"	"0"	"4"	"2"	"2"	"3"	"3"	"1"	"2"	"1"	"3"	"8"	"3"	"4"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"133"	"133"	"8"	"24"	"0"	"165"	"165"	"1"	"0"
"4725"	"3"	"2"	"1"	"2"	"257"	"47"	"17"	"6"	"5"	"8"	"4"	"0"	"2"	"6"	"2"	"5"	"1"	"0"	"1"	"4"	"1"	"8"	"15"	"4"	"4"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"146"	"146"	"12"	"17"	"0"	"175"	"175"	"1"	"0"
"4726"	"3"	"2"	"1"	"2"	"380"	"31"	"11"	"5"	"26"	"9"	"10"	"3"	"0"	"5"	"6"	"9"	"7"	"4"	"2"	"6"	"1"	"12"	"10"	"2"	"3"	"74"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"35"	"8"	"0"	"298"	"298"	"1"	"0"
"4727"	"3"	"2"	"1"	"2"	"379"	"26"	"14"	"11"	"19"	"7"	"14"	"2"	"1"	"2"	"13"	"20"	"8"	"4"	"2"	"9"	"0"	"4"	"7"	"6"	"3"	"53"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"28"	"10"	"0"	"276"	"276"	"1"	"0"
"4728"	"3"	"2"	"1"	"2"	"380"	"32"	"15"	"14"	"14"	"10"	"2"	"3"	"1"	"4"	"9"	"11"	"7"	"1"	"2"	"11"	"1"	"9"	"2"	"5"	"1"	"61"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"236"	"236"	"20"	"15"	"2"	"271"	"271"	"1"	"0"
"4729"	"3"	"2"	"1"	"2"	"380"	"36"	"20"	"7"	"23"	"6"	"6"	"0"	"2"	"3"	"5"	"8"	"10"	"4"	"3"	"7"	"1"	"0"	"7"	"6"	"3"	"57"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"30"	"11"	"0"	"268"	"268"	"1"	"0"
"4730"	"3"	"2"	"1"	"2"	"380"	"33"	"20"	"15"	"7"	"9"	"11"	"0"	"1"	"4"	"6"	"7"	"3"	"1"	"0"	"9"	"5"	"13"	"5"	"8"	"4"	"52"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"28"	"37"	"0"	"300"	"300"	"1"	"0"
"4731"	"3"	"2"	"1"	"2"	"380"	"27"	"11"	"13"	"13"	"10"	"6"	"2"	"0"	"4"	"10"	"12"	"8"	"2"	"3"	"6"	"3"	"13"	"4"	"5"	"6"	"51"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"30"	"12"	"0"	"274"	"274"	"1"	"0"
"4732"	"3"	"2"	"1"	"2"	"312"	"27"	"13"	"1"	"10"	"8"	"3"	"2"	"0"	"2"	"4"	"5"	"2"	"1"	"2"	"6"	"1"	"7"	"5"	"8"	"2"	"34"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"14"	"15"	"0"	"181"	"181"	"1"	"0"
"4733"	"3"	"2"	"1"	"2"	"312"	"23"	"18"	"8"	"14"	"8"	"5"	"0"	"4"	"1"	"8"	"8"	"5"	"0"	"3"	"9"	"0"	"11"	"6"	"8"	"3"	"47"	"16"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"14"	"3"	"0"	"224"	"224"	"1"	"0"
"4734"	"3"	"2"	"1"	"2"	"380"	"40"	"20"	"5"	"10"	"8"	"6"	"2"	"2"	"8"	"10"	"14"	"5"	"5"	"5"	"11"	"4"	"3"	"10"	"6"	"3"	"39"	"19"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"34"	"13"	"0"	"286"	"286"	"1"	"0"
"4735"	"3"	"2"	"1"	"2"	"380"	"29"	"26"	"6"	"10"	"9"	"12"	"3"	"1"	"4"	"6"	"16"	"2"	"4"	"8"	"13"	"2"	"3"	"17"	"5"	"3"	"30"	"22"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"32"	"12"	"0"	"278"	"278"	"1"	"0"
"4736"	"3"	"2"	"1"	"2"	"379"	"35"	"31"	"2"	"18"	"8"	"4"	"1"	"2"	"8"	"6"	"10"	"1"	"5"	"6"	"9"	"0"	"4"	"16"	"7"	"2"	"41"	"24"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"25"	"5"	"0"	"274"	"274"	"1"	"0"
"4737"	"3"	"2"	"1"	"2"	"380"	"27"	"18"	"5"	"11"	"8"	"6"	"3"	"1"	"5"	"6"	"6"	"5"	"2"	"13"	"10"	"0"	"9"	"12"	"8"	"5"	"40"	"26"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"23"	"10"	"0"	"268"	"268"	"1"	"0"
"4738"	"3"	"2"	"1"	"2"	"380"	"31"	"22"	"5"	"14"	"10"	"8"	"2"	"1"	"3"	"12"	"14"	"9"	"2"	"11"	"9"	"2"	"5"	"12"	"6"	"5"	"36"	"29"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"18"	"16"	"0"	"287"	"287"	"1"	"0"
"4739"	"3"	"2"	"1"	"2"	"380"	"36"	"24"	"8"	"11"	"9"	"5"	"0"	"0"	"3"	"9"	"20"	"3"	"1"	"11"	"11"	"0"	"6"	"16"	"6"	"2"	"41"	"26"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"29"	"13"	"0"	"295"	"295"	"1"	"0"
"4740"	"3"	"2"	"1"	"2"	"377"	"42"	"24"	"8"	"9"	"10"	"8"	"1"	"1"	"4"	"11"	"15"	"4"	"2"	"5"	"15"	"0"	"5"	"11"	"4"	"1"	"39"	"12"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"27"	"15"	"0"	"279"	"279"	"1"	"0"
"4741"	"3"	"2"	"1"	"2"	"380"	"37"	"19"	"4"	"11"	"5"	"4"	"2"	"3"	"4"	"7"	"10"	"4"	"3"	"2"	"12"	"0"	"10"	"9"	"4"	"2"	"44"	"12"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"211"	"211"	"24"	"19"	"0"	"254"	"254"	"1"	"0"
"4742"	"3"	"2"	"1"	"2"	"365"	"38"	"32"	"6"	"9"	"8"	"7"	"1"	"0"	"4"	"16"	"14"	"1"	"2"	"12"	"16"	"2"	"5"	"8"	"4"	"5"	"28"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"25"	"6"	"0"	"263"	"263"	"1"	"0"
"4743"	"3"	"2"	"1"	"2"	"364"	"33"	"26"	"17"	"12"	"9"	"7"	"3"	"1"	"4"	"12"	"10"	"1"	"4"	"2"	"12"	"4"	"15"	"12"	"6"	"3"	"27"	"20"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"16"	"4"	"0"	"264"	"264"	"1"	"0"
"4744"	"3"	"2"	"1"	"2"	"600"	"19"	"15"	"9"	"29"	"12"	"8"	"2"	"1"	"7"	"6"	"13"	"8"	"2"	"6"	"17"	"1"	"6"	"7"	"5"	"2"	"14"	"22"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"215"	"215"	"40"	"8"	"0"	"263"	"263"	"1"	"0"
"4745"	"3"	"2"	"1"	"2"	"597"	"19"	"14"	"7"	"26"	"13"	"3"	"4"	"3"	"7"	"18"	"13"	"3"	"5"	"5"	"7"	"1"	"5"	"8"	"7"	"4"	"22"	"28"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"40"	"12"	"0"	"276"	"276"	"1"	"0"
"4746"	"3"	"2"	"1"	"2"	"599"	"18"	"11"	"8"	"24"	"13"	"11"	"3"	"4"	"9"	"22"	"14"	"2"	"7"	"5"	"17"	"2"	"7"	"17"	"9"	"4"	"15"	"36"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"51"	"11"	"0"	"323"	"323"	"1"	"0"
"4747"	"3"	"2"	"1"	"2"	"600"	"20"	"21"	"9"	"28"	"18"	"14"	"2"	"0"	"6"	"18"	"7"	"4"	"2"	"11"	"8"	"2"	"3"	"13"	"3"	"3"	"22"	"45"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"65"	"13"	"0"	"338"	"338"	"1"	"0"
"4748"	"3"	"2"	"1"	"2"	"600"	"22"	"20"	"10"	"34"	"17"	"9"	"1"	"0"	"11"	"21"	"13"	"6"	"0"	"9"	"11"	"3"	"4"	"10"	"4"	"3"	"32"	"25"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"265"	"34"	"16"	"0"	"315"	"315"	"1"	"0"
"4749"	"3"	"2"	"1"	"2"	"600"	"19"	"12"	"3"	"31"	"17"	"8"	"1"	"1"	"1"	"12"	"9"	"6"	"1"	"5"	"10"	"2"	"5"	"9"	"6"	"1"	"18"	"19"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"33"	"10"	"0"	"242"	"242"	"1"	"0"
"4750"	"3"	"2"	"1"	"2"	"392"	"12"	"10"	"5"	"12"	"8"	"5"	"0"	"0"	"0"	"9"	"7"	"3"	"1"	"3"	"7"	"0"	"5"	"4"	"4"	"0"	"10"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"122"	"122"	"19"	"4"	"0"	"145"	"145"	"1"	"0"
"4751"	"3"	"2"	"1"	"2"	"391"	"3"	"5"	"2"	"4"	"3"	"2"	"1"	"1"	"0"	"4"	"2"	"0"	"0"	"2"	"0"	"1"	"2"	"1"	"0"	"1"	"6"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"54"	"54"	"7"	"1"	"0"	"62"	"62"	"1"	"0"
"4752"	"3"	"2"	"2"	"2"	"400"	"18"	"19"	"12"	"29"	"29"	"10"	"3"	"3"	"11"	"12"	"8"	"5"	"1"	"5"	"9"	"4"	"10"	"16"	"7"	"4"	"2"	"31"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"36"	"11"	"0"	"299"	"299"	"1"	"0"
"4753"	"3"	"2"	"2"	"2"	"400"	"9"	"24"	"12"	"48"	"34"	"11"	"3"	"2"	"11"	"17"	"5"	"5"	"5"	"6"	"14"	"0"	"7"	"16"	"4"	"6"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"34"	"14"	"0"	"307"	"307"	"1"	"0"
"4754"	"3"	"2"	"2"	"2"	"400"	"9"	"17"	"15"	"35"	"20"	"8"	"2"	"2"	"14"	"17"	"11"	"3"	"3"	"9"	"11"	"1"	"8"	"11"	"11"	"3"	"11"	"24"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"49"	"14"	"0"	"314"	"314"	"1"	"0"
"4755"	"3"	"2"	"2"	"2"	"400"	"14"	"20"	"11"	"48"	"48"	"10"	"1"	"3"	"10"	"11"	"7"	"5"	"2"	"6"	"9"	"2"	"14"	"15"	"7"	"6"	"3"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"50"	"13"	"0"	"337"	"337"	"1"	"0"
"4756"	"3"	"2"	"2"	"2"	"400"	"14"	"25"	"15"	"38"	"44"	"9"	"4"	"3"	"8"	"11"	"11"	"7"	"0"	"2"	"11"	"0"	"8"	"13"	"12"	"1"	"6"	"18"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"33"	"15"	"0"	"310"	"310"	"1"	"0"
"4757"	"3"	"2"	"2"	"2"	"400"	"14"	"14"	"11"	"53"	"45"	"11"	"5"	"1"	"15"	"13"	"17"	"1"	"6"	"2"	"14"	"0"	"3"	"14"	"11"	"3"	"3"	"29"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"288"	"36"	"9"	"0"	"333"	"333"	"1"	"0"
"4758"	"3"	"2"	"2"	"2"	"400"	"13"	"17"	"15"	"33"	"34"	"9"	"3"	"3"	"12"	"19"	"10"	"6"	"2"	"4"	"17"	"0"	"10"	"14"	"6"	"2"	"6"	"37"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"49"	"10"	"0"	"332"	"332"	"1"	"0"
"4759"	"3"	"2"	"2"	"2"	"400"	"20"	"24"	"14"	"41"	"29"	"7"	"4"	"2"	"19"	"10"	"10"	"7"	"3"	"6"	"7"	"0"	"8"	"13"	"2"	"4"	"8"	"25"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"38"	"12"	"0"	"316"	"316"	"1"	"0"
"4760"	"3"	"2"	"2"	"2"	"400"	"14"	"20"	"4"	"36"	"32"	"13"	"13"	"2"	"13"	"12"	"12"	"4"	"2"	"3"	"14"	"0"	"13"	"9"	"6"	"2"	"7"	"27"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"30"	"12"	"0"	"301"	"301"	"1"	"0"
"4761"	"3"	"2"	"2"	"2"	"400"	"12"	"17"	"15"	"38"	"36"	"6"	"2"	"3"	"13"	"10"	"12"	"3"	"1"	"5"	"17"	"1"	"5"	"14"	"12"	"5"	"4"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"49"	"14"	"0"	"319"	"319"	"1"	"0"
