"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"WINAQ"	"VAMOS"	"UNIONISTA"	"PAN"	"CONVERGENCIA"	"UNIDOS"	"VICTORIA"	"VALOR"	"VIVA"	"FUERZA"	"UCN"	"EG"	"PHG"	"AVANZA"	"PC"	"CREO"	"MLP"	"BIEN"	"LIBRE"	"SEMILLA"	"PPT"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4880"	"3"	"2"	"6"	"2"	"400"	"19"	"50"	"18"	"9"	"4"	"7"	"1"	"0"	"5"	"2"	"14"	"38"	"2"	"2"	"8"	"4"	"2"	"9"	"10"	"2"	"0"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"16"	"40"	"0"	"282"	"282"	"1"	"0"
"4881"	"3"	"2"	"6"	"2"	"400"	"20"	"21"	"22"	"7"	"0"	"7"	"2"	"0"	"4"	"2"	"12"	"47"	"0"	"3"	"5"	"4"	"0"	"9"	"13"	"3"	"3"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"29"	"27"	"0"	"256"	"256"	"1"	"0"
"4882"	"3"	"2"	"6"	"2"	"398"	"25"	"40"	"22"	"6"	"2"	"10"	"1"	"1"	"2"	"0"	"14"	"43"	"4"	"1"	"5"	"6"	"0"	"5"	"8"	"2"	"3"	"16"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"12"	"40"	"0"	"269"	"269"	"1"	"0"
"4883"	"3"	"2"	"6"	"2"	"400"	"20"	"48"	"22"	"8"	"1"	"3"	"5"	"0"	"2"	"4"	"10"	"55"	"1"	"2"	"5"	"6"	"1"	"4"	"13"	"1"	"2"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"21"	"35"	"0"	"285"	"285"	"1"	"0"
"4884"	"3"	"2"	"6"	"2"	"399"	"22"	"58"	"26"	"7"	"1"	"6"	"1"	"2"	"3"	"2"	"6"	"44"	"0"	"1"	"3"	"1"	"1"	"6"	"14"	"0"	"4"	"14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"18"	"23"	"0"	"263"	"263"	"1"	"0"
"4885"	"3"	"2"	"6"	"2"	"400"	"24"	"59"	"23"	"4"	"4"	"4"	"1"	"1"	"3"	"1"	"6"	"38"	"1"	"2"	"5"	"3"	"2"	"8"	"13"	"0"	"2"	"18"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"23"	"27"	"0"	"273"	"273"	"1"	"0"
"4886"	"3"	"2"	"6"	"2"	"400"	"14"	"40"	"39"	"6"	"3"	"5"	"3"	"1"	"3"	"4"	"7"	"33"	"0"	"1"	"9"	"5"	"2"	"10"	"14"	"1"	"2"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"220"	"23"	"16"	"0"	"259"	"259"	"0"	"0"
"4887"	"3"	"2"	"6"	"2"	"400"	"12"	"41"	"23"	"7"	"7"	"3"	"3"	"1"	"4"	"6"	"16"	"38"	"1"	"0"	"6"	"6"	"1"	"8"	"10"	"0"	"0"	"25"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"18"	"18"	"0"	"255"	"255"	"1"	"0"
"4888"	"3"	"2"	"6"	"2"	"401"	"22"	"59"	"23"	"3"	"2"	"4"	"1"	"3"	"6"	"6"	"17"	"37"	"1"	"2"	"7"	"2"	"1"	"8"	"8"	"1"	"2"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"20"	"16"	"0"	"265"	"265"	"1"	"0"
"4889"	"3"	"2"	"6"	"2"	"400"	"17"	"47"	"21"	"5"	"1"	"5"	"4"	"2"	"2"	"7"	"18"	"42"	"2"	"4"	"8"	"1"	"1"	"6"	"11"	"2"	"6"	"15"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"23"	"24"	"0"	"275"	"275"	"1"	"0"
"4890"	"3"	"2"	"6"	"2"	"400"	"26"	"50"	"20"	"8"	"7"	"9"	"2"	"2"	"3"	"4"	"10"	"38"	"2"	"4"	"13"	"1"	"4"	"10"	"11"	"2"	"0"	"4"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"245"	"16"	"19"	"0"	"281"	"280"	"0"	"0"
"4891"	"3"	"2"	"6"	"2"	"400"	"16"	"46"	"24"	"5"	"8"	"3"	"1"	"1"	"2"	"1"	"19"	"31"	"1"	"0"	"12"	"4"	"1"	"17"	"12"	"1"	"3"	"24"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"18"	"24"	"0"	"276"	"276"	"1"	"0"
"4892"	"3"	"2"	"6"	"2"	"400"	"20"	"59"	"18"	"6"	"5"	"6"	"0"	"1"	"3"	"6"	"13"	"31"	"1"	"1"	"3"	"6"	"1"	"9"	"11"	"2"	"5"	"22"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"231"	"231"	"12"	"21"	"0"	"264"	"264"	"1"	"0"
"4893"	"3"	"2"	"6"	"2"	"400"	"18"	"51"	"13"	"3"	"3"	"6"	"1"	"0"	"2"	"5"	"8"	"34"	"0"	"2"	"5"	"5"	"2"	"6"	"11"	"1"	"0"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"191"	"191"	"16"	"26"	"0"	"233"	"233"	"1"	"0"
"4894"	"3"	"2"	"6"	"2"	"400"	"10"	"40"	"22"	"2"	"4"	"3"	"1"	"0"	"1"	"6"	"12"	"30"	"0"	"4"	"12"	"3"	"0"	"13"	"9"	"1"	"1"	"11"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"22"	"18"	"0"	"228"	"228"	"1"	"0"
"4895"	"3"	"2"	"6"	"2"	"400"	"20"	"45"	"36"	"7"	"7"	"5"	"4"	"0"	"4"	"5"	"11"	"43"	"1"	"1"	"12"	"1"	"2"	"11"	"9"	"1"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"14"	"24"	"0"	"279"	"279"	"1"	"0"
"4896"	"3"	"2"	"6"	"2"	"386"	"17"	"48"	"36"	"11"	"6"	"14"	"2"	"0"	"2"	"2"	"11"	"37"	"2"	"0"	"14"	"2"	"5"	"5"	"7"	"2"	"5"	"18"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"20"	"12"	"0"	"278"	"278"	"1"	"0"
"4897"	"3"	"2"	"6"	"2"	"386"	"12"	"59"	"32"	"5"	"6"	"7"	"1"	"2"	"2"	"1"	"6"	"37"	"1"	"2"	"8"	"4"	"0"	"10"	"11"	"1"	"3"	"20"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"15"	"20"	"0"	"265"	"265"	"1"	"0"
"4898"	"3"	"2"	"6"	"2"	"380"	"34"	"34"	"13"	"1"	"4"	"12"	"4"	"0"	"10"	"3"	"2"	"40"	"2"	"1"	"4"	"7"	"1"	"5"	"3"	"0"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"192"	"192"	"16"	"11"	"0"	"219"	"219"	"1"	"0"
"4899"	"3"	"2"	"6"	"2"	"380"	"34"	"49"	"12"	"6"	"4"	"10"	"3"	"0"	"11"	"1"	"8"	"45"	"2"	"1"	"5"	"9"	"0"	"8"	"7"	"2"	"4"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"15"	"9"	"0"	"250"	"250"	"1"	"0"
