"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UCN"	"WINAQ"	"TODOS"	"FUERZA"	"UNE"	"MLP"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"13431"	"4"	"13"	"8"	"2"	"400"	"10"	"11"	"72"	"56"	"23"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"8"	"4"	"0"	"187"	"187"	"1"	"0"
"13432"	"4"	"13"	"8"	"2"	"400"	"9"	"8"	"59"	"67"	"33"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"8"	"6"	"0"	"192"	"192"	"1"	"0"
"13433"	"4"	"13"	"8"	"2"	"400"	"19"	"8"	"61"	"55"	"23"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"170"	"170"	"4"	"2"	"0"	"176"	"176"	"1"	"0"
"13434"	"4"	"13"	"8"	"2"	"400"	"10"	"12"	"46"	"57"	"32"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"157"	"157"	"7"	"7"	"0"	"171"	"171"	"1"	"0"
"13435"	"4"	"13"	"8"	"2"	"400"	"11"	"14"	"63"	"56"	"28"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"175"	"175"	"12"	"7"	"0"	"194"	"194"	"1"	"0"
"13436"	"4"	"13"	"8"	"2"	"400"	"15"	"11"	"54"	"68"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"2"	"7"	"0"	"182"	"182"	"1"	"0"
"13437"	"4"	"13"	"8"	"2"	"400"	"17"	"10"	"61"	"71"	"20"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"4"	"3"	"0"	"188"	"188"	"1"	"0"
"13438"	"4"	"13"	"8"	"2"	"400"	"13"	"9"	"46"	"61"	"29"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"158"	"158"	"4"	"4"	"0"	"166"	"166"	"1"	"0"
"13439"	"4"	"13"	"8"	"2"	"400"	"9"	"14"	"55"	"61"	"20"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"160"	"160"	"3"	"1"	"0"	"164"	"164"	"1"	"0"
"13440"	"4"	"13"	"8"	"2"	"400"	"14"	"26"	"66"	"93"	"24"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"1"	"1"	"0"	"226"	"226"	"1"	"0"
