"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UCN"	"CREO"	"TODOS"	"VICTORIA"	"UNE"	"WINAQ"	"PC"	"LIBRE"	"URNG_MAIZ"	"PODEMOS"	"PPT"	"CONVERGENCIA"	"FUERZA"	"MLP"	"VIVA"	"UNIONISTA"	"VALOR"	"SEMILLA"	"FCN_NACION"	"UNIDOS"	"BIEN"	"PHG"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"6342"	"4"	"5"	"1"	"2"	"0"	"28"	"8"	"35"	"21"	"59"	"45"	"1"	"8"	"4"	"8"	"1"	"4"	"1"	"1"	"2"	"7"	"0"	"1"	"5"	"14"	"0"	"16"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"277"	"277"	"12"	"1"	"0"	"290"	"290"	"1"	"0"
"6343"	"4"	"5"	"1"	"2"	"402"	"13"	"5"	"19"	"15"	"47"	"49"	"3"	"4"	"7"	"18"	"1"	"0"	"2"	"4"	"3"	"6"	"1"	"4"	"8"	"10"	"0"	"25"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"254"	"254"	"18"	"2"	"0"	"274"	"274"	"1"	"0"
"6344"	"4"	"5"	"1"	"2"	"400"	"12"	"3"	"22"	"23"	"58"	"47"	"1"	"1"	"7"	"10"	"1"	"1"	"0"	"0"	"3"	"10"	"0"	"0"	"3"	"18"	"0"	"25"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"12"	"4"	"0"	"266"	"266"	"1"	"0"
"6345"	"4"	"5"	"1"	"2"	"0"	"8"	"8"	"10"	"15"	"67"	"32"	"0"	"7"	"5"	"16"	"1"	"0"	"0"	"5"	"2"	"8"	"0"	"1"	"7"	"10"	"1"	"27"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"7"	"4"	"149"	"250"	"250"	"1"	"0"
"6346"	"4"	"5"	"1"	"2"	"0"	"14"	"11"	"15"	"13"	"72"	"28"	"3"	"5"	"6"	"9"	"1"	"0"	"0"	"4"	"1"	"6"	"0"	"4"	"7"	"15"	"0"	"15"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"10"	"1"	"0"	"244"	"244"	"1"	"0"
"6347"	"4"	"5"	"1"	"2"	"0"	"10"	"9"	"10"	"17"	"53"	"57"	"1"	"2"	"5"	"12"	"1"	"0"	"0"	"1"	"1"	"5"	"1"	"2"	"3"	"6"	"0"	"20"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"7"	"2"	"169"	"231"	"231"	"1"	"0"
"6348"	"4"	"5"	"1"	"2"	"400"	"10"	"1"	"17"	"14"	"57"	"42"	"0"	"3"	"7"	"2"	"4"	"2"	"0"	"3"	"2"	"5"	"0"	"1"	"4"	"12"	"0"	"18"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"213"	"213"	"8"	"3"	"184"	"224"	"224"	"1"	"0"
"6349"	"4"	"5"	"1"	"2"	"400"	"15"	"9"	"28"	"25"	"62"	"35"	"1"	"2"	"2"	"6"	"1"	"0"	"0"	"4"	"4"	"6"	"1"	"0"	"5"	"17"	"0"	"18"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"6"	"8"	"0"	"260"	"260"	"1"	"0"
"6350"	"4"	"5"	"1"	"2"	"0"	"13"	"9"	"23"	"17"	"50"	"31"	"3"	"2"	"6"	"10"	"2"	"0"	"0"	"5"	"0"	"4"	"2"	"1"	"7"	"21"	"0"	"25"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"8"	"1"	"0"	"249"	"249"	"1"	"0"
"6351"	"4"	"5"	"1"	"2"	"0"	"19"	"5"	"28"	"27"	"81"	"32"	"2"	"4"	"7"	"2"	"2"	"0"	"1"	"7"	"2"	"8"	"3"	"3"	"8"	"20"	"1"	"26"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"1"	"0"	"0"	"304"	"304"	"1"	"0"
"6352"	"4"	"5"	"1"	"2"	"0"	"13"	"6"	"17"	"8"	"37"	"19"	"1"	"4"	"4"	"2"	"5"	"1"	"1"	"5"	"3"	"4"	"0"	"0"	"2"	"10"	"0"	"12"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"3"	"0"	"0"	"164"	"164"	"1"	"0"
"6353"	"4"	"5"	"1"	"2"	"0"	"6"	"3"	"9"	"6"	"24"	"19"	"0"	"4"	"7"	"5"	"0"	"0"	"0"	"1"	"1"	"1"	"0"	"1"	"6"	"10"	"0"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"113"	"113"	"3"	"0"	"0"	"116"	"116"	"1"	"0"
"6354"	"4"	"5"	"1"	"2"	"402"	"8"	"2"	"17"	"6"	"66"	"34"	"0"	"3"	"8"	"6"	"3"	"1"	"2"	"3"	"2"	"3"	"1"	"3"	"11"	"11"	"2"	"21"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"9"	"4"	"0"	"248"	"248"	"1"	"0"
"6355"	"4"	"5"	"1"	"2"	"401"	"15"	"4"	"21"	"13"	"50"	"43"	"2"	"5"	"6"	"7"	"1"	"1"	"1"	"0"	"2"	"12"	"4"	"0"	"3"	"14"	"3"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"10"	"5"	"0"	"247"	"247"	"1"	"0"
"6356"	"4"	"5"	"1"	"2"	"380"	"14"	"7"	"21"	"10"	"54"	"50"	"1"	"4"	"3"	"3"	"2"	"0"	"0"	"3"	"2"	"3"	"2"	"4"	"2"	"9"	"0"	"16"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"210"	"16"	"3"	"0"	"243"	"229"	"0"	"0"
"6357"	"4"	"5"	"1"	"2"	"400"	"7"	"8"	"24"	"15"	"53"	"41"	"3"	"6"	"5"	"8"	"0"	"0"	"0"	"1"	"1"	"8"	"1"	"2"	"4"	"7"	"0"	"21"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"19"	"3"	"0"	"248"	"248"	"1"	"0"
"6358"	"4"	"5"	"1"	"2"	"400"	"18"	"16"	"18"	"12"	"54"	"44"	"0"	"2"	"4"	"4"	"0"	"0"	"0"	"1"	"1"	"4"	"1"	"2"	"6"	"9"	"0"	"24"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"226"	"18"	"6"	"0"	"251"	"250"	"0"	"0"
"6359"	"4"	"5"	"1"	"2"	"400"	"18"	"6"	"13"	"14"	"57"	"30"	"2"	"2"	"6"	"6"	"2"	"0"	"0"	"3"	"2"	"4"	"10"	"3"	"5"	"14"	"1"	"17"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"18"	"6"	"0"	"240"	"240"	"1"	"0"
"6360"	"4"	"5"	"1"	"2"	"400"	"14"	"6"	"26"	"12"	"61"	"47"	"5"	"3"	"3"	"5"	"1"	"0"	"1"	"7"	"2"	"5"	"2"	"2"	"7"	"14"	"2"	"12"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"0"	"6"	"16"	"250"	"250"	"1"	"0"
"6361"	"4"	"5"	"1"	"2"	"400"	"14"	"9"	"18"	"9"	"66"	"46"	"2"	"3"	"10"	"10"	"1"	"1"	"1"	"1"	"4"	"7"	"2"	"2"	"8"	"14"	"0"	"24"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"20"	"2"	"0"	"289"	"289"	"1"	"0"
"6362"	"4"	"5"	"1"	"2"	"403"	"11"	"13"	"17"	"10"	"62"	"37"	"2"	"2"	"3"	"3"	"4"	"0"	"4"	"4"	"4"	"9"	"0"	"3"	"9"	"15"	"1"	"18"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"13"	"4"	"0"	"254"	"254"	"1"	"0"
"6363"	"4"	"5"	"1"	"2"	"397"	"15"	"9"	"13"	"12"	"48"	"41"	"1"	"2"	"4"	"4"	"2"	"1"	"1"	"4"	"0"	"5"	"2"	"5"	"9"	"15"	"1"	"18"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"219"	"219"	"11"	"4"	"0"	"234"	"234"	"1"	"0"
"6364"	"4"	"5"	"1"	"2"	"401"	"18"	"11"	"17"	"20"	"54"	"45"	"0"	"0"	"3"	"4"	"1"	"0"	"0"	"1"	"2"	"10"	"1"	"2"	"4"	"9"	"1"	"17"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"228"	"6"	"0"	"0"	"239"	"234"	"0"	"0"
"6365"	"4"	"5"	"1"	"2"	"402"	"8"	"9"	"23"	"16"	"46"	"27"	"2"	"8"	"5"	"5"	"2"	"0"	"0"	"1"	"4"	"8"	"2"	"1"	"5"	"19"	"1"	"16"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"221"	"221"	"5"	"2"	"0"	"228"	"228"	"1"	"0"
"6366"	"4"	"5"	"1"	"2"	"400"	"15"	"4"	"12"	"11"	"40"	"34"	"2"	"2"	"6"	"2"	"1"	"2"	"1"	"1"	"4"	"4"	"2"	"2"	"9"	"16"	"1"	"20"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"40"	"3"	"0"	"239"	"239"	"1"	"0"
"6367"	"4"	"5"	"1"	"2"	"400"	"10"	"5"	"17"	"13"	"38"	"48"	"1"	"3"	"8"	"7"	"2"	"1"	"2"	"2"	"2"	"6"	"3"	"1"	"9"	"9"	"0"	"15"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"18"	"7"	"0"	"229"	"229"	"1"	"0"
"6368"	"4"	"5"	"1"	"2"	"400"	"11"	"7"	"24"	"17"	"44"	"45"	"0"	"1"	"5"	"3"	"2"	"1"	"0"	"4"	"1"	"6"	"6"	"0"	"13"	"0"	"0"	"22"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"221"	"18"	"5"	"0"	"256"	"244"	"0"	"0"
"6369"	"4"	"5"	"1"	"2"	"400"	"15"	"5"	"14"	"17"	"51"	"40"	"1"	"3"	"3"	"5"	"1"	"0"	"0"	"4"	"0"	"6"	"2"	"3"	"11"	"16"	"0"	"16"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"12"	"3"	"0"	"237"	"237"	"1"	"0"
"6370"	"4"	"5"	"1"	"2"	"400"	"14"	"7"	"18"	"15"	"51"	"41"	"3"	"3"	"8"	"7"	"1"	"4"	"3"	"2"	"13"	"2"	"4"	"5"	"12"	"3"	"0"	"15"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"12"	"2"	"0"	"251"	"251"	"1"	"0"
