"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"VIVA"	"UCN"	"VALOR"	"PHG"	"VAMOS"	"TODOS"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"15469"	"4"	"14"	"16"	"2"	"380"	"76"	"70"	"11"	"21"	"9"	"8"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"196"	"196"	"15"	"15"	"0"	"226"	"226"	"1"	"0"
"15470"	"4"	"14"	"16"	"2"	"380"	"66"	"84"	"10"	"30"	"3"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"19"	"15"	"0"	"234"	"234"	"1"	"0"
"15471"	"4"	"14"	"16"	"2"	"380"	"109"	"66"	"8"	"35"	"4"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"19"	"8"	"0"	"259"	"259"	"1"	"0"
"15472"	"4"	"14"	"16"	"2"	"380"	"81"	"50"	"4"	"43"	"6"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"190"	"190"	"13"	"7"	"0"	"210"	"210"	"1"	"0"
"15473"	"4"	"14"	"16"	"2"	"380"	"79"	"70"	"7"	"28"	"4"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"195"	"195"	"16"	"11"	"0"	"222"	"222"	"1"	"0"
"15474"	"4"	"14"	"16"	"2"	"347"	"74"	"42"	"3"	"27"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"10"	"8"	"0"	"171"	"171"	"1"	"0"
"15475"	"4"	"14"	"16"	"2"	"346"	"57"	"50"	"4"	"29"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"143"	"143"	"2"	"5"	"0"	"150"	"150"	"1"	"0"
"15476"	"4"	"14"	"16"	"2"	"380"	"71"	"16"	"3"	"45"	"14"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"154"	"154"	"10"	"7"	"0"	"171"	"171"	"1"	"0"
"15477"	"4"	"14"	"16"	"2"	"380"	"103"	"21"	"4"	"64"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"8"	"9"	"0"	"214"	"214"	"1"	"0"
"15478"	"4"	"14"	"16"	"2"	"380"	"81"	"9"	"3"	"50"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"151"	"151"	"13"	"11"	"0"	"151"	"175"	"0"	"0"
"15479"	"4"	"14"	"16"	"2"	"380"	"77"	"25"	"1"	"70"	"5"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"184"	"184"	"13"	"10"	"0"	"207"	"207"	"1"	"0"
