"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"WINAQ"	"FUERZA"	"VAMOS"	"VALOR"	"PPT"	"PC"	"TODOS"	"PHG"	"FDA"	"VIVA"	"URNG_MAIZ"	"PODEMOS"	"PAN"	"UNIONISTA"	"SEMILLA"	"BIEN"	"UCN"	"FCN_NACION"	"LIBRE"	"UNE"	"AVANZA"	"UNIDOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9163"	"4"	"9"	"1"	"2"	"400"	"17"	"18"	"11"	"13"	"32"	"1"	"18"	"1"	"39"	"12"	"19"	"1"	"8"	"12"	"2"	"5"	"4"	"14"	"2"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"20"	"1"	"0"	"258"	"258"	"1"	"0"
"9164"	"4"	"9"	"1"	"2"	"400"	"26"	"9"	"29"	"14"	"26"	"0"	"7"	"1"	"44"	"11"	"16"	"2"	"5"	"10"	"1"	"9"	"1"	"12"	"2"	"0"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"230"	"230"	"15"	"3"	"0"	"248"	"248"	"1"	"0"
"9165"	"4"	"9"	"1"	"2"	"398"	"26"	"15"	"20"	"16"	"33"	"0"	"12"	"1"	"32"	"8"	"19"	"3"	"5"	"12"	"1"	"15"	"1"	"8"	"1"	"5"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"11"	"1"	"0"	"249"	"249"	"1"	"0"
"9166"	"4"	"9"	"1"	"2"	"246"	"21"	"9"	"14"	"13"	"19"	"0"	"10"	"1"	"28"	"3"	"7"	"2"	"2"	"6"	"2"	"10"	"1"	"8"	"0"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"161"	"161"	"0"	"0"	"0"	"161"	"161"	"1"	"0"
"9167"	"4"	"9"	"1"	"2"	"245"	"11"	"8"	"12"	"7"	"19"	"0"	"7"	"0"	"25"	"7"	"4"	"0"	"1"	"4"	"1"	"13"	"1"	"10"	"1"	"2"	"0"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"3"	"0"	"0"	"138"	"138"	"1"	"0"
"9168"	"4"	"9"	"1"	"2"	"400"	"19"	"21"	"45"	"29"	"11"	"9"	"13"	"0"	"51"	"5"	"13"	"2"	"8"	"7"	"1"	"9"	"4"	"15"	"6"	"7"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"15"	"0"	"0"	"296"	"296"	"1"	"0"
"9169"	"4"	"9"	"1"	"2"	"396"	"23"	"20"	"35"	"19"	"19"	"8"	"9"	"2"	"60"	"11"	"11"	"6"	"5"	"8"	"1"	"22"	"4"	"12"	"4"	"1"	"2"	"7"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"291"	"291"	"15"	"4"	"0"	"310"	"310"	"1"	"0"
"9170"	"4"	"9"	"1"	"2"	"403"	"34"	"27"	"26"	"13"	"30"	"5"	"6"	"2"	"35"	"8"	"12"	"2"	"5"	"9"	"2"	"15"	"7"	"15"	"6"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"9"	"1"	"0"	"279"	"279"	"1"	"0"
"9171"	"4"	"9"	"1"	"2"	"400"	"21"	"19"	"43"	"14"	"30"	"3"	"8"	"1"	"54"	"7"	"14"	"3"	"6"	"5"	"0"	"17"	"5"	"10"	"3"	"6"	"2"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"11"	"0"	"0"	"287"	"287"	"1"	"0"
"9172"	"4"	"9"	"1"	"2"	"304"	"7"	"16"	"30"	"12"	"19"	"2"	"9"	"0"	"35"	"9"	"11"	"3"	"6"	"4"	"0"	"16"	"2"	"8"	"3"	"6"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"11"	"2"	"0"	"215"	"215"	"1"	"0"
