"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CREO"	"WINAQ"	"FUERZA"	"VAMOS"	"VALOR"	"PPT"	"PC"	"TODOS"	"PHG"	"FDA"	"VIVA"	"URNG_MAIZ"	"PODEMOS"	"PAN"	"UNIONISTA"	"SEMILLA"	"BIEN"	"UCN"	"FCN_NACION"	"LIBRE"	"UNE"	"AVANZA"	"UNIDOS"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"9089"	"4"	"9"	"1"	"2"	"400"	"27"	"14"	"35"	"11"	"20"	"7"	"11"	"1"	"60"	"7"	"21"	"5"	"7"	"6"	"5"	"10"	"1"	"12"	"1"	"5"	"4"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"10"	"0"	"0"	"285"	"285"	"1"	"0"
"9090"	"4"	"9"	"1"	"2"	"400"	"25"	"12"	"26"	"10"	"32"	"1"	"8"	"4"	"54"	"11"	"16"	"7"	"8"	"8"	"2"	"17"	"6"	"15"	"2"	"4"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"276"	"276"	"16"	"2"	"0"	"294"	"294"	"1"	"0"
"9091"	"4"	"9"	"1"	"2"	"0"	"24"	"18"	"33"	"11"	"32"	"3"	"12"	"4"	"52"	"6"	"17"	"7"	"15"	"11"	"1"	"20"	"13"	"12"	"1"	"2"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"13"	"0"	"0"	"317"	"317"	"1"	"0"
"9092"	"4"	"9"	"1"	"2"	"0"	"27"	"14"	"30"	"15"	"21"	"1"	"14"	"1"	"55"	"3"	"14"	"2"	"6"	"17"	"1"	"10"	"7"	"16"	"3"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"21"	"3"	"0"	"293"	"293"	"1"	"0"
"9093"	"4"	"9"	"1"	"2"	"400"	"18"	"15"	"40"	"13"	"29"	"0"	"10"	"1"	"66"	"5"	"12"	"0"	"8"	"16"	"0"	"11"	"4"	"5"	"6"	"4"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"266"	"15"	"0"	"0"	"280"	"281"	"0"	"0"
"9094"	"4"	"9"	"1"	"2"	"0"	"22"	"16"	"27"	"8"	"34"	"3"	"14"	"3"	"60"	"2"	"17"	"5"	"8"	"10"	"1"	"12"	"8"	"12"	"3"	"8"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"13"	"2"	"0"	"293"	"293"	"1"	"0"
"9095"	"4"	"9"	"1"	"2"	"0"	"23"	"20"	"23"	"11"	"29"	"4"	"12"	"3"	"61"	"5"	"14"	"0"	"5"	"13"	"2"	"11"	"9"	"10"	"2"	"3"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"6"	"1"	"0"	"273"	"273"	"1"	"0"
"9096"	"4"	"9"	"1"	"2"	"400"	"23"	"14"	"32"	"15"	"26"	"2"	"3"	"2"	"59"	"3"	"12"	"4"	"10"	"10"	"1"	"12"	"5"	"13"	"3"	"4"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"15"	"3"	"0"	"277"	"277"	"1"	"0"
"9097"	"4"	"9"	"1"	"2"	"0"	"21"	"19"	"25"	"9"	"24"	"3"	"11"	"3"	"42"	"9"	"15"	"3"	"9"	"12"	"3"	"8"	"7"	"9"	"0"	"11"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"249"	"10"	"5"	"0"	"268"	"264"	"0"	"0"
"9098"	"4"	"9"	"1"	"2"	"0"	"17"	"10"	"34"	"8"	"27"	"1"	"6"	"2"	"56"	"10"	"14"	"5"	"10"	"15"	"2"	"14"	"2"	"10"	"4"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"258"	"10"	"1"	"0"	"269"	"269"	"0"	"0"
"9099"	"4"	"9"	"1"	"2"	"400"	"17"	"11"	"22"	"15"	"34"	"2"	"9"	"5"	"51"	"2"	"10"	"2"	"8"	"7"	"4"	"13"	"2"	"8"	"1"	"5"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"17"	"0"	"0"	"250"	"250"	"1"	"0"
"9100"	"4"	"9"	"1"	"2"	"400"	"13"	"10"	"19"	"5"	"25"	"3"	"11"	"2"	"51"	"16"	"16"	"3"	"7"	"12"	"2"	"15"	"2"	"8"	"3"	"4"	"2"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"11"	"1"	"0"	"244"	"244"	"1"	"0"
"9101"	"4"	"9"	"1"	"2"	"0"	"14"	"15"	"24"	"4"	"27"	"1"	"4"	"4"	"53"	"8"	"13"	"5"	"8"	"12"	"2"	"13"	"5"	"8"	"4"	"2"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"14"	"0"	"0"	"247"	"247"	"1"	"0"
"9102"	"4"	"9"	"1"	"2"	"0"	"16"	"22"	"26"	"9"	"32"	"3"	"8"	"0"	"41"	"6"	"12"	"1"	"10"	"14"	"1"	"17"	"7"	"10"	"4"	"5"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"6"	"1"	"0"	"254"	"254"	"1"	"0"
"9103"	"4"	"9"	"1"	"2"	"401"	"15"	"19"	"18"	"9"	"28"	"6"	"10"	"4"	"53"	"4"	"14"	"2"	"16"	"11"	"4"	"14"	"5"	"13"	"0"	"8"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"7"	"2"	"0"	"265"	"265"	"1"	"0"
"9104"	"4"	"9"	"1"	"2"	"0"	"29"	"12"	"32"	"5"	"27"	"1"	"18"	"3"	"50"	"9"	"18"	"3"	"6"	"4"	"0"	"8"	"4"	"10"	"0"	"4"	"1"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"248"	"248"	"13"	"2"	"0"	"263"	"263"	"1"	"0"
"9105"	"4"	"9"	"1"	"2"	"0"	"24"	"13"	"25"	"11"	"40"	"2"	"16"	"2"	"49"	"11"	"15"	"5"	"8"	"9"	"1"	"9"	"8"	"14"	"4"	"9"	"0"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"15"	"1"	"0"	"297"	"297"	"1"	"0"
"9106"	"4"	"9"	"1"	"2"	"400"	"34"	"19"	"33"	"10"	"22"	"4"	"11"	"4"	"52"	"12"	"18"	"5"	"6"	"8"	"0"	"15"	"11"	"16"	"1"	"3"	"2"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"7"	"2"	"0"	"299"	"299"	"1"	"0"
"9107"	"4"	"9"	"1"	"2"	"400"	"32"	"11"	"26"	"8"	"28"	"3"	"15"	"5"	"78"	"10"	"12"	"5"	"15"	"8"	"0"	"10"	"5"	"11"	"2"	"3"	"0"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"290"	"290"	"8"	"1"	"0"	"299"	"299"	"1"	"0"
"9108"	"4"	"9"	"1"	"2"	"299"	"16"	"14"	"17"	"5"	"16"	"3"	"8"	"0"	"43"	"6"	"8"	"1"	"5"	"3"	"1"	"13"	"4"	"11"	"2"	"6"	"0"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"187"	"187"	"6"	"1"	"0"	"194"	"194"	"1"	"0"
"9109"	"4"	"9"	"1"	"2"	"299"	"12"	"11"	"19"	"1"	"17"	"4"	"11"	"2"	"38"	"3"	"3"	"1"	"7"	"5"	"6"	"6"	"4"	"8"	"2"	"4"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"7"	"0"	"0"	"175"	"175"	"1"	"0"
"9110"	"4"	"9"	"1"	"2"	"402"	"19"	"60"	"23"	"11"	"22"	"0"	"6"	"3"	"40"	"3"	"12"	"5"	"6"	"8"	"3"	"11"	"3"	"9"	"2"	"5"	"3"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"19"	"0"	"0"	"277"	"278"	"0"	"0"
"9111"	"4"	"9"	"1"	"2"	"365"	"34"	"25"	"21"	"12"	"21"	"0"	"7"	"1"	"47"	"6"	"2"	"3"	"1"	"8"	"1"	"9"	"2"	"7"	"3"	"7"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"221"	"16"	"4"	"0"	"247"	"241"	"0"	"1"
"9112"	"4"	"9"	"1"	"2"	"365"	"26"	"36"	"36"	"15"	"24"	"1"	"12"	"2"	"36"	"4"	"10"	"1"	"4"	"7"	"2"	"7"	"7"	"6"	"1"	"5"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"10"	"0"	"0"	"254"	"254"	"1"	"0"
"9113"	"4"	"9"	"1"	"2"	"0"	"18"	"14"	"20"	"17"	"22"	"6"	"14"	"1"	"51"	"3"	"12"	"2"	"6"	"8"	"1"	"7"	"2"	"15"	"6"	"1"	"7"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"9"	"2"	"1"	"248"	"248"	"1"	"0"
"9114"	"4"	"9"	"1"	"2"	"400"	"14"	"15"	"28"	"14"	"7"	"3"	"15"	"2"	"61"	"7"	"16"	"3"	"10"	"6"	"4"	"10"	"3"	"15"	"4"	"6"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"17"	"1"	"0"	"268"	"268"	"1"	"0"
"9115"	"4"	"9"	"1"	"2"	"400"	"12"	"9"	"23"	"20"	"16"	"2"	"16"	"1"	"48"	"5"	"18"	"7"	"7"	"12"	"1"	"13"	"1"	"20"	"4"	"5"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"11"	"2"	"0"	"259"	"259"	"1"	"0"
"9116"	"4"	"9"	"1"	"2"	"400"	"21"	"13"	"31"	"9"	"30"	"6"	"19"	"0"	"61"	"7"	"11"	"2"	"6"	"6"	"1"	"9"	"0"	"19"	"1"	"3"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"261"	"261"	"12"	"1"	"0"	"274"	"274"	"1"	"0"
"9117"	"4"	"9"	"1"	"2"	"400"	"20"	"13"	"35"	"11"	"26"	"2"	"18"	"3"	"41"	"6"	"15"	"6"	"8"	"6"	"0"	"4"	"6"	"22"	"7"	"3"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"11"	"1"	"1"	"269"	"268"	"0"	"0"
"9118"	"4"	"9"	"1"	"2"	"400"	"17"	"19"	"26"	"7"	"24"	"3"	"13"	"1"	"51"	"10"	"10"	"5"	"10"	"5"	"3"	"5"	"3"	"17"	"4"	"4"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"247"	"247"	"8"	"1"	"0"	"256"	"256"	"1"	"1"
"9119"	"4"	"9"	"1"	"2"	"403"	"20"	"13"	"22"	"13"	"24"	"3"	"13"	"4"	"53"	"7"	"11"	"3"	"4"	"13"	"0"	"4"	"0"	"18"	"1"	"4"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"11"	"2"	"0"	"252"	"252"	"1"	"0"
"9120"	"4"	"9"	"1"	"2"	"400"	"16"	"11"	"24"	"12"	"20"	"4"	"19"	"3"	"51"	"2"	"14"	"6"	"10"	"12"	"2"	"11"	"1"	"11"	"3"	"8"	"8"	"6"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"256"	"11"	"1"	"0"	"268"	"268"	"1"	"0"
"9121"	"4"	"9"	"1"	"2"	"401"	"22"	"10"	"24"	"12"	"19"	"0"	"23"	"0"	"46"	"10"	"19"	"3"	"8"	"9"	"2"	"12"	"3"	"15"	"0"	"6"	"4"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"18"	"4"	"0"	"275"	"275"	"1"	"0"
"9122"	"4"	"9"	"1"	"2"	"400"	"12"	"7"	"29"	"10"	"17"	"1"	"20"	"3"	"50"	"9"	"13"	"3"	"7"	"11"	"3"	"4"	"0"	"20"	"0"	"7"	"6"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"237"	"237"	"12"	"2"	"0"	"251"	"251"	"1"	"0"
"9123"	"4"	"9"	"1"	"2"	"401"	"14"	"9"	"19"	"10"	"24"	"1"	"17"	"2"	"50"	"2"	"10"	"3"	"8"	"6"	"1"	"5"	"0"	"8"	"0"	"3"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"7"	"4"	"0"	"213"	"213"	"1"	"0"
"9124"	"4"	"9"	"1"	"2"	"334"	"13"	"9"	"18"	"8"	"20"	"2"	"14"	"1"	"40"	"7"	"12"	"1"	"7"	"6"	"3"	"8"	"2"	"12"	"2"	"3"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"9"	"0"	"1"	"202"	"202"	"1"	"2"
"9125"	"4"	"9"	"1"	"2"	"334"	"23"	"10"	"12"	"11"	"19"	"2"	"20"	"3"	"42"	"5"	"13"	"2"	"8"	"5"	"1"	"9"	"5"	"17"	"0"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"7"	"1"	"0"	"220"	"220"	"1"	"0"
"9126"	"4"	"9"	"1"	"2"	"400"	"17"	"18"	"31"	"21"	"20"	"2"	"15"	"2"	"54"	"8"	"21"	"1"	"4"	"2"	"4"	"15"	"7"	"6"	"5"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"264"	"264"	"19"	"2"	"0"	"285"	"285"	"1"	"1"
"9127"	"4"	"9"	"1"	"2"	"400"	"29"	"15"	"32"	"17"	"22"	"3"	"10"	"2"	"38"	"8"	"11"	"5"	"10"	"12"	"1"	"17"	"2"	"13"	"3"	"3"	"3"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"259"	"259"	"17"	"3"	"0"	"279"	"279"	"1"	"0"
"9128"	"4"	"9"	"1"	"2"	"400"	"29"	"14"	"26"	"30"	"21"	"3"	"0"	"2"	"0"	"11"	"13"	"6"	"11"	"7"	"3"	"12"	"4"	"8"	"1"	"2"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"211"	"14"	"2"	"0"	"212"	"227"	"0"	"0"
"9129"	"4"	"9"	"1"	"2"	"400"	"28"	"13"	"32"	"23"	"36"	"2"	"20"	"1"	"42"	"10"	"7"	"4"	"8"	"15"	"4"	"13"	"3"	"8"	"1"	"9"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"15"	"2"	"0"	"300"	"300"	"1"	"0"
"9130"	"4"	"9"	"1"	"2"	"403"	"25"	"16"	"26"	"20"	"15"	"0"	"18"	"2"	"42"	"3"	"14"	"4"	"13"	"12"	"6"	"18"	"2"	"10"	"4"	"0"	"2"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"258"	"258"	"16"	"4"	"0"	"278"	"278"	"1"	"0"
"9131"	"4"	"9"	"1"	"2"	"400"	"20"	"8"	"32"	"18"	"32"	"2"	"17"	"4"	"15"	"4"	"24"	"5"	"4"	"14"	"4"	"28"	"5"	"13"	"0"	"2"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"258"	"16"	"3"	"0"	"307"	"277"	"0"	"0"
"9132"	"4"	"9"	"1"	"2"	"400"	"27"	"10"	"43"	"19"	"29"	"2"	"16"	"4"	"44"	"10"	"11"	"0"	"9"	"11"	"5"	"16"	"5"	"10"	"4"	"5"	"3"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"20"	"2"	"0"	"307"	"307"	"1"	"0"
"9133"	"4"	"9"	"1"	"2"	"400"	"18"	"11"	"35"	"22"	"28"	"0"	"18"	"1"	"48"	"7"	"11"	"2"	"8"	"11"	"0"	"24"	"4"	"8"	"7"	"10"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"289"	"275"	"0"	"2"	"112"	"291"	"277"	"0"	"0"
"9134"	"4"	"9"	"1"	"2"	"400"	"28"	"12"	"30"	"16"	"36"	"0"	"13"	"2"	"41"	"13"	"11"	"4"	"4"	"10"	"4"	"14"	"8"	"11"	"2"	"7"	"11"	"4"	"4"	"10"	"4"	"14"	"8"	"11"	"2"	"7"	"271"	"271"	"17"	"1"	"0"	"289"	"289"	"1"	"0"
"9135"	"4"	"9"	"1"	"2"	"400"	"33"	"5"	"25"	"19"	"26"	"1"	"22"	"3"	"37"	"12"	"12"	"7"	"9"	"18"	"4"	"15"	"2"	"11"	"2"	"4"	"1"	"4"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"13"	"3"	"0"	"289"	"289"	"1"	"0"
"9136"	"4"	"9"	"1"	"2"	"402"	"29"	"16"	"23"	"17"	"32"	"2"	"20"	"2"	"34"	"8"	"14"	"3"	"12"	"8"	"3"	"15"	"5"	"17"	"2"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"5"	"0"	"0"	"277"	"277"	"1"	"0"
"9137"	"4"	"9"	"1"	"2"	"400"	"38"	"10"	"30"	"12"	"27"	"0"	"12"	"0"	"64"	"11"	"16"	"3"	"12"	"8"	"0"	"11"	"1"	"11"	"0"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"15"	"1"	"0"	"288"	"288"	"1"	"0"
"9138"	"4"	"9"	"1"	"2"	"400"	"44"	"11"	"19"	"20"	"21"	"1"	"13"	"3"	"41"	"8"	"15"	"3"	"10"	"11"	"1"	"16"	"6"	"13"	"1"	"1"	"1"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"267"	"19"	"3"	"0"	"295"	"289"	"0"	"0"
"9139"	"4"	"9"	"1"	"2"	"400"	"31"	"12"	"30"	"17"	"25"	"0"	"17"	"4"	"31"	"15"	"20"	"2"	"12"	"4"	"2"	"15"	"5"	"14"	"1"	"3"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"13"	"2"	"0"	"277"	"277"	"1"	"0"
"9140"	"4"	"9"	"1"	"2"	"402"	"31"	"7"	"23"	"20"	"21"	"5"	"10"	"3"	"35"	"13"	"19"	"2"	"5"	"6"	"5"	"21"	"3"	"19"	"0"	"6"	"2"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"262"	"15"	"1"	"0"	"276"	"278"	"0"	"0"
"9141"	"4"	"9"	"1"	"2"	"400"	"27"	"14"	"32"	"23"	"33"	"2"	"11"	"3"	"41"	"6"	"10"	"2"	"8"	"9"	"5"	"19"	"10"	"8"	"1"	"7"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"275"	"275"	"14"	"2"	"0"	"291"	"291"	"1"	"0"
"9142"	"4"	"9"	"1"	"2"	"401"	"31"	"15"	"32"	"22"	"27"	"0"	"9"	"1"	"39"	"8"	"21"	"6"	"13"	"14"	"2"	"15"	"1"	"9"	"1"	"5"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"279"	"279"	"21"	"3"	"0"	"303"	"303"	"1"	"0"
"9143"	"4"	"9"	"1"	"2"	"399"	"33"	"16"	"29"	"15"	"19"	"2"	"11"	"1"	"41"	"6"	"18"	"6"	"15"	"11"	"1"	"17"	"4"	"8"	"3"	"7"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"15"	"3"	"0"	"288"	"288"	"1"	"0"
"9144"	"4"	"9"	"1"	"2"	"400"	"29"	"17"	"30"	"14"	"28"	"2"	"13"	"3"	"32"	"10"	"12"	"3"	"12"	"14"	"4"	"24"	"5"	"15"	"0"	"4"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"288"	"278"	"9"	"3"	"0"	"300"	"290"	"0"	"0"
"9145"	"4"	"9"	"1"	"2"	"400"	"28"	"11"	"36"	"14"	"36"	"1"	"21"	"3"	"40"	"9"	"12"	"1"	"6"	"23"	"1"	"13"	"7"	"13"	"3"	"6"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"16"	"1"	"0"	"303"	"303"	"1"	"0"
"9146"	"4"	"9"	"1"	"2"	"404"	"20"	"14"	"28"	"18"	"39"	"0"	"12"	"1"	"47"	"9"	"20"	"5"	"5"	"9"	"4"	"14"	"4"	"16"	"0"	"9"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"12"	"2"	"0"	"292"	"292"	"1"	"0"
"9147"	"4"	"9"	"1"	"2"	"398"	"27"	"7"	"31"	"24"	"32"	"1"	"10"	"0"	"43"	"5"	"19"	"3"	"11"	"10"	"5"	"14"	"3"	"8"	"2"	"7"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"12"	"1"	"0"	"281"	"281"	"1"	"0"
"9148"	"4"	"9"	"1"	"2"	"400"	"24"	"10"	"20"	"18"	"30"	"2"	"10"	"5"	"30"	"8"	"12"	"3"	"8"	"15"	"2"	"19"	"2"	"11"	"2"	"5"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"15"	"2"	"0"	"258"	"258"	"1"	"0"
"9149"	"4"	"9"	"1"	"2"	"399"	"24"	"15"	"18"	"15"	"41"	"3"	"16"	"7"	"34"	"8"	"13"	"2"	"10"	"3"	"0"	"21"	"3"	"11"	"3"	"7"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"257"	"12"	"3"	"0"	"278"	"272"	"0"	"0"
"9150"	"4"	"9"	"1"	"2"	"400"	"29"	"12"	"21"	"15"	"41"	"3"	"18"	"2"	"43"	"13"	"13"	"3"	"6"	"10"	"5"	"12"	"6"	"17"	"3"	"7"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"283"	"283"	"12"	"0"	"0"	"295"	"295"	"1"	"0"
"9151"	"4"	"9"	"1"	"2"	"277"	"18"	"16"	"13"	"11"	"33"	"0"	"12"	"4"	"28"	"6"	"16"	"2"	"10"	"7"	"3"	"11"	"6"	"12"	"1"	"1"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"5"	"2"	"0"	"221"	"221"	"1"	"0"
"9152"	"4"	"9"	"1"	"2"	"277"	"15"	"13"	"9"	"8"	"19"	"1"	"18"	"0"	"20"	"10"	"7"	"2"	"6"	"6"	"2"	"11"	"3"	"12"	"2"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"168"	"168"	"11"	"4"	"0"	"183"	"183"	"1"	"0"
"9153"	"4"	"9"	"1"	"2"	"400"	"25"	"16"	"22"	"10"	"22"	"0"	"16"	"1"	"50"	"16"	"12"	"5"	"11"	"16"	"5"	"19"	"0"	"12"	"0"	"6"	"3"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"13"	"0"	"0"	"285"	"285"	"1"	"0"
"9154"	"4"	"9"	"1"	"2"	"400"	"19"	"15"	"23"	"10"	"32"	"0"	"9"	"2"	"37"	"14"	"15"	"1"	"7"	"8"	"2"	"18"	"4"	"13"	"2"	"6"	"5"	"5"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"249"	"249"	"16"	"1"	"0"	"266"	"266"	"1"	"0"
"9155"	"4"	"9"	"1"	"2"	"400"	"26"	"13"	"23"	"12"	"28"	"3"	"14"	"1"	"49"	"13"	"17"	"3"	"6"	"9"	"1"	"7"	"1"	"20"	"5"	"5"	"6"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"22"	"2"	"0"	"292"	"292"	"1"	"0"
"9156"	"4"	"9"	"1"	"2"	"0"	"25"	"13"	"26"	"7"	"32"	"1"	"13"	"7"	"42"	"6"	"19"	"1"	"6"	"13"	"1"	"10"	"3"	"11"	"1"	"5"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"2"	"0"	"270"	"270"	"1"	"0"
"9157"	"4"	"9"	"1"	"2"	"400"	"22"	"17"	"20"	"11"	"22"	"2"	"11"	"1"	"58"	"12"	"21"	"3"	"6"	"6"	"6"	"10"	"1"	"12"	"4"	"2"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"260"	"260"	"16"	"3"	"0"	"279"	"279"	"1"	"0"
"9158"	"4"	"9"	"1"	"2"	"400"	"31"	"19"	"20"	"11"	"37"	"2"	"16"	"2"	"34"	"11"	"13"	"3"	"7"	"7"	"0"	"14"	"3"	"14"	"1"	"2"	"1"	"31"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"280"	"9"	"1"	"0"	"262"	"290"	"0"	"0"
"9159"	"4"	"9"	"1"	"2"	"400"	"24"	"18"	"21"	"7"	"33"	"0"	"18"	"2"	"45"	"15"	"19"	"1"	"10"	"12"	"5"	"8"	"0"	"15"	"2"	"4"	"6"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"13"	"2"	"0"	"284"	"284"	"1"	"0"
"9160"	"4"	"9"	"1"	"2"	"400"	"30"	"19"	"22"	"20"	"32"	"1"	"11"	"4"	"42"	"7"	"12"	"7"	"6"	"8"	"4"	"14"	"4"	"15"	"1"	"1"	"2"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"256"	"265"	"19"	"3"	"0"	"278"	"287"	"0"	"0"
"9161"	"4"	"9"	"1"	"2"	"0"	"33"	"6"	"18"	"8"	"36"	"0"	"16"	"0"	"35"	"9"	"17"	"4"	"5"	"11"	"5"	"16"	"3"	"23"	"3"	"8"	"3"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"267"	"267"	"11"	"2"	"0"	"280"	"280"	"1"	"0"
"9162"	"4"	"9"	"1"	"2"	"400"	"32"	"16"	"22"	"14"	"28"	"1"	"14"	"3"	"52"	"14"	"17"	"2"	"13"	"10"	"2"	"14"	"1"	"8"	"1"	"2"	"2"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"272"	"272"	"22"	"2"	"0"	"296"	"296"	"1"	"0"
