"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"PC"	"UNE"	"TODOS"	"VIVA"	"URNG_MAIZ"	"EG"	"CONVERGENCIA"	"VALOR"	"SEMILLA"	"FUERZA"	"UCN"	"BIEN"	"PODEMOS"	"PHG"	"FCN_NACION"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14505"	"4"	"14"	"1"	"2"	"400"	"25"	"73"	"44"	"7"	"18"	"3"	"2"	"5"	"11"	"3"	"2"	"3"	"6"	"3"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"16"	"12"	"0"	"238"	"238"	"1"	"0"
"14506"	"4"	"14"	"1"	"2"	"393"	"26"	"72"	"61"	"8"	"23"	"8"	"6"	"6"	"18"	"5"	"1"	"3"	"8"	"0"	"6"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"255"	"255"	"13"	"8"	"0"	"276"	"276"	"1"	"0"
"14507"	"4"	"14"	"1"	"2"	"400"	"22"	"44"	"69"	"11"	"34"	"4"	"5"	"11"	"24"	"12"	"5"	"7"	"5"	"0"	"7"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"24"	"113"	"0"	"287"	"400"	"0"	"0"
"14508"	"4"	"14"	"1"	"2"	"395"	"28"	"50"	"57"	"11"	"28"	"4"	"1"	"2"	"16"	"6"	"7"	"10"	"8"	"0"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"19"	"11"	"0"	"272"	"272"	"1"	"0"
"14509"	"4"	"14"	"1"	"2"	"396"	"21"	"48"	"48"	"4"	"13"	"5"	"1"	"3"	"18"	"8"	"6"	"3"	"3"	"1"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"188"	"188"	"8"	"4"	"0"	"200"	"200"	"1"	"0"
"14510"	"4"	"14"	"1"	"2"	"395"	"26"	"39"	"53"	"12"	"24"	"4"	"4"	"6"	"14"	"3"	"3"	"6"	"3"	"1"	"9"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"7"	"10"	"0"	"233"	"233"	"1"	"0"
"14511"	"4"	"14"	"1"	"2"	"400"	"39"	"50"	"48"	"11"	"21"	"9"	"1"	"5"	"13"	"5"	"4"	"9"	"5"	"0"	"4"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"232"	"232"	"13"	"7"	"0"	"252"	"252"	"1"	"0"
"14512"	"4"	"14"	"1"	"2"	"393"	"24"	"51"	"50"	"3"	"36"	"6"	"3"	"5"	"25"	"8"	"2"	"6"	"10"	"0"	"6"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"8"	"2"	"0"	"252"	"252"	"1"	"0"
"14513"	"4"	"14"	"1"	"2"	"396"	"32"	"45"	"65"	"8"	"32"	"4"	"8"	"1"	"24"	"6"	"1"	"5"	"5"	"0"	"3"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"11"	"5"	"0"	"260"	"260"	"1"	"0"
"14514"	"4"	"14"	"1"	"2"	"396"	"22"	"38"	"60"	"7"	"26"	"6"	"6"	"4"	"12"	"7"	"3"	"6"	"5"	"1"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"12"	"9"	"0"	"231"	"231"	"1"	"0"
"14515"	"4"	"14"	"1"	"2"	"397"	"16"	"47"	"56"	"9"	"29"	"0"	"3"	"7"	"9"	"8"	"0"	"2"	"5"	"0"	"3"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"201"	"201"	"16"	"11"	"6"	"228"	"228"	"1"	"0"
"14516"	"4"	"14"	"1"	"2"	"400"	"29"	"42"	"29"	"8"	"22"	"5"	"3"	"2"	"18"	"8"	"2"	"2"	"3"	"2"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"181"	"181"	"6"	"11"	"0"	"198"	"198"	"1"	"0"
"14517"	"4"	"14"	"1"	"2"	"396"	"24"	"47"	"51"	"9"	"17"	"3"	"3"	"4"	"21"	"7"	"1"	"5"	"7"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"205"	"7"	"4"	"0"	"221"	"216"	"0"	"0"
"14518"	"4"	"14"	"1"	"2"	"400"	"20"	"37"	"46"	"8"	"42"	"7"	"0"	"5"	"23"	"8"	"3"	"3"	"5"	"2"	"3"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"218"	"7"	"1"	"164"	"236"	"226"	"0"	"0"
"14519"	"4"	"14"	"1"	"2"	"0"	"14"	"25"	"60"	"1"	"22"	"3"	"3"	"1"	"22"	"3"	"1"	"1"	"3"	"2"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"169"	"169"	"2"	"1"	"0"	"172"	"172"	"1"	"0"
"14520"	"4"	"14"	"1"	"2"	"265"	"18"	"29"	"36"	"0"	"19"	"6"	"0"	"2"	"15"	"3"	"6"	"4"	"2"	"0"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"145"	"145"	"8"	"5"	"13"	"158"	"158"	"1"	"0"
