"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"PC"	"UNE"	"TODOS"	"VIVA"	"URNG_MAIZ"	"EG"	"CONVERGENCIA"	"VALOR"	"SEMILLA"	"FUERZA"	"UCN"	"BIEN"	"PODEMOS"	"PHG"	"FCN_NACION"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14521"	"4"	"14"	"1"	"2"	"400"	"20"	"57"	"73"	"2"	"19"	"5"	"5"	"5"	"13"	"5"	"1"	"2"	"1"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"13"	"8"	"0"	"237"	"237"	"1"	"0"
"14522"	"4"	"14"	"1"	"2"	"400"	"17"	"47"	"70"	"6"	"28"	"4"	"5"	"6"	"20"	"11"	"5"	"4"	"5"	"1"	"7"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"15"	"13"	"0"	"268"	"268"	"1"	"0"
"14523"	"4"	"14"	"1"	"2"	"400"	"24"	"58"	"72"	"2"	"20"	"2"	"5"	"5"	"25"	"8"	"3"	"7"	"6"	"1"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"12"	"14"	"0"	"273"	"272"	"0"	"1"
"14524"	"4"	"14"	"1"	"2"	"400"	"23"	"29"	"124"	"2"	"19"	"11"	"1"	"2"	"21"	"9"	"4"	"4"	"1"	"0"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"257"	"257"	"17"	"11"	"0"	"285"	"285"	"1"	"0"
"14525"	"4"	"14"	"1"	"1"	"396"	"14"	"54"	"76"	"9"	"30"	"10"	"4"	"8"	"22"	"7"	"4"	"5"	"10"	"0"	"5"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"263"	"263"	"20"	"11"	"0"	"294"	"294"	"1"	"1"
"14526"	"4"	"14"	"1"	"2"	"396"	"20"	"54"	"73"	"5"	"17"	"6"	"3"	"6"	"21"	"10"	"1"	"6"	"6"	"1"	"9"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"18"	"12"	"0"	"271"	"271"	"1"	"0"
"14527"	"4"	"14"	"1"	"2"	"400"	"14"	"64"	"99"	"4"	"6"	"8"	"1"	"5"	"7"	"3"	"6"	"6"	"5"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"179"	"236"	"17"	"23"	"0"	"219"	"276"	"0"	"0"
"14528"	"4"	"14"	"1"	"2"	"401"	"20"	"53"	"95"	"1"	"34"	"7"	"8"	"10"	"18"	"11"	"4"	"5"	"6"	"1"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"12"	"13"	"96"	"305"	"306"	"0"	"0"
"14529"	"4"	"14"	"1"	"2"	"400"	"30"	"63"	"74"	"1"	"24"	"10"	"5"	"10"	"14"	"4"	"6"	"7"	"7"	"2"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"265"	"264"	"17"	"8"	"0"	"290"	"289"	"0"	"1"
"14530"	"4"	"14"	"1"	"2"	"400"	"24"	"53"	"107"	"5"	"30"	"4"	"1"	"2"	"13"	"9"	"4"	"1"	"18"	"0"	"8"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"15"	"9"	"0"	"305"	"305"	"1"	"0"
