"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"TODOS"	"EG"	"WINAQ"	"URNG_MAIZ"	"FUERZA"	"FCN_NACION"	"MLP"	"PHG"	"VALOR"	"PODEMOS"	"UNE"	"UNIDOS"	"CREO"	"VIVA"	"SEMILLA"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"PPT"	"BIEN"	"PC"	"UCN"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11006"	"3"	"11"	"1"	"2"	"400"	"8"	"8"	"3"	"7"	"1"	"5"	"2"	"4"	"11"	"63"	"6"	"28"	"1"	"5"	"5"	"15"	"3"	"8"	"0"	"3"	"18"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"26"	"13"	"0"	"246"	"246"	"1"	"0"
"11007"	"3"	"11"	"1"	"2"	"400"	"4"	"13"	"8"	"6"	"5"	"4"	"3"	"6"	"5"	"53"	"5"	"31"	"1"	"10"	"2"	"11"	"0"	"8"	"0"	"2"	"21"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"19"	"7"	"1"	"225"	"225"	"1"	"0"
"11008"	"3"	"11"	"1"	"2"	"400"	"10"	"6"	"6"	"3"	"1"	"8"	"1"	"10"	"5"	"56"	"5"	"25"	"3"	"3"	"4"	"8"	"4"	"9"	"0"	"2"	"22"	"1"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"197"	"197"	"19"	"7"	"0"	"223"	"223"	"1"	"0"
"11009"	"3"	"11"	"1"	"2"	"400"	"14"	"11"	"8"	"5"	"4"	"7"	"2"	"4"	"9"	"47"	"9"	"20"	"0"	"11"	"0"	"9"	"0"	"12"	"1"	"0"	"22"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"24"	"6"	"1"	"232"	"232"	"1"	"1"
"11010"	"3"	"11"	"1"	"2"	"400"	"11"	"11"	"7"	"8"	"3"	"10"	"1"	"7"	"17"	"77"	"7"	"18"	"1"	"3"	"3"	"13"	"1"	"8"	"0"	"2"	"37"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"16"	"3"	"0"	"272"	"272"	"1"	"0"
"11011"	"3"	"11"	"1"	"2"	"399"	"13"	"8"	"10"	"6"	"2"	"4"	"5"	"7"	"11"	"62"	"6"	"20"	"2"	"7"	"1"	"9"	"3"	"9"	"0"	"6"	"31"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"225"	"225"	"10"	"4"	"0"	"239"	"239"	"1"	"0"
"11012"	"3"	"11"	"1"	"2"	"400"	"15"	"13"	"14"	"7"	"6"	"7"	"4"	"5"	"18"	"83"	"11"	"16"	"2"	"12"	"1"	"14"	"2"	"9"	"2"	"5"	"22"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"278"	"278"	"18"	"0"	"4"	"296"	"296"	"1"	"0"
"11013"	"3"	"11"	"1"	"2"	"400"	"12"	"11"	"13"	"5"	"1"	"11"	"2"	"6"	"13"	"86"	"11"	"20"	"1"	"7"	"2"	"12"	"2"	"8"	"2"	"3"	"33"	"3"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"17"	"7"	"0"	"292"	"292"	"1"	"0"
"11014"	"3"	"11"	"1"	"2"	"400"	"13"	"8"	"12"	"6"	"1"	"11"	"4"	"11"	"15"	"94"	"14"	"21"	"1"	"5"	"3"	"8"	"3"	"7"	"1"	"4"	"34"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"10"	"3"	"0"	"298"	"298"	"1"	"0"
"11015"	"3"	"11"	"1"	"2"	"255"	"3"	"7"	"3"	"4"	"3"	"5"	"4"	"4"	"7"	"35"	"8"	"10"	"0"	"7"	"2"	"3"	"0"	"6"	"1"	"0"	"14"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"130"	"130"	"8"	"3"	"0"	"141"	"141"	"1"	"0"
"11016"	"3"	"11"	"1"	"2"	"254"	"8"	"1"	"2"	"2"	"1"	"3"	"2"	"6"	"9"	"33"	"2"	"15"	"0"	"5"	"1"	"6"	"0"	"4"	"0"	"0"	"19"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"120"	"120"	"13"	"3"	"0"	"136"	"136"	"1"	"0"
"11017"	"3"	"11"	"1"	"2"	"400"	"11"	"6"	"4"	"2"	"8"	"9"	"2"	"6"	"13"	"60"	"3"	"37"	"0"	"2"	"2"	"6"	"1"	"8"	"2"	"0"	"42"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"226"	"226"	"20"	"10"	"0"	"256"	"256"	"1"	"0"
"11018"	"3"	"11"	"1"	"2"	"400"	"10"	"15"	"5"	"5"	"3"	"7"	"5"	"10"	"9"	"69"	"3"	"17"	"0"	"7"	"4"	"13"	"5"	"3"	"0"	"2"	"25"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"34"	"10"	"0"	"267"	"267"	"1"	"0"
"11019"	"3"	"11"	"1"	"2"	"400"	"14"	"15"	"4"	"3"	"4"	"12"	"1"	"8"	"15"	"70"	"4"	"24"	"0"	"4"	"4"	"9"	"1"	"4"	"0"	"0"	"26"	"5"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"234"	"234"	"20"	"6"	"0"	"260"	"260"	"1"	"0"
"11020"	"3"	"11"	"1"	"2"	"400"	"14"	"13"	"3"	"6"	"8"	"9"	"3"	"10"	"12"	"61"	"3"	"28"	"2"	"4"	"3"	"15"	"1"	"8"	"0"	"1"	"32"	"2"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"244"	"244"	"23"	"7"	"0"	"274"	"274"	"1"	"0"
"11021"	"3"	"11"	"1"	"2"	"400"	"6"	"16"	"4"	"2"	"9"	"13"	"4"	"5"	"11"	"59"	"5"	"18"	"1"	"11"	"3"	"13"	"2"	"8"	"0"	"3"	"29"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"31"	"8"	"0"	"266"	"266"	"1"	"0"
"11022"	"3"	"11"	"1"	"2"	"400"	"7"	"12"	"5"	"10"	"5"	"10"	"4"	"9"	"10"	"68"	"4"	"28"	"2"	"7"	"1"	"11"	"1"	"7"	"0"	"0"	"43"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"253"	"253"	"30"	"5"	"0"	"288"	"288"	"1"	"0"
