"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PC"	"UNE"	"FUERZA"	"SEMILLA"	"PODEMOS"	"FCN_NACION"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"14693"	"4"	"14"	"4"	"2"	"380"	"175"	"79"	"38"	"6"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"300"	"300"	"5"	"1"	"0"	"306"	"306"	"1"	"0"
"14694"	"4"	"14"	"4"	"2"	"380"	"74"	"103"	"70"	"17"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"269"	"269"	"3"	"1"	"0"	"273"	"273"	"1"	"0"
"14695"	"4"	"14"	"4"	"2"	"356"	"81"	"88"	"53"	"13"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"0"	"0"	"0"	"240"	"240"	"1"	"0"
"14696"	"4"	"14"	"4"	"2"	"355"	"101"	"99"	"53"	"16"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"273"	"273"	"1"	"0"	"1"	"274"	"274"	"1"	"0"
"14697"	"4"	"14"	"4"	"2"	"380"	"96"	"133"	"19"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"7"	"3"	"0"	"262"	"262"	"1"	"0"
"14698"	"4"	"14"	"4"	"2"	"380"	"250"	"43"	"11"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"304"	"304"	"4"	"2"	"0"	"310"	"310"	"1"	"0"
"14699"	"4"	"14"	"4"	"2"	"380"	"181"	"61"	"22"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"268"	"268"	"5"	"8"	"0"	"281"	"281"	"1"	"0"
"14700"	"4"	"14"	"4"	"2"	"232"	"86"	"56"	"6"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"152"	"152"	"3"	"2"	"0"	"157"	"157"	"1"	"0"
"14701"	"4"	"14"	"4"	"2"	"231"	"129"	"42"	"10"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"185"	"185"	"0"	"4"	"0"	"189"	"189"	"1"	"0"
"14702"	"4"	"14"	"4"	"2"	"406"	"6"	"17"	"28"	"10"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"63"	"63"	"3"	"3"	"0"	"69"	"69"	"1"	"0"
