"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"CONVERGENCIA"	"VAMOS"	"FUERZA"	"BIEN"	"PC"	"PHG"	"C_C_I_H_"	"PODEMOS"	"AVANZA"	"UCN"	"VALOR"	"MLP"	"TODOS"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"5847"	"4"	"3"	"13"	"2"	"400"	"9"	"20"	"4"	"59"	"41"	"13"	"76"	"23"	"31"	"11"	"8"	"5"	"9"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"3"	"2"	"0"	"314"	"314"	"1"	"0"
"5848"	"4"	"3"	"13"	"2"	"400"	"10"	"12"	"1"	"36"	"56"	"15"	"96"	"15"	"26"	"12"	"5"	"6"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"5"	"0"	"0"	"308"	"308"	"1"	"0"
"5849"	"4"	"3"	"13"	"2"	"229"	"1"	"10"	"1"	"18"	"35"	"10"	"62"	"4"	"10"	"3"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"5"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"166"	"166"	"2"	"2"	"0"	"170"	"170"	"1"	"0"
"5850"	"4"	"3"	"13"	"2"	"228"	"6"	"8"	"5"	"18"	"28"	"4"	"40"	"8"	"7"	"2"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3"	"2"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"135"	"135"	"2"	"5"	"0"	"142"	"142"	"1"	"0"
"5851"	"4"	"3"	"13"	"2"	"280"	"4"	"12"	"1"	"16"	"73"	"0"	"58"	"4"	"1"	"4"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"12"	"5"	"0"	"197"	"197"	"1"	"0"
"5852"	"4"	"3"	"13"	"2"	"280"	"2"	"5"	"1"	"10"	"54"	"1"	"71"	"8"	"3"	"3"	"0"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"162"	"162"	"10"	"3"	"0"	"175"	"175"	"1"	"0"
"5853"	"4"	"3"	"13"	"2"	"315"	"2"	"51"	"3"	"45"	"20"	"2"	"20"	"3"	"10"	"10"	"1"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"173"	"173"	"11"	"12"	"0"	"196"	"196"	"1"	"0"
"5854"	"4"	"3"	"13"	"2"	"315"	"1"	"47"	"1"	"58"	"25"	"0"	"11"	"5"	"22"	"9"	"0"	"2"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"193"	"193"	"10"	"9"	"0"	"212"	"212"	"1"	"0"
"5855"	"4"	"3"	"13"	"2"	"578"	"7"	"10"	"4"	"17"	"20"	"10"	"87"	"17"	"12"	"6"	"4"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"4"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"6"	"1"	"0"	"209"	"209"	"1"	"0"
"5856"	"4"	"3"	"13"	"2"	"580"	"8"	"7"	"1"	"16"	"28"	"11"	"58"	"11"	"15"	"3"	"5"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"5"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"167"	"167"	"12"	"6"	"0"	"185"	"185"	"1"	"0"
