"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"VAMOS"	"UNE"	"VALOR"	"UCN"	"FCN_NACION"	"CREO"	"SEMILLA"	"CCP"	"PC"	"EG"	"VICTORIA"	"LIBRE"	"BIEN"	"MLP"	"TODOS"	"FUERZA"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18368"	"4"	"18"	"1"	"2"	"381"	"16"	"15"	"5"	"9"	"2"	"1"	"46"	"1"	"118"	"3"	"1"	"6"	"7"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"235"	"235"	"16"	"3"	"0"	"254"	"254"	"1"	"2"
"18369"	"4"	"18"	"1"	"2"	"380"	"13"	"20"	"7"	"12"	"1"	"1"	"47"	"2"	"123"	"5"	"2"	"0"	"7"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"12"	"4"	"0"	"258"	"258"	"1"	"0"
"18370"	"4"	"18"	"1"	"2"	"377"	"12"	"18"	"11"	"13"	"2"	"4"	"31"	"3"	"112"	"3"	"0"	"6"	"8"	"3"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"10"	"4"	"0"	"247"	"247"	"1"	"0"
"18371"	"4"	"18"	"1"	"2"	"380"	"11"	"16"	"8"	"14"	"2"	"8"	"51"	"5"	"93"	"8"	"0"	"9"	"13"	"0"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"10"	"4"	"0"	"256"	"256"	"1"	"0"
"18372"	"4"	"18"	"1"	"2"	"380"	"12"	"10"	"2"	"21"	"2"	"6"	"38"	"0"	"125"	"6"	"1"	"5"	"10"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"242"	"242"	"17"	"7"	"0"	"266"	"266"	"1"	"0"
"18373"	"4"	"18"	"1"	"2"	"380"	"15"	"17"	"3"	"14"	"1"	"2"	"48"	"1"	"124"	"2"	"1"	"3"	"11"	"1"	"6"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"250"	"250"	"9"	"2"	"0"	"261"	"261"	"1"	"0"
"18374"	"4"	"18"	"1"	"2"	"380"	"10"	"20"	"10"	"14"	"3"	"0"	"30"	"2"	"105"	"4"	"0"	"3"	"6"	"3"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"14"	"6"	"1"	"236"	"236"	"1"	"0"
"18375"	"4"	"18"	"1"	"2"	"376"	"9"	"9"	"5"	"14"	"4"	"1"	"48"	"1"	"98"	"5"	"0"	"0"	"5"	"5"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"5"	"3"	"1"	"216"	"216"	"1"	"0"
"18376"	"4"	"18"	"1"	"2"	"380"	"11"	"11"	"3"	"9"	"0"	"0"	"40"	"2"	"122"	"5"	"0"	"3"	"8"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"5"	"0"	"0"	"221"	"221"	"1"	"0"
"18377"	"4"	"18"	"1"	"2"	"380"	"9"	"16"	"4"	"10"	"0"	"3"	"40"	"1"	"105"	"5"	"0"	"2"	"9"	"2"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"212"	"212"	"6"	"1"	"0"	"219"	"219"	"1"	"0"
"18378"	"4"	"18"	"1"	"2"	"380"	"11"	"20"	"5"	"9"	"4"	"3"	"40"	"3"	"105"	"5"	"2"	"5"	"6"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"222"	"222"	"4"	"2"	"0"	"228"	"228"	"1"	"0"
"18379"	"4"	"18"	"1"	"2"	"380"	"16"	"17"	"5"	"12"	"3"	"3"	"32"	"1"	"104"	"7"	"0"	"6"	"6"	"0"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"217"	"217"	"10"	"0"	"0"	"227"	"227"	"1"	"0"
"18380"	"4"	"18"	"1"	"2"	"380"	"13"	"30"	"2"	"12"	"1"	"1"	"39"	"4"	"131"	"2"	"0"	"2"	"4"	"0"	"2"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"246"	"246"	"10"	"3"	"0"	"259"	"259"	"1"	"0"
"18381"	"4"	"18"	"1"	"2"	"380"	"6"	"15"	"6"	"9"	"1"	"3"	"32"	"2"	"105"	"7"	"0"	"7"	"6"	"1"	"13"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"214"	"214"	"5"	"5"	"0"	"224"	"224"	"1"	"0"
"18382"	"4"	"18"	"1"	"2"	"380"	"10"	"14"	"5"	"13"	"4"	"0"	"41"	"0"	"110"	"5"	"1"	"4"	"6"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"5"	"2"	"0"	"225"	"225"	"1"	"0"
