"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"VAMOS"	"VICTORIA"	"UNIONISTA"	"VALOR"	"SANTIAGO_DE_LOS_CABALLEROS"	"VIVA"	"FUERZA"	"PHG"	"SOS"	"CREO"	"EG"	"PC"	"MLP"	"CAMBIO"	"PPT"	"LIBRE"	"SEMILLA"	"UCN"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"4682"	"4"	"2"	"1"	"2"	"400"	"17"	"56"	"17"	"3"	"50"	"11"	"15"	"9"	"6"	"2"	"4"	"2"	"7"	"16"	"3"	"77"	"2"	"9"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"309"	"309"	"8"	"0"	"0"	"317"	"317"	"1"	"0"
"4683"	"4"	"2"	"1"	"2"	"400"	"15"	"67"	"16"	"8"	"42"	"13"	"9"	"12"	"11"	"2"	"7"	"8"	"5"	"12"	"3"	"59"	"2"	"4"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"16"	"1"	"0"	"316"	"316"	"1"	"0"
"4684"	"4"	"2"	"1"	"2"	"392"	"22"	"48"	"21"	"0"	"41"	"9"	"15"	"17"	"10"	"1"	"10"	"6"	"10"	"16"	"5"	"54"	"1"	"10"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"303"	"303"	"13"	"1"	"0"	"317"	"317"	"1"	"0"
"4685"	"4"	"2"	"1"	"2"	"396"	"18"	"65"	"15"	"4"	"33"	"5"	"14"	"9"	"9"	"4"	"14"	"4"	"6"	"10"	"5"	"48"	"1"	"11"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"281"	"281"	"8"	"0"	"0"	"289"	"289"	"1"	"0"
"4686"	"4"	"2"	"1"	"2"	"397"	"22"	"64"	"22"	"4"	"33"	"14"	"16"	"12"	"5"	"1"	"5"	"2"	"6"	"8"	"2"	"48"	"5"	"12"	"1"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"286"	"286"	"13"	"2"	"0"	"301"	"301"	"1"	"0"
"4687"	"4"	"2"	"1"	"2"	"400"	"17"	"66"	"15"	"7"	"28"	"2"	"11"	"9"	"2"	"6"	"11"	"9"	"4"	"9"	"9"	"41"	"1"	"7"	"7"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"262"	"262"	"12"	"1"	"0"	"275"	"275"	"1"	"0"
"4688"	"4"	"2"	"1"	"2"	"396"	"17"	"62"	"10"	"2"	"29"	"7"	"7"	"10"	"15"	"4"	"12"	"3"	"5"	"6"	"6"	"77"	"3"	"3"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"282"	"282"	"7"	"2"	"0"	"291"	"291"	"1"	"0"
"4689"	"4"	"2"	"1"	"2"	"396"	"14"	"53"	"11"	"7"	"36"	"8"	"13"	"13"	"8"	"3"	"9"	"4"	"3"	"10"	"6"	"100"	"0"	"6"	"3"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"310"	"310"	"8"	"0"	"0"	"318"	"318"	"1"	"0"
"4690"	"4"	"2"	"1"	"2"	"400"	"12"	"65"	"9"	"2"	"39"	"12"	"13"	"13"	"9"	"5"	"6"	"1"	"8"	"6"	"4"	"123"	"2"	"8"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"337"	"337"	"4"	"0"	"0"	"341"	"341"	"1"	"0"
"4691"	"4"	"2"	"1"	"2"	"236"	"6"	"38"	"8"	"1"	"24"	"3"	"8"	"10"	"11"	"2"	"7"	"1"	"6"	"4"	"2"	"68"	"1"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"204"	"204"	"5"	"1"	"0"	"210"	"210"	"1"	"0"
