"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"UCN"	"TUNO"	"UNE"	"VAMOS"	"MLP"	"PHG"	"AVANZA"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"18923"	"4"	"19"	"3"	"2"	"398"	"15"	"77"	"113"	"17"	"3"	"0"	"6"	"10"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"241"	"241"	"8"	"3"	"0"	"252"	"252"	"1"	"0"
"18924"	"4"	"19"	"3"	"2"	"311"	"12"	"70"	"102"	"7"	"1"	"1"	"7"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"207"	"207"	"9"	"1"	"0"	"217"	"217"	"1"	"0"
"18925"	"4"	"19"	"3"	"2"	"308"	"8"	"78"	"103"	"16"	"0"	"2"	"4"	"13"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"3"	"0"	"0"	"227"	"227"	"1"	"0"
"18926"	"4"	"19"	"3"	"2"	"380"	"30"	"52"	"134"	"13"	"1"	"0"	"1"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"238"	"238"	"26"	"1"	"0"	"265"	"265"	"1"	"0"
"18927"	"4"	"19"	"3"	"2"	"380"	"25"	"71"	"142"	"7"	"1"	"0"	"0"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"12"	"2"	"0"	"266"	"266"	"1"	"0"
"18928"	"4"	"19"	"3"	"2"	"271"	"23"	"64"	"76"	"11"	"1"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"15"	"1"	"0"	"194"	"194"	"1"	"0"
"18929"	"4"	"19"	"3"	"2"	"270"	"22"	"57"	"92"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"178"	"178"	"6"	"3"	"0"	"187"	"187"	"1"	"0"
"18930"	"4"	"19"	"3"	"2"	"380"	"10"	"100"	"141"	"10"	"3"	"5"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"270"	"270"	"13"	"1"	"0"	"284"	"284"	"1"	"0"
"18931"	"4"	"19"	"3"	"2"	"380"	"12"	"96"	"130"	"14"	"4"	"4"	"5"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"266"	"266"	"25"	"9"	"0"	"300"	"300"	"1"	"0"
"18932"	"4"	"19"	"3"	"2"	"380"	"5"	"104"	"156"	"14"	"1"	"1"	"2"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"285"	"285"	"15"	"2"	"1"	"302"	"302"	"1"	"0"
"18933"	"4"	"19"	"3"	"2"	"380"	"12"	"112"	"144"	"20"	"0"	"4"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"299"	"299"	"7"	"2"	"0"	"308"	"308"	"1"	"0"
"18934"	"4"	"19"	"3"	"2"	"380"	"9"	"107"	"147"	"15"	"3"	"11"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"298"	"298"	"19"	"3"	"0"	"320"	"320"	"1"	"0"
"18935"	"4"	"19"	"3"	"2"	"380"	"15"	"105"	"147"	"8"	"6"	"9"	"0"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"294"	"294"	"21"	"3"	"0"	"318"	"318"	"1"	"0"
