"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"PHG"	"VAMOS"	"UCN"	"URNG_MAIZ"	"FUERZA"	"PC"	"PPT"	"TODOS"	"FCN_NACION"	"UNIONISTA"	"UNE"	"SEMILLA"	"CREO"	"PAN"	"VALOR"	"VIVA"	"CONVERGENCIA"	"PODEMOS"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"12948"	"4"	"13"	"1"	"2"	"0"	"11"	"66"	"11"	"4"	"8"	"27"	"6"	"3"	"44"	"14"	"11"	"9"	"1"	"9"	"4"	"5"	"4"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"10"	"2"	"0"	"252"	"252"	"1"	"0"
"12949"	"4"	"13"	"1"	"2"	"0"	"7"	"79"	"10"	"2"	"3"	"28"	"0"	"5"	"33"	"18"	"9"	"3"	"5"	"9"	"5"	"4"	"5"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"7"	"3"	"0"	"238"	"238"	"1"	"0"
"12950"	"4"	"13"	"1"	"2"	"0"	"11"	"78"	"10"	"3"	"9"	"30"	"1"	"4"	"38"	"17"	"18"	"7"	"2"	"9"	"4"	"3"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"10"	"2"	"0"	"264"	"264"	"1"	"0"
"12951"	"4"	"13"	"1"	"2"	"398"	"10"	"64"	"6"	"2"	"5"	"21"	"4"	"3"	"41"	"15"	"17"	"7"	"1"	"10"	"8"	"3"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"218"	"218"	"11"	"2"	"0"	"231"	"231"	"1"	"0"
"12952"	"4"	"13"	"1"	"2"	"343"	"5"	"47"	"9"	"0"	"4"	"15"	"2"	"3"	"37"	"7"	"8"	"9"	"2"	"4"	"3"	"8"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"169"	"6"	"1"	"0"	"172"	"176"	"0"	"0"
"12953"	"4"	"13"	"1"	"2"	"343"	"13"	"52"	"9"	"1"	"4"	"19"	"8"	"2"	"33"	"10"	"9"	"5"	"1"	"5"	"3"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"180"	"180"	"5"	"0"	"0"	"185"	"185"	"1"	"0"
"12954"	"4"	"13"	"1"	"2"	"396"	"4"	"74"	"38"	"10"	"4"	"22"	"3"	"7"	"38"	"11"	"0"	"3"	"0"	"1"	"5"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"223"	"223"	"20"	"2"	"0"	"245"	"245"	"1"	"0"
"12955"	"4"	"13"	"1"	"2"	"398"	"5"	"94"	"22"	"8"	"5"	"13"	"5"	"6"	"30"	"10"	"9"	"6"	"2"	"3"	"9"	"6"	"4"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"239"	"239"	"8"	"1"	"0"	"248"	"248"	"1"	"0"
"12956"	"4"	"13"	"1"	"2"	"396"	"10"	"84"	"39"	"2"	"4"	"22"	"7"	"3"	"30"	"8"	"12"	"6"	"5"	"2"	"7"	"3"	"2"	"5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"251"	"251"	"6"	"3"	"0"	"260"	"260"	"1"	"0"
"12957"	"4"	"13"	"1"	"2"	"400"	"3"	"102"	"22"	"7"	"4"	"18"	"4"	"5"	"23"	"6"	"0"	"3"	"0"	"2"	"12"	"6"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"224"	"224"	"24"	"3"	"0"	"251"	"251"	"1"	"0"
"12958"	"4"	"13"	"1"	"2"	"400"	"7"	"97"	"31"	"5"	"5"	"13"	"3"	"5"	"29"	"5"	"0"	"2"	"3"	"2"	"6"	"7"	"1"	"6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"227"	"227"	"20"	"8"	"0"	"255"	"255"	"1"	"0"
"12959"	"4"	"13"	"1"	"2"	"400"	"4"	"104"	"24"	"11"	"5"	"21"	"5"	"5"	"25"	"8"	"4"	"5"	"1"	"1"	"8"	"8"	"1"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"243"	"243"	"8"	"4"	"0"	"255"	"255"	"1"	"0"
