"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"TODOS"	"VALOR"	"VAMOS"	"UNE"	"BIEN"	"FCN_NACION"	"MLP"	"SEMILLA"	"EG"	"PODEMOS"	"CREO"	"UNIDOS"	"PC"	"UCN"	"FUERZA"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"11058"	"4"	"11"	"1"	"2"	"376"	"4"	"38"	"26"	"47"	"63"	"4"	"45"	"6"	"1"	"1"	"1"	"1"	"1"	"0"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"240"	"240"	"17"	"16"	"0"	"273"	"273"	"1"	"0"
"11059"	"4"	"11"	"1"	"2"	"376"	"3"	"65"	"24"	"34"	"52"	"1"	"30"	"6"	"1"	"0"	"2"	"1"	"1"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"229"	"229"	"16"	"9"	"0"	"254"	"254"	"1"	"0"
"11060"	"4"	"11"	"1"	"2"	"376"	"11"	"47"	"27"	"40"	"52"	"2"	"28"	"3"	"0"	"1"	"2"	"0"	"0"	"0"	"3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"216"	"216"	"16"	"9"	"0"	"241"	"241"	"1"	"0"
"11061"	"4"	"11"	"1"	"2"	"380"	"9"	"47"	"20"	"42"	"59"	"3"	"34"	"3"	"1"	"1"	"1"	"4"	"2"	"0"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"233"	"233"	"12"	"3"	"0"	"248"	"248"	"1"	"0"
"11062"	"4"	"11"	"1"	"2"	"264"	"9"	"30"	"14"	"24"	"43"	"1"	"16"	"2"	"0"	"0"	"2"	"0"	"3"	"2"	"7"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"153"	"153"	"9"	"2"	"0"	"164"	"164"	"1"	"0"
"11063"	"4"	"11"	"1"	"2"	"264"	"4"	"35"	"21"	"20"	"54"	"1"	"15"	"6"	"1"	"0"	"2"	"0"	"1"	"3"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"165"	"165"	"7"	"1"	"0"	"173"	"173"	"1"	"0"
"11064"	"4"	"11"	"1"	"2"	"376"	"12"	"49"	"10"	"21"	"60"	"1"	"30"	"7"	"0"	"0"	"1"	"0"	"0"	"4"	"4"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"199"	"199"	"28"	"4"	"0"	"231"	"231"	"1"	"0"
"11065"	"4"	"11"	"1"	"2"	"368"	"9"	"46"	"15"	"25"	"40"	"1"	"34"	"4"	"1"	"1"	"5"	"0"	"3"	"4"	"12"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"200"	"200"	"28"	"8"	"0"	"236"	"236"	"1"	"0"
"11066"	"4"	"11"	"1"	"2"	"370"	"9"	"55"	"13"	"24"	"47"	"0"	"30"	"5"	"0"	"2"	"2"	"0"	"7"	"1"	"15"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"210"	"210"	"14"	"12"	"0"	"236"	"236"	"1"	"0"
"11067"	"4"	"11"	"1"	"2"	"376"	"5"	"74"	"16"	"28"	"57"	"0"	"16"	"1"	"0"	"6"	"2"	"0"	"0"	"1"	"2"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"208"	"208"	"22"	"6"	"0"	"236"	"236"	"1"	"0"
