"MESA"	"TIPO_ELECCION"	"DEPTO"	"MUNI"	"ESTADO_ACTA"	"CANTIDAD_PAPELETAS"	"UNE"	"TODOS"	"FCN_NACION"	"CREO"	"VALOR"	"UNIDOS"	"CONVERGENCIA"	"UNIONISTA"	"VICTORIA"	"LIBRE"	"VAMOS"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"VOTOS_VALIDOS_ACTA"	"VOTOS_VALIDOS"	"NULOS"	"BLANCOS"	"INVALIDOS"	"TOTAL_ACTA"	"TOTAL_VOTOS"	"ACTA_CUADRA"	"IMPUGNACIONES"
"17335"	"4"	"16"	"14"	"2"	"316"	"14"	"3"	"8"	"0"	"4"	"11"	"26"	"22"	"42"	"4"	"22"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"156"	"156"	"10"	"5"	"0"	"171"	"171"	"1"	"0"
"17336"	"4"	"16"	"14"	"2"	"380"	"51"	"1"	"7"	"2"	"2"	"89"	"10"	"12"	"28"	"5"	"45"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"252"	"252"	"16"	"5"	"0"	"273"	"273"	"1"	"0"
"17337"	"4"	"16"	"14"	"2"	"380"	"49"	"0"	"5"	"2"	"1"	"53"	"16"	"37"	"16"	"25"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"228"	"228"	"23"	"9"	"1"	"261"	"260"	"0"	"0"
"17338"	"4"	"16"	"14"	"2"	"380"	"30"	"2"	"9"	"3"	"4"	"67"	"17"	"32"	"40"	"4"	"30"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"271"	"238"	"20"	"13"	"0"	"304"	"271"	"0"	"0"
"17339"	"4"	"16"	"14"	"2"	"317"	"32"	"2"	"12"	"1"	"3"	"50"	"4"	"21"	"21"	"6"	"24"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"176"	"176"	"8"	"7"	"0"	"191"	"191"	"1"	"0"
"17340"	"4"	"16"	"14"	"2"	"316"	"31"	"3"	"7"	"1"	"3"	"46"	"12"	"24"	"16"	"4"	"27"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"174"	"174"	"7"	"2"	"0"	"183"	"183"	"1"	"0"
"17341"	"4"	"16"	"14"	"2"	"380"	"37"	"4"	"7"	"0"	"2"	"64"	"6"	"9"	"30"	"2"	"44"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"205"	"205"	"33"	"9"	"0"	"247"	"247"	"1"	"0"
"17342"	"4"	"16"	"14"	"2"	"380"	"77"	"2"	"16"	"0"	"1"	"49"	"2"	"37"	"32"	"5"	"53"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"274"	"274"	"17"	"8"	"0"	"299"	"299"	"1"	"0"
"17343"	"4"	"16"	"14"	"2"	"340"	"51"	"2"	"18"	"1"	"2"	"36"	"6"	"18"	"25"	"2"	"41"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"202"	"202"	"14"	"7"	"0"	"223"	"223"	"1"	"0"
"17344"	"4"	"16"	"14"	"2"	"339"	"54"	"7"	"21"	"3"	"2"	"44"	"4"	"19"	"17"	"3"	"35"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"209"	"209"	"5"	"2"	"0"	"216"	"216"	"1"	"0"
